Semana,CNPJ_Fundo,Gestor_Apelido,Captacao,Resgate,PL_Medio,DataBase
2025-07-28,10264255000115,"IAM",141150675.2,90326645.87,39841432308.48,2025-08-01
2025-07-28,10322668000109,"CEF Asset",0,1507259.16,1267726304.81,2025-08-01
2025-07-28,10326625000100,"Valora",1741861.11,2068784.14,829255560.32,2025-08-01
2025-07-28,10347228000106,"Safra Asset",32547746.14,23983253.05,7406103722.38,2025-08-01
2025-07-28,10355529000181,"BTG WM",0,0,49132845.36,2025-08-01
2025-07-28,10551353000133,"CEF Asset",329511.1,713159.14,876998534.44,2025-08-01
2025-07-28,10813716000161,"BRAM",0,4225.01,2809887603.13,2025-08-01
2025-07-28,10843445000197,"XPG",19879716.01,38799887.67,5225178238.46,2025-08-01
2025-07-28,10948577000183,"CEF Asset",25775199.02,1877395.47,19160305562.09,2025-08-01
2025-07-28,11039158000191,"Aramus",0,0,22182749.36,2025-08-01
2025-07-28,11121992000121,"BNP",0,0,398581131.66,2025-08-01
2025-07-28,11225793000163,"Lifetime",0,0,23260616.84,2025-08-01
2025-07-28,11248452000103,"JGP",0,0,183018441.51,2025-08-01
2025-07-28,11435262000103,"BTG WM",0,0,14006575.35,2025-08-01
2025-07-28,11435287000107,"MAG",693970.16,450070.74,696817140.97,2025-08-01
2025-07-28,11447056000105,"Portofino",0,0,24900835.05,2025-08-01
2025-07-28,11447124000136,"Safra Asset",591248.46,7930629.26,6876213982.75,2025-08-01
2025-07-28,11447136000160,"Principal",20423.69,60332.85,217156129.09,2025-08-01
2025-07-28,11508507000177,"Solis",0,0,36005017.04,2025-08-01
2025-07-28,11555338000126,"BRAM",0,77000,705384591.92,2025-08-01
2025-07-28,11690117000160,"Lerosa",0,0,5516304,2025-08-01
2025-07-28,11839215000117,"BB Asset",0,10501603.74,2690988259.81,2025-08-01
2025-07-28,11952676000100,"BTG WM",0,0,279851908.77,2025-08-01
2025-07-28,11961080000168,"MAG",1136.39,50233.64,169880452.2,2025-08-01
2025-07-28,11961206000102,"XPG",0,0,341126576.13,2025-08-01
2025-07-28,12059831000118,"Dynamo",0,0,197373257.46,2025-08-01
2025-07-28,12412818000109,"BRAM",28813230.26,24039.86,7273593391.72,2025-08-01
2025-07-28,12698632000150,"Prumo",0,0,36778221.92,2025-08-01
2025-07-28,12796193000118,"Safra Asset",16872,386989.32,278906740.95,2025-08-01
2025-07-28,13030850000184,"Sulamérica",0,0,97756773.6,2025-08-01
2025-07-28,13049660000109,"MAG",0,0,117158744.1,2025-08-01
