CNPJ,Fundo,Gestor,DataInicio,idadeMeses,dataM,dataHoje,PL_hoje,PL_medio180,PL_ref,pctAtual,Eleg_0m,Eleg_6m,Eleg_12m,pctExig_0m,pctExig_6m,pctExig_12m,Compra_0m,Compra_6m,Compra_12m,amortEstimada,semDataInicio,semCarteira
62363645000146,INVEST PRO FIF FUNDO INCENTIVADO EM INVESTIMENTO EM DEBÊNTURES DE INFRA RF CRED PRIV RESP LIMITADA,IAM,2025-12-01,8,202603,2026-08-04,484227513,369732809,369732809,0.1184,43760383,43714382,43659115,0.67,0.67,0.67,203960600,204006601,204061868,1,0,0
63377319000150,OCCAM CDI 30 DINÂMICO S FIF RENDA FIXA  INVEST EM  INFRA CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA,Occam,2026-01-01,7,202603,2026-08-04,467713307,378708982,378708982,0.2047,77536321,77466895,77341210,0.67,0.67,0.67,176198697,176268123,176393808,0,0,0
57110842000113,SPARTA INFRA CDI MASTER V FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA,Sparta,2024-10-01,22,202603,2026-08-04,954836803,958597005,954836803,0.6913,660038657,650734039,622167808,0.67,0.85,0.85,0,160877243,189443475,1,0,0
66632272000112,AZ QUEST AZRF MASTER 01/2033 FIF INCENTIVADO EM INFRA RF RESP LIMITADA,AZ Quest,2026-05-01,3,202603,2026-08-04,234794186,229242881,229242881,0,0,0,0,0,0.67,0.67,0,153592730,153592730,0,0,1
54006238000153,BRAM DEBÊNTURES INCENTIVADAS CDI 2402 FIF RF INCENTIVADO DE INVESTIMENTO EM INFRA LP RESP LIMITADA,BRAM,2024-02-01,30,202603,2026-08-04,4169119460,4030729612,4030729612,0.8161,3289402878,3276051436,3266306883,0.85,0.85,0.85,136717292,150068735,159813287,1,0,0
57682222000159,PRIMORDIUM II DEBÊNTURES INCENTIVADAS FUNDO INCENTIVADO DE INVEST FINANCEIRO EM INFRA RENDA FIXA,SWM,2024-10-01,22,202603,2026-08-04,428390144,430867229,428390144,0.5023,215196279,215196279,215196279,0.67,0.85,0.85,71825117,148935343,148935343,0,0,0
58062679000123,SULAMÉRICA INFRA EXCLUSIVO FIF - FDO INCENTIVADO DE INVEST EM INFRAESTRUTURA RF DE RESP LIMITADA,Sulamérica,2024-11-01,21,202603,2026-08-04,939245307,908915721,908915721,0.6874,624788049,624788049,624788049,0.67,0.85,0.85,0,147790313,147790313,0,0,0
60917687000156,ITAÚ GCA DEBÊNTURES INCENTIVADAS IMAB 5 FIF INCENTIVADO INFRA RF CRED PRIV LONGO PRAZO RESP LIMITADA,IAM,2025-05-01,15,202603,2026-08-04,557713568,473754515,473754515,0.3683,174494834,173955065,172600066,0.67,0.67,0.85,142920691,143460460,230091272,1,0,0
55382748000198,SAFRA INFRA CONCEITO RENDA FIXA FIF INVESTIMENTO EM INFRA CI EM INFRA EM RENDA FIXA RESP LIMITADA,Safra Asset,2025-01-01,19,202603,2026-08-04,479221015,481422605,479221015,0.664,318189038,267439014,218820060,0.67,0.85,0.85,2889043,139898849,188517803,1,0,0
65041084000157,BOCAINA INFRA MASTER FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA,Bocaina,2026-02-01,6,202603,2026-08-04,278169419,278816207,278169419,0.1883,52370862,50940273,50848223,0.67,0.67,0.67,134002649,135433238,135525288,0,0,0
63953464000132,MIRANDA DO DOURO DEB INC CDI FUNDO INCENTIVADO DE INVEST FINANCEIRO EM INFRA RF CP RESP LIMITADA,IAM,2025-12-01,8,202603,2026-08-04,206929248,210128268,206929248,0.1067,22075556,22039928,22000137,0.67,0.67,0.67,116567041,116602668,116642460,1,0,0
58340147000100,BB JÚ INFRA RENDA FIXA FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RESP LIMITADA,BB Asset,2025-02-01,18,202603,2026-08-04,981435094,948653279,948653279,0.7278,690452288,690234962,683459174,0.67,0.85,0.85,0,116120325,122896113,0,0,0
55572497000104,SAFRA INFRA CDI CARTEIRA MASTER FIF INVEST EM INFRA CLASSE DE INVESTIMENTO EM INFRA RF RESP LIMITADA,Safra Asset,2024-10-01,22,202603,2026-08-04,431424904,364161000,364161000,0.543,197752959,195014719,186237953,0.67,0.85,0.85,46234912,114522131,123298897,0,0,0
58213245000187,FLUXUS CASH FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RENDA FIXA,Altera,2024-12-01,20,202603,2026-08-04,145432945,137049294,137049294,0.0889,12188378,12179571,12170242,0.67,0.85,0.85,79634649,104312329,104321658,0,0,0
61854664000102,ITAÚ DEBÊNTURES INCENTIVADAS IMA-B II FIF INCENTIVADO EM INFRA RF CRÉDITO PRIVADO RESP LIMITADA,IAM,2025-08-01,12,202603,2026-08-04,546211212,533253945,533253945,0.4833,257724246,257093212,255187472,0.67,0.67,0.85,99555897,100186931,198078381,1,0,0
58600298000150,JGP DEBÊNTURES CDI FIF RENDA FIXA INVEST EM INFRAESTRUTURA CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,JGP,2025-01-01,19,202603,2026-08-04,2191989519,2164550468,2164550468,0.8139,1761834279,1740227752,1718425517,0.67,0.85,0.85,0,99640146,121442381,0,0,0
63789552000140,ITAÚ M DEBÊNTURES INCENTIVADAS CDI FIF FINANCEIRO EM INFRAESTRUTURA RF CRED PRIV RESP LIMITADA,IAM,2025-12-01,8,202603,2026-08-04,178712451,147196433,147196433,0.0683,10059797,10042292,10022688,0.67,0.67,0.67,88561813,88579318,88598922,1,0,0
59424781000194,RB ASSET MASTER 2 FIF RENDA FIXA INVESTIMENTO EM INFRAESTRUTURA - RESPONSABILIDADE LIMITADA,RB Asset,2025-02-01,18,202603,2026-08-04,368860252,346025616,346025616,0.6005,207780683,205876314,200664339,0.67,0.85,0.85,24056479,88245460,93457435,0,0,0
63053090000107,ICATU VANGUARDA BB DEBÊNTURES INCENTIVADAS CDI FIF - CI EM INFRA RF LP - RESP LIMITADA,Icatu,2025-10-01,10,202603,2026-08-04,613819236,786340494,613819236,0.5347,328186409,324664006,320929084,0.67,0.67,0.67,83072479,86594882,90329804,1,0,0
57449111000105,BRAM FIF - CLASSE DE  INVESTIMENTO RF DE INVESTIMENTO EM INFRA CDI  CRED PRIV RESP LIMITADA,BRAM,2024-10-01,22,202603,2026-08-04,482907329,488316681,482907329,0.6765,326666196,324491448,321669973,0.67,0.85,0.85,0,85979782,88801257,0,0,0
56973849000104,SULAMÉRICA DEBÊNTURES INCENTIVADAS CDI ATIVO FIF DE INV EM INFRAESTRUTURA RENDA FIXA DE RL,Sulamérica,2025-10-01,10,202603,2026-08-04,196345647,220543873,196345647,0.2458,48252465,48252465,48252465,0.67,0.67,0.67,83299119,83299119,83299119,0,0,0
64958783000101,AZ QUEST AZRF MASTER 01/2032 FUNDO DE INVESTIMENTO FINANCEIRO INCENTIVADO EM INFRA RF RESP LIMITADA,AZ Quest,2026-02-01,6,202603,2026-08-04,237573342,228649557,228649557,0.314,71799950,71504103,70776154,0.67,0.67,0.67,81395253,81691101,82419049,0,0,0
63051648000107,ITAÚ DEBÊNTURES INCENTIVADAS PRÉ TARGET 2029 SHIFT FIF INCENTIVADO INFRA RF CRED PRIV RESP LIMITADA,IAM,2025-10-01,10,202603,2026-08-04,359262471,349703065,349703065,0.4393,153611573,153427955,153152865,0.67,0.67,0.67,80689481,80873099,81148188,1,0,0
52878009000101,SANGIOVESE FUNDO INCENTIVADO DE INVESTIMENTO EM RENDA FIXA,BTG WM,2023-11-01,33,202603,2026-08-04,341316238,325637842,325637842,0.6212,202279221,200557357,195317697,0.85,0.85,0.85,74512945,76234809,81474469,0,0,0
63611704000110,IBIUNA CREDIT IPCA+ FIF - CI RF INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA - RESP LIMITADA,Ibuina,2025-11-01,9,202603,2026-08-04,166565744,178210034,166565744,0.229,38150373,38070211,37833570,0.67,0.67,0.67,73448676,73528838,73765479,0,0,0
55160342000160,CHAMPAGNE FIF - CLASSE DE INVESTIMENTO RF INCENTIVADO DE INVESTIMENTO EM INFRA - RESP LIMITADA,BR Partners,2024-06-01,26,202603,2026-08-04,397763248,391954661,391954661,0.6694,262392305,261564060,260499251,0.85,0.85,0.85,70769157,71597402,72662210,1,0,0
62847489000199,RB CAIXA MASTER FI FINANCEIRO RENDA FIXA INVESTIMENTO EM INFRAESTRUTURA - RESPONSABILIDADE LIMITADA,RB Asset,2025-10-01,10,202603,2026-08-04,297166162,338343517,297166162,0.4387,130363342,128912042,127098282,0.67,0.67,0.67,68737987,70189287,72003047,0,0,0
61809225000188,SANTANDER PB SOLIMÕES INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA - FIF RESP LIMITADA,San WM,2026-02-01,6,202603,2026-08-04,166123428,162169256,162169256,0.244,39561998,39456776,39369346,0.67,0.67,0.67,69091404,69196625,69284056,1,0,0
62467472000106,MANÁ FIF FI INCENTIVADO EM DEBÊNTURES DE INFRAESTRUTURA RENDA FIXA CRÉDITO PRIVADO RESP LIMITADA,IAM,2025-12-01,8,202603,2026-08-04,132370389,130850432,130850432,0.1479,19356574,19335451,19311574,0.67,0.67,0.67,68313216,68334338,68358216,1,0,0
58443366000115,AUGME BB FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RENDA FIXA,Augme,2025-01-01,19,202603,2026-08-04,369253197,465292994,369253197,0.672,248123395,247076880,244821342,0.67,0.85,0.85,0,66788338,69043875,1,0,0
32666434000111,PONTE DE PEDRA 3 FIF INVESTIMENTO EM INFRA CI EM INFRAESTRUTURA RENDA FIXA RESPONSABILIDADE LIMITADA,Safra Asset,2024-04-01,28,202603,2026-08-04,447502018,441600744,441600744,0.7099,313488555,310095978,309846991,0.85,0.85,0.85,61872077,65264654,65513641,0,0,0
61835389000180,ITAÚ PVT DEBÊNTURES INCENTIVADAS IMA-B II FIF INCENTIVADO EM INFRA RF CRED PRIV LP RESP LIMITADA,IAM,2025-08-01,12,202603,2026-08-04,378946221,369945763,369945763,0.4948,183055234,182643276,181845799,0.67,0.67,0.85,64808427,65220386,132608100,1,0,0
54426679000104,SPARTA RENDA FI FINANCEIRO INCENTIVADO EM INFRAESTRUTURA RENDA FIXA RESPONSABILIDADE LIMITADA,Sparta,2024-04-01,28,202603,2026-08-04,204612744,211380418,204612744,0.5464,111806866,109182982,102530669,0.85,0.85,0.85,62113967,64737850,71390164,1,0,0
54773359000120,SPARTA INFRA MASTER VI FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA,Sparta,2024-05-01,27,202603,2026-08-04,976743797,974320114,974320114,0.7897,769406366,763678626,750311110,0.85,0.85,0.85,58765731,64493471,77860987,0,0,0
