CNPJ,Nome,Gestor,Segmento,MesBase,PL_Carteira,Disponibilidades,TitulosPublicos,Compromissadas,ParcelaAberta,ParcelaConfid,CotasNaoIdentificadas,CaixaDireto,CaixaIndiretoConfirmado,CaixaIndiretoCandidato,CaixaPotencialTotal,PctPL,ClasseFundoCaixa,PLDiario,DataPLDiario,CaixaEstimadoAtual,FluxoLiquidoPosterior,Cobertura,NivelConfianca,Feeder,CompradorDireto,NoConsolidado,CaixaConsolidado,Justificativa
"58360837000121","SANTANDER PB EXPERT INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA - FIF RESP LIMITADA","San WM","12431",202605,23002949.87,14473.03,363039.75,19088.31,396601.09,0,0,396601.09,0,0,396601.09,0.0172,"nao classificado",22050960.69,2026-07-09,380187.55,-1041977.3,1.0017,alto,nao,sim,sim,396601.09,""
"58547919000180","PATRIA CRÉDITO INFRA RENDA MASTER FUNDO INCENTIVADO DE INVEST FINANCEIRO EM INFRA RENDA FIXA","Pátria","12431",202605,35041600.25,0,394934,0,0,394934,9558062,394934,0,0,394934,0.0113,"nao classificado",34216466.02,2026-07-09,385634.38,-826877.69,1,medio,nao,sim,sim,394934,"cotas confidenciais nao identificadas: R$ 9.558.062 (nao viram caixa)"
"60176858000133","VIREO FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RENDA FIXA","Altera","12431",202605,11357874.2,4571.97,382171.56,0,386743.53,0,0,386743.53,0,0,386743.53,0.0341,"nao classificado",6688537.12,2026-06-23,227749.35,-4756931.84,1,alto,nao,sim,sim,386743.53,""
"61080007000155","EVOLUTION ALT FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RENDA FIXA","Altera","12431",202605,9631568.61,1686,0,375043,0,376729,0,376729,0,0,376729,0.0391,"nao classificado",7636762.33,2026-07-09,298704.18,-1999992.92,1,alto,nao,sim,sim,376729,""
"52910190000188","RANACA KINEA FIF - FI INCENTIVADO DEBÊNTURES INFRA RF CRED PRIV - RESP LIMITADA","Kinea","12431",202605,19441084.29,2170.57,303588,69299.04,375057.61,0,0,375057.61,0,0,375057.61,0.0193,"nao classificado",19457225.21,2026-07-09,375369,-8.71,1,alto,nao,sim,sim,375057.61,""
"20584638000124","FATOR DEBÊNTURES INCENTIVADAS FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA","FAR","12431",202605,7038135.61,0,0,339868,0,339868,0,339868,0,0,339868,0.0483,"nao classificado",6553326.45,2026-07-09,316456.81,-500916.78,1,alto,nao,sim,sim,339868,""
"61140383000198","BB GCF INFRA RENDA FIXA FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RESP LIMITADA","BB Asset","12431",202605,29286750.61,11932.34,0,325028.89,336961.23,0,0,336961.23,0,0,336961.23,0.0115,"nao classificado",29552183.58,2026-07-09,340015.19,-44.69,1,alto,nao,sim,sim,336961.23,""
"53842646000182","BRADESCO FUNDO DE INVESTIMENTO FINANCEIRO - CI RENDA FIXA INCENTIVADO DE INVESTIMENTO INFRA MARAJÓ","BRAM","12431",202605,55190110.1,10002.53,326708.44,0,336710.97,0,0,336710.97,0,0,336710.97,0.0061,"nao classificado",53117390.61,2026-07-09,324065.45,-2524015.76,1,alto,nao,sim,sim,336710.97,""
"52279344000185","APALACHE FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA","BTG WM","12431",202605,9758190.32,0,0,326384.3,326384.3,0,0,326384.3,0,0,326384.3,0.0334,"nao classificado",9607836.29,2026-07-09,321355.38,10.31,1,alto,nao,sim,sim,326384.3,""
"54794799000164","SANTANDER PB JPL INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA INFLAÇÃO - FIF RESP LIMITADA","San WM","12431",202605,11849213.84,5000,188905.73,0,193905.73,0,0,193905.73,129198.47,0,323104.2,0.0273,"nao classificado",11819790.01,2026-07-09,322301.87,-13.17,1,alto,nao,sim,sim,323104.2,"caixa indireto via fundo-caixa externo somado ao consolidado"
"55240049000103","GO DO IT FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RENDA FIXA","Portofino","12431",202605,23456346.96,0,0,322815.27,322815.27,0,0,322815.27,0,0,322815.27,0.0138,"nao classificado",23616160.52,2026-07-09,325014.69,-40.9,1,alto,nao,sim,sim,322815.27,""
"63727062000110","OCCAM INFRA ATIVO 30 BB RENDA FIXA FIF EM INFRAESTRUTURA CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA","Occam","12431",202605,22520993.45,106,182194,129215,0,311515,0,311515,4867.73,0,316382.73,0.014,"nao classificado",23126152.94,2026-07-09,324884.22,135720,1,alto,nao,sim,sim,316382.73,"caixa indireto via fundo-caixa externo somado ao consolidado"
"61836539000170","BB MBM INFRA RENDA FIXA FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RESP LIMITADA","BB Asset","12431",202605,89025671.96,11472.51,0,297366.86,308839.37,0,0,308839.37,0,0,308839.37,0.0035,"nao classificado",89787431,2026-07-09,311481.99,23.4,1,alto,nao,sim,sim,308839.37,""
