Dia,Gestor_Apelido,Captacao,Resgate,Liquido,PL,Num_Fundos
2026-06-01,"Scalare",0,0,0,1817863202.54,3
2026-06-01,"Seven Pounds",0,0,0,46110422.25,1
2026-06-01,"Somma",100,0,100,14740532.44,1
2026-06-01,"Sonata",0,0,0,106515630.04,1
2026-06-01,"Sparta",592200.21,24608353.67,-24016153.46,9964176076.35,19
2026-06-01,"SPX",48000,14249867.65,-14201867.65,1310830945.21,4
2026-06-01,"STK",0,0,0,27371746.64,1
2026-06-01,"Sulamérica",54000,1554428.57,-1500428.57,1482120548.5,5
2026-06-01,"Suno",0,0,0,70099405.86,2
2026-06-01,"SVN",314959.86,1896928.99,-1581969.13,309559231.9,1
2026-06-01,"SWM",0,22281.07,-22281.07,528258998.05,4
2026-06-01,"TAG",0,0,0,61677357.22,1
2026-06-01,"Tenax",7000,468000,-461000,346443562.13,1
2026-06-01,"Tivio",0,0,0,312563356.4,5
2026-06-01,"Tori 21",0,0,0,15007638.56,1
2026-06-01,"Trígono",0,0,0,41184918.7,1
2026-06-01,"Turim",0,0,0,142466342.1,3
2026-06-01,"UBS",0,3446211.62,-3446211.62,7371904623.32,77
2026-06-01,"Valia",95981.2,95981.2,0,95177357.1,1
2026-06-01,"Valora",0,10340746.25,-10340746.25,524975058.38,2
2026-06-01,"Vêneto",0,2500000,-2500000,27939921.08,1
2026-06-01,"Vinci",0,8042802.64,-8042802.64,2138293179.59,5
2026-06-01,"Vinland",323200.03,33309922.14,-32986722.11,4747214455.42,9
2026-06-01,"WHG",0,0,0,70073374.5,2
2026-06-01,"XPG",977363.21,20259225.72,-19281862.51,7647246429.92,45
2026-06-01,"YVY",0,0,0,185629770.97,1
2026-06-02,"4UM",0,0,0,75378957.22,1
2026-06-02,"Absolute",5816650.38,0,5816650.38,12026287837.65,12
2026-06-02,"Ace",0,0,0,25664445.47,1
2026-06-02,"AF Invest",0,0,0,369111139.47,4
2026-06-02,"Altera",0,26000,-26000,184687490.7,3
2026-06-02,"Andbank",0,0,0,109289731.44,2
2026-06-02,"ARX",3905631.71,0,3905631.71,6025970673.11,9
2026-06-02,"ASA",0,0,0,94375416.87,3
2026-06-02,"Asset 1",0,1000000,-1000000,115259697.36,2
2026-06-02,"Atena",0,0,0,31130320.34,1
2026-06-02,"Augme",0,0,0,499304935.17,2
2026-06-02,"AZ Quest",27329.24,2584272.11,-2556942.87,768664728.78,3
2026-06-02,"BB Asset",3017858.03,101739468.8,-98721610.77,20257003229.2,93
2026-06-02,"BBM Asset",0,0,0,177802037.61,2
2026-06-02,"BDR",0,0,0,172732843.12,2
2026-06-02,"Black Swan",0,0,0,22523487.62,1
2026-06-02,"Bocaina",375000,200000,175000,1079409026.23,9
2026-06-02,"BR Partners",0,0,0,723982514.07,14
2026-06-02,"Brainvest",0,0,0,49183480.86,2
2026-06-02,"BRAM",43964448.16,77810671.59,-33846223.43,29133781365.36,80
2026-06-02,"BTG Asset",2093033.24,12146462.79,-10053429.55,7375487913.73,13
2026-06-02,"BTG WM",25023178.67,2977759.54,22045419.13,17599116363.36,219
2026-06-02,"Butiá",400,0,400,14528445.47,1
2026-06-02,"BV Asset",0,0,0,102827783.14,1
2026-06-02,"Capitânia",171587.71,673975.78,-502388.07,2806975228.87,14
2026-06-02,"Citrino",0,0,0,71966971.87,1
2026-06-02,"Daycoval",3221798.52,142612.07,3079186.45,405073201.59,4
2026-06-02,"Daycoval Asset",0,0,0,106048909.13,1
2026-06-02,"Douro",0,0,0,39196142.41,2
2026-06-02,"Drys",0,200000,-200000,23942400.48,1
2026-06-02,"EQI",6853.31,2158229.58,-2151376.27,107594582.22,1
2026-06-02,"Être-Davos",0,0,0,32974252.62,1
2026-06-02,"Exes",0,0,0,43296922.99,1
2026-06-02,"FAR",0,0,0,7012869.95,1
2026-06-02,"Franklin Templeton",0,0,0,256118976.7,1
2026-06-02,"G5",2848621.82,310000,2538621.82,2239678982.76,46
2026-06-02,"Galapagos",0,0,0,141791884.59,2
2026-06-02,"Galt",0,0,0,167747435.47,2
2026-06-02,"GV Atacama",0,0,0,15750952.92,1
2026-06-02,"Heritage",0,4200000,-4200000,62700239.45,1
2026-06-02,"IAM",27839513.46,164648306.62,-136808793.16,84269429512.75,310
2026-06-02,"Ibuina",2585728.66,0,2585728.66,1123541459.95,2
2026-06-02,"Icatu",124200,0,124200,5263501953.18,15
2026-06-02,"Inter",247472.87,7059442.36,-6811969.49,1104178633.66,5
2026-06-02,"Iridium",27675,0,27675,148763842.5,2
2026-06-02,"ITAU Tsy",0,0,0,25219675727.45,2
2026-06-02,"Jera",0,0,0,33793960.88,1
2026-06-02,"JGP",6852388.06,0,6852388.06,3807997907.29,9
2026-06-02,"Jive",0,0,0,436148398.55,1
2026-06-02,"Journey",61879.52,466457.16,-404577.64,121060134.39,10
2026-06-02,"Kinea",8900,652030.47,-643130.47,14191469660.42,189
2026-06-02,"Lakewood",0,0,0,137613661.87,2
2026-06-02,"Legacy",1086564.99,25368404.46,-24281839.47,4002666654.21,9
2026-06-02,"MAG",0,0,0,19339755.01,1
2026-06-02,"Maud",0,0,0,68930968.06,1
2026-06-02,"Mirabaud",30000,0,30000,37537878.22,1
2026-06-02,"MMZR",0,0,0,10340625.42,1
2026-06-02,"Monte Azul",0,0,0,23530306.1,1
2026-06-02,"Monte Bravo",0,0,0,56648614.96,2
2026-06-02,"Navi",0,0,0,9850767.67,1
2026-06-02,"Newave",0,0,0,49357591.21,1
2026-06-02,"Nikos",46333.18,0,46333.18,222301889.62,3
2026-06-02,"Novus",340000,0,340000,198802469.74,1
2026-06-02,"Nu Asset",0,1120000,-1120000,104887390.75,1
2026-06-02,"Occam",163000,303000,-140000,1769503980.86,5
2026-06-02,"Opportunity",0,0,0,31813824.39,1
2026-06-02,"Oriz",0,0,0,342608418.19,13
2026-06-02,"Paramis",0,0,0,162057792.43,2
2026-06-02,"Pátria",0,0,0,34907346.34,1
2026-06-02,"Perfin",0,0,0,631095008.31,5
2026-06-02,"Persevera",0,0,0,25994249.96,1
2026-06-02,"Plural",45203.98,0,45203.98,1776973510.19,7
2026-06-02,"Porto Asset",2582.93,0,2582.93,91628695.23,2
2026-06-02,"Portofino",0,0,0,353138862.34,10
2026-06-02,"Principal",0,0,0,8709020.05,1
2026-06-02,"Proteus",0,11180000,-11180000,530552347.32,1
2026-06-02,"Rafter",130000,0,130000,348040107.9,3
2026-06-02,"RB Asset",745000,3769000,-3024000,1134055875.28,6
2026-06-02,"RBR",0,0,0,123210775.65,2
