DataBook,Grupo,EmissorRaw,MatchVia,Instrumento,Regime,Rating,Coordenador,Serie,Prazo,IndexadorFinal,SpreadFinalPct,IpcaEquivFinalPct,TaxaFinalRaw,NtnbFinal,IndexadorTeto,SpreadTetoPct,NtnbTeto,TaxaTetoRaw,CompressaoBps,DemandaMM,EmissaoMM,OverX,BidsAloc,AlocCortePct,Amort
28/05/2025,Porto Itapoá,,grupo,DEB,12.431,AA,BTG(Líder),unica,15y,NTN-B,0.3,,"B35 + 0,30%",B35,NTN-B,-0.08,B35,"B35 - 0,08% Des(0,30%) ou IPCA + 7,40%",-38,,,,10/10,,Semestral após 3y
30/05/2025,Localiza,Localiza,grupo,DEB,CVM160,AAA,"XP(Líder), IBBA, UBS BB e BBI",1a,5y,CDI,1.2,,"CDI + 1,20%",,CDI,1.25,,"CDI + 1,25%",5,1480.9,1.14,,22/18,,Bullet
30/05/2025,Localiza,Localiza,grupo,DEB,CVM160,AAA,"XP(Líder), IBBA, UBS BB e BBI",2a,7y,CDI,1.4,,"CDI + 1,40%",,CDI,1.45,,"CDI + 1,45%",5,376.3,371.3,,12/11,,Bullet
30/05/2025,Motiva,,alias,DEB,CVM160,AAA,"BTG(Líder), BBI e IBBA",unica,5y,CDI,0.57,,"CDI + 0,57%",,CDI,0.57,,"CDI + 0,57%",0,,,,10/10,,Bullet
02/06/2025,Iochpe-Maxion,,grupo,DEB,CVM160,AAA,"IBBA(Líder), UBS BB, BBI e Santander",unica,5y,CDI,1.45,,"CDI + 1,45%",,CDI,1.45,,"CDI + 1,45%",0,,,,,,4/5
03/06/2025,Gerdau,Debêntures Gerdau,grupo,DEB,,AAA,,unica,7y,CDI,0.66,,"CDI + 0,66%",,,,,,,,,,13/11,,
03/06/2025,Brisanet,,grupo,DEB,CVM160,AA,BTG(Líder),unica,6y,CDI,1.3,,"CDI + 1,30%",,,,,,,,,,,,4/5/6
05/06/2025,Solví,,grupo,DEB,CVM160,,ABC(Líder),unica,7y,CDI,2.1,,"CDI + 2,10%",,CDI,2.4,,"CDI + 2,40%",30,,,,18/12,,"Semestral, após 25m"
06/06/2025,Agrovale,Deb  Vale,grupo,DEB,12.431,,,1a,7y,,,,B32 – 50bps (fixing hoje),,,,,,,1204,2000,,,,
06/06/2025,Agrovale,Deb  Vale,grupo,DEB,12.431,,,2a,10y,,,,B35 – 50bps (fixing hoje),,,,,,,271,2000,,,,
06/06/2025,Agrovale,Deb  Vale,grupo,DEB,12.431,,,3a,12y,,,,B35 – 47bps (fixing hoje),,,,,,,250,2000,,,,
09/06/2025,Compass,,grupo,DEB,CVM160,AAA,BTG(Líder),1a,5y Bullet,CDI,0.65,,"CDI + 0,65%",,CDI,0.65,,"CDI + 0,65%",0,1830,,,,,
09/06/2025,Compass,,grupo,DEB,CVM160,AAA,BTG(Líder),2a,7y 6/7,CDI,0.7,,"CDI + 0,70%",,CDI,0.7,,"CDI + 0,70%",0,401,,,,,
09/06/2025,Compass,,grupo,DEB,CVM160,AAA,BTG(Líder),1a,5y Bullet,CDI,0.65,,"CDI + 0,65%",,CDI,0.65,,"CDI + 0,65%",0,1830,,,,,
09/06/2025,Compass,,grupo,DEB,CVM160,AAA,BTG(Líder),2a,7y 6/7,CDI,0.7,,"CDI + 0,70%",,CDI,0.7,,"CDI + 0,70%",0,401,,,,,
10/06/2025,Unidas,Unidas,grupo,DEB,,,,unica,,CDI,2.4,,"CDI + 2,40%",,,,,,,720,450,,,,
11/06/2025,Ultrapar,Hidrovias do Brasil (Ultrapar),alias~,DEB,CVM160,BB,"IBBA (L), Santander, XP, BTG, UBS-BB e BV",1a,3y,CDI,0.5,,"CDI + 0,50%",,CDI,0.55,,"CDI + 0,55%",5,1366000000,400,,12/10,26%,Bullet
11/06/2025,Ultrapar,Hidrovias do Brasil (Ultrapar),alias~,DEB,CVM160,BB,"IBBA (L), Santander, XP, BTG, UBS-BB e BV",2a,6y,CDI,0.75,,"CDI + 0,75 %",,CDI,0.75,,"CDI + 0,75%",0,1317178000,982,,5/5,4%,Bullet
11/06/2025,Assaí,,grupo,DEB,CVM160,AAA,"UBS BB(Líder), IBBA, BBI e Santander",unica,5y Bullet,CDI,1.3,,"CDI + 1,30%",,CDI,1.2,,"CDI + 1,20% Des(1,30%)",-10,,,,10/10,,
11/06/2025,Assaí,,grupo,DEB,CVM160,AAA,"UBS BB(Líder), IBBA, BBI e Santander",unica,5y Bullet,CDI,1.3,,"CDI + 1,30%",,CDI,1.2,,"CDI + 1,20% Des(1,30%)",-10,,,,10/10,,
12/06/2025,Cielo,,grupo,DEB,CVM160,AAA,BBI(líder) e UBS BB,unica,4y,CDI,0.54,,"CDI + 0,54% (piso)",,CDI,0.6,,"CDI + 0,60%",6,,,,18/17,"87,7% (ex ancoragem)",Bullet
24/06/2025,Petrobras,êntures  Petrobras,grupo,DEB,12.431,AAA,"UBS-BB, Bradesco BBI, BTG Pactual, Itaú BBA, Santander, XP",1a,10 anos;,IPCA,6.3874,,"IPCA + 6,3874% / Teto - 0,45%",,NTN-B,-0.4,B35,"B35-0,40% ou IPCA + 6,85%",,2770,,,,,bullet;
24/06/2025,Petrobras,êntures  Petrobras,grupo,DEB,12.431,AAA,"UBS-BB, Bradesco BBI, BTG Pactual, Itaú BBA, Santander, XP",2a,15 anos;,IPCA,6.6556,,"IPCA + 6,6556% / Teto - 0,25%",,NTN-B,-0.35,B35,"B35-0,35% ou IPCA + 6,90%",,1350,,,,,"13,14,15;"
24/06/2025,Petrobras,êntures  Petrobras,grupo,DEB,12.431,AAA,"UBS-BB, Bradesco BBI, BTG Pactual, Itaú BBA, Santander, XP",3a,20 anos;,IPCA,6.8431,,"IPCA + 6,8431 / Teto - 0,10%",,NTN-B,-0.3,B45,"B45-0,30% ou IPCA + 6,95%",,1270,,,,,bullet;
24/06/2025,Taesa,,alias~,DEB,CVM160,AAA,BBI(Líder),1a,5y Bullet,CDI,0.55,,"CDI + 0,50% com deságio para CDI + 0,55%",,,,,,,201,201,,,,
24/06/2025,Taesa,,alias~,DEB,CVM160,AAA,BBI(Líder),2a,7y Bullet,CDI,0.65,,"CDI + 0,59% com deságio para CDI + 0,65%",,,,,,,49,49,,5,,
24/06/2025,Taesa,,alias~,DEB,CVM160,AAA,BBI(Líder),1a,5y Bullet,CDI,0.55,,"CDI + 0,50% com deságio para CDI + 0,55%",,,,,,,364,364,,,,
24/06/2025,Taesa,,alias~,DEB,CVM160,AAA,BBI(Líder),2a,7y Bullet,CDI,0.65,,"CDI + 0,59% com deságio para CDI + 0,65%",,,,,,,86,86,,,,
24/06/2025,Pátria,,alias~,DEB,CVM160,,IBBA (Líder),unica,7y Bullet,CDI,1.9,,"CDI + 1,90%",,,,,,,,,,3/3,,
25/06/2025,Desktop,Desktop,grupo,DEB,CVM160,A,BV,unica,7y (6/7),NTN-B,0.65,,"B30+0,65% (fixing hoje)",B30,,,,,,,,,17/16,,
26/06/2025,Nadir Figueiredo,,grupo,DEB,CVM160,,IBBA (Líder),unica,7y Semestral 2y car.,CDI,1.15,,"CDI + 1,15%",,CDI,1.15,,"CDI + 1,15%",0,,,,,,
27/06/2025,Equatorial,,alias~,DEB,12.431,AAA,"BTG(Líder), XP, Safra e IBBA",unica,12y 9/10/11/12,NTN-B,0.16,7.4468,"B35 + 0,16% (IPCA + 7,4468%)",B35,,,,,,1750,1750,1,11/11,,
30/06/2025,EDP,,grupo,DEB,CVM160,AAA,BBI(Líder),1a,5y (4/5),CDI,0.55,,"CDI + 0,55%",,CDI,0.5,,"CDI + 0,50% Des(0,55%)",-5,653,600,,6/6,,
30/06/2025,EDP,,grupo,DEB,CVM160,AAA,BBI(Líder),2a,7y (6/7),CDI,0.063,,"CDI + 0,063%",,CDI,0.58,,"CDI + 0,58% Des(0,63%)",52,370,600,,4/4,,
02/07/2025,THOPEN SOLAR 10 S.A.,êntures  Thopen Solar 10 SPE,emissor,DEB,12.431,A,XP,unica,14 anos;,IPCA,9.323,,"IPCA + 9,3230%",,,,,,,110.64,,,5<Mensagemeditada>,,"Customizada, 6y duration"
02/07/2025,PetroReconcavo,,grupo,DEB,CVM160,AA,"IBBA (Líder), XP",unica,7y (6/7),CDI,1.1,,"CDI + 1,10%",,CDI,1.1,,"CDI + 1,10%",0,,,,Clubdeal,,
02/07/2025,ISA Energia,,alias,DEB,12.431,AAA,BBI (Líder) e IBBA,unica,10y Bullet,NTN-B,-0.15,6.9008,"B40 - 0,15% (IPCA + 6,9008%)",B40,NTN-B,-0.4,B40,"B40 - 0,40% ou IPCA + 6,70% Des(B40 - 0,15%)",-25,,,,3/3,,
02/07/2025,Alupar,,grupo,DEB,CVM160,,ABC (Líder),unica,5y (4/5),CDI,0.59,,"CDI + 0,59%",,CDI,0.59,,"CDI + 0,59%",0,,,,,,
02/07/2025,EDP,,grupo,DEB,CVM160,AAA,IBBA(Líder),unica,5y Bullet,CDI,0.55,,"CDI + 0,55%",,CDI,0.47,,"CDI + 0,47% Des(0,55%)",-8,,,,,,
03/07/2025,Usina SAO Jose da Estiva SA,,alias,DEB,12.431,,IBBA(Líder),unica,7y,NTN-B,0.9,8.4401,"B30 + 0,90% (IPCA + 8,4401%)",B30,NTN-B,0.9,B30,"B30 + 0,90%",0,,,,,,Semestral car. 4y
08/07/2025,CONCESSIONARIA ECOVIAS RAPOSO-CASTELO S.A,,emissor,DEB,12.431,AAA,BBI (Líder),unica,4y Bullet,NTN-B,0.1,7.7555,"B30 + 0,10% (IPCA + 7,7555%)",B30,,0.1,,"B30 + Max(0,10%) Min(-0,06%)",,,,,,,
08/07/2025,Coqueiros,,grupo,DEB,CVM160,,BBI (Líder) e BTG,unica,5y Bullet,CDI,0.53,,"CDI + 0,53%",,CDI,0.5,,"CDI + 0,50% Des(0,53%)",-3,,,,,,
10/07/2025,Athon Energia,,grupo,DEB,12.431,AAA,BTG(Líder),unica,5y Custon.,NTN-B,0.5,7.8969,"B35 + 0,50% (IPCA + 7,8969)",B35,NTN-B,0.5,B35,"B35 + 0,50% ou IPCA + 7,52%",0,,,,,,
10/07/2025,Engie,,grupo,DEB,12.431,AAA,IBBA (Líder),1a,10y,,0.35,,"DI Jan/31 - 0,35% (13,21%)",,,0.65,,"DI Jan/31 - 0,65% Des(-0,35%)",30,112,750,,9/9,,anual após 8 anos
10/07/2025,Engie,,grupo,DEB,12.431,AAA,IBBA (Líder),2a,10y,NTN-B,-0.3,7.038,"B35 - 0,30% (IPCA + 7,0380%)",B35,NTN-B,-0.47,B35,"B35 - 0,47% Des(-0,30%)",-17,331,1450,,15/15,,anual após 9 anos
11/07/2025,MRS,,grupo,DEB,12.431,AAA,"XP (Líder), BTG, Safra e Santander",1a,7y Bullet,NTN-B,-0.34,,"B32 - 0,34% (Fixing hoje)",B32,NTN-B,-0.34,B32,"B32 - 0,34%",0,23.1,600,,7/7,,
