Semana,Gestor_Apelido,Captacao,Resgate,Liquido,PL_Medio,Num_Fundos,DataBase
2025-07-28,"Norte",30000,3168.46,26831.54,157385234.54,1,2025-08-01
2025-07-28,"Novus",191780.41,32760.49,159019.92,113345655.12,1,2025-08-01
2025-07-28,"Nu Asset",4188000,956000,3232000,3939794257.87,3,2025-08-01
2025-07-28,"Occam",38533981.39,10027000,28506981.39,4963137948.95,5,2025-08-01
2025-07-28,"Onze",187681.07,70980.6,116700.47,131070035.98,2,2025-08-01
2025-07-28,"Oriz",0,0,0,172370642.03,3,2025-08-01
2025-07-28,"Paramis",4394012.08,6374247.6,-1980235.52,1334317136.97,5,2025-08-01
2025-07-28,"Patagônia",0,0,0,15729217.08,1,2025-08-01
2025-07-28,"Pátria",12530.07,0,12530.07,19430593.96,1,2025-08-01
2025-07-28,"Plural",2296106.55,3282321.6,-986215.05,2337638201.94,8,2025-08-01
2025-07-28,"PNBY",700626.02,3187938.77,-2487312.75,391335784.64,3,2025-08-01
2025-07-28,"Polígono",0,0,0,32978897.5,1,2025-08-01
2025-07-28,"Polo",2354992.95,1400000,954992.95,1921284761.29,8,2025-08-01
2025-07-28,"Porto Asset",49164495.47,34115019.06,15049476.41,10046089155.46,9,2025-08-01
2025-07-28,"Portofino",2460343.13,0,2460343.13,1093472317.29,5,2025-08-01
2025-07-28,"Prada",0,0,0,57217441.73,2,2025-08-01
2025-07-28,"Previ",0,0,0,689298371.87,1,2025-08-01
2025-07-28,"Principal",23962.33,1449888.05,-1425925.72,629135485.86,6,2025-08-01
2025-07-28,"Prumo",0,0,0,36778221.92,1,2025-08-01
2025-07-28,"Quantitas",500000,0,500000,1594296512.34,2,2025-08-01
2025-07-28,"Rafter",600000,1132671.37,-532671.37,567440333.38,8,2025-08-01
2025-07-28,"Reach",0,0,0,60859314.38,1,2025-08-01
2025-07-28,"Regia",100173666.9,2535838.71,97637828.19,8866818830.41,4,2025-08-01
2025-07-28,"Rio Bravo",6725,4604.24,2120.76,133891836.36,2,2025-08-01
2025-07-28,"Riza",54011301.23,17289492.24,36721808.99,8537365386.41,6,2025-08-01
2025-07-28,"Root",3839762.13,210000,3629762.13,3385389941.82,8,2025-08-01
2025-07-28,"Rubik",0,0,0,34209267.99,2,2025-08-01
2025-07-28,"Safra Asset",70927562.99,136098101.05,-65170538.06,48556056024.32,23,2025-08-01
2025-07-28,"SAM",210935390.31,149764820.74,61170569.57,127074988830.22,21,2025-08-01
2025-07-28,"San WM",0,0,0,764218776.86,9,2025-08-01
2025-07-28,"Scalare",0,0,0,14428958.31,3,2025-08-01
2025-07-28,"SFI",192960.67,59758.03,133202.64,81020535.48,1,2025-08-01
2025-07-28,"Solis",1433220.87,125198.25,1308022.62,807013012.89,2,2025-08-01
2025-07-28,"Somma",157158.16,221745.56,-64587.4,798204761.99,4,2025-08-01
2025-07-28,"Sonata",0,0,0,137337253.13,4,2025-08-01
2025-07-28,"Sparta",12396000,11198137.87,1197862.13,10737488034.3,17,2025-08-01
2025-07-28,"Springs",0,0,0,3977261.99,1,2025-08-01
2025-07-28,"SPX",11910017.35,1234705.62,10675311.73,5680584987.34,4,2025-08-01
2025-07-28,"Starboard",0,0,0,44094271.96,1,2025-08-01
2025-07-28,"Stonex",0,0,0,172874495.43,1,2025-08-01
2025-07-28,"Strix",0,0,0,374885152.68,1,2025-08-01
2025-07-28,"Sulamérica",154470772.09,33938813.06,120531959.03,23684656726.01,24,2025-08-01
2025-07-28,"SVN",14821701.59,1671514.86,13150186.73,2660127825.28,2,2025-08-01
2025-07-28,"TAG",0,0,0,79083617.22,1,2025-08-01
2025-07-28,"Tagus",93853.13,606327.58,-512474.45,442052863.3,3,2025-08-01
2025-07-28,"Tenax",0,0,0,11153562.67,1,2025-08-01
2025-07-28,"Tivio",39728441.4,27984696.54,11743744.86,3716771814.2,7,2025-08-01
2025-07-28,"Trígono",11005.5,0,11005.5,138684707.02,1,2025-08-01
2025-07-28,"Turim",0,3637184.01,-3637184.01,244254156.77,1,2025-08-01
2025-07-28,"Tyton",769770.52,600000,169770.52,265083872.33,3,2025-08-01
2025-07-28,"UBS",43059874.96,41448646.91,1611228.05,9968322750.05,26,2025-08-01
2025-07-28,"Valora",6047797.32,6645192.15,-597394.83,3678327936.67,5,2025-08-01
2025-07-28,"VCM",0,0,0,50969395.08,1,2025-08-01
2025-07-28,"Vêneto",0,0,0,22676260.08,1,2025-08-01
2025-07-28,"Verde",0,0,0,383301834.88,2,2025-08-01
2025-07-28,"Vinci",11198561.88,4988062.2,6210499.68,4774528814.48,14,2025-08-01
2025-07-28,"Vinland",11462940.04,5000,11457940.04,4046496220.67,4,2025-08-01
2025-07-28,"Vitra",0,0,0,39998542.74,1,2025-08-01
2025-07-28,"VLGI",1471562.07,1781921.73,-310359.66,193274946.37,1,2025-08-01
2025-07-28,"Vox",64027.24,0,64027.24,75950303.11,1,2025-08-01
2025-07-28,"Warren",49335.37,87325.18,-37989.81,135833571.54,3,2025-08-01
