Mes,Gestor_Apelido,Captacao,Resgate,Liquido
2025-08,"Safra Asset",1596814639.09,2466842786.88,-870028147.79
2025-08,"SAM",4145100374.69,4034588321.64,110512053.05
2025-08,"San WM",28118566.79,18254212.61,9864354.18
2025-08,"Scalare",1157413.33,922622.56,234790.77
2025-08,"SFI",7089196.01,5970570.15,1118625.86
2025-08,"Solis",50811071.67,10427166.31,40383905.36
2025-08,"Somma",48929240.35,26615593.32,22313647.03
2025-08,"Sonata",0,0,0
2025-08,"Sparta",423195160.41,527029700.71,-103834540.3
2025-08,"Springs",5000,500000.01,-495000.01
2025-08,"SPX",319120782.72,134678260.68,184442522.04
2025-08,"Starboard",10314.87,0,10314.87
2025-08,"Stonex",160000,0,160000
2025-08,"Strix",4235000,6520000,-2285000
2025-08,"Sulamérica",1934769786.85,1539084371.99,395685414.86
2025-08,"SVN",178367308.63,135775689.78,42591618.85
2025-08,"TAG",0,1871642.97,-1871642.97
2025-08,"Tagus",3480879.94,17621455.44,-14140575.5
2025-08,"Tenax",0,2000,-2000
2025-08,"Tivio",785940175.16,294914217.61,491025957.55
2025-08,"Trígono",3232281.34,3146067.24,86214.1
2025-08,"Turim",14217698.26,15839896.56,-1622198.3
2025-08,"Tyton",36621444.82,3638022.04,32983422.78
2025-08,"UBS",1239224213.88,1510441551.26,-271217337.38
2025-08,"Valora",177640133.68,107435991.26,70204142.42
2025-08,"VCM",10128.91,203427.6,-193298.69
2025-08,"Vêneto",0,0,0
2025-08,"Verde",3900000,4093000,-193000
2025-08,"Vinci",271297698.09,111633721.38,159663976.71
2025-08,"Vinland",402960556.92,418010996.3,-15050439.38
2025-08,"Vitra",0,0,0
2025-08,"VLGI",35930518.96,41810012.33,-5879493.37
2025-08,"Vox",264854.53,379000.42,-114145.89
2025-08,"Warren",3153556.51,2171019.85,982536.66
2025-08,"Wise",22606694.18,20556082.16,2050612.02
2025-08,"WIT",0,0,0
2025-08,"XPG",3686560700.68,1617246944.09,2069313756.59
2025-08,"XVI",129296.48,400000,-270703.52
2025-08,"ZSYS",1602221.24,775505.05,826716.19
2025-09,"4UM",6181904.99,1889482.59,4292422.4
2025-09,"Absolute",1114266307.72,861241869.01,253024438.71
2025-09,"AF Invest",84784406.04,62610171.19,22174234.85
2025-09,"Altera",10535319.54,601652.03,9933667.51
2025-09,"Amazonia",0,0,0
2025-09,"AMW",21100000,5105000,15995000
2025-09,"Angá",0,0,0
2025-09,"Aramus",0,0,0
2025-09,"ARX",784422795.89,517350888.89,267071907
2025-09,"ASA",613928,5367413.31,-4753485.31
2025-09,"Asset 1",60660000,17500000,43160000
2025-09,"Atena",26707868.98,32482444.54,-5774575.56
2025-09,"Augme",39107786.13,253727544.31,-214619758.18
2025-09,"AZ Quest",671775532.03,1021381136.76,-349605604.73
2025-09,"Banrisul",838685371.09,827470038.46,11215332.63
2025-09,"BB Asset",23425662887.5,21468367503.24,1957295384.26
2025-09,"BBM Asset",24264451.69,60697598.63,-36433146.94
2025-09,"Berkana",0,0,0
2025-09,"BNP",26816518.07,23508140.05,3308378.02
2025-09,"Bocaina",43000,0,43000
2025-09,"Brainvest",19261613.53,93664.74,19167948.79
2025-09,"BRAM",12007175174.52,8088664675.01,3918510499.51
2025-09,"Brave",24205735.19,6132441.18,18073294.01
2025-09,"BRM",7206628.42,0,7206628.42
2025-09,"BRZ",260272.09,2914534.2,-2654262.11
2025-09,"BTG Asset",1618333398.94,896048807.87,722284591.07
2025-09,"BTG WM",105132142.64,81175192.74,23956949.9
2025-09,"Butiá",22402283.51,31614312.19,-9212028.68
2025-09,"BV Asset",0,0,0
2025-09,"Capitânia",52549365.2,373946206.45,-321396841.25
2025-09,"Capri",0,0,0
2025-09,"Cartor",4197454.68,8479153.13,-4281698.45
2025-09,"CEF Asset",2140213527.31,2039764193.91,100449333.4
2025-09,"Chromo",2150012.26,2906737.52,-756725.26
2025-09,"DAO",0,0,0
2025-09,"Daycoval",92149189.23,167089526.32,-74940337.09
2025-09,"Devant",3930.09,1177381.58,-1173451.49
2025-09,"Drys",61277016.82,54782541.95,6494474.87
2025-09,"Dynamo",50000,6150000,-6100000
2025-09,"Ekho",0,0,0
2025-09,"EQI",26371055,48113000,-21741945
2025-09,"Exploritas",43815.84,6004536.78,-5960720.94
2025-09,"EXT",4345491.79,0,4345491.79
2025-09,"FAR",100000,125000,-25000
2025-09,"Finacap",71573.01,122275.03,-50702.02
2025-09,"Franklin Templeton",21195349.93,82817236.62,-61621886.69
2025-09,"Funcef",0,0,0
2025-09,"G5",24620000.03,22520015.48,2099984.55
2025-09,"Galapagos",23500000,62515130.51,-39015130.51
2025-09,"Galt",4165793.68,7644560.25,-3478766.57
2025-09,"Gauss",0,0,0
2025-09,"GHT4",1969023.13,14149869.99,-12180846.86
2025-09,"Global",46800739.89,0,46800739.89
2025-09,"Guardian",11717051.42,1335396.27,10381655.15
2025-09,"IAM",18231620380.15,16091766455.33,2139853924.82
2025-09,"Ibuina",54327638.04,93287507.33,-38959869.29
2025-09,"Icatu",811511173.97,442176913.32,369334260.65
2025-09,"Impacto",0,945511.76,-945511.76
2025-09,"Integral",15340516.04,4657925.42,10682590.62
2025-09,"Inter",235850218.86,180459379.78,55390839.08
2025-09,"Investcoop",2250000,670393.65,1579606.35
2025-09,"Iridium",108289435.1,105750167.18,2539267.92
2025-09,"JGP",828691386.29,327957468.22,500733918.07
2025-09,"Jive",47424121.81,2875641.84,44548479.97
2025-09,"Kadima",1670000,0,1670000
2025-09,"Kinea",5008500441.39,2803118179.18,2205382262.21
2025-09,"Lakewood",1422680.04,26600750.03,-25178069.99
2025-09,"Legacy",60263357.47,106636926.98,-46373569.51
2025-09,"Lerosa",216088.84,126100,89988.84
2025-09,"Levante",5575000,0,5575000
2025-09,"Lifetime",0,328653.65,-328653.65
2025-09,"M8",72010496.59,44116050.36,27894446.23
2025-09,"MAG",159169009.96,154445793.29,4723216.67
2025-09,"Maud",800000,1333569.67,-533569.67
2025-09,"Mirabaud",18792800.11,7240066.65,11552733.46
2025-09,"Monte Azul",0,0,0
2025-09,"Monte Bravo",177898093.3,231593632.42,-53695539.12
2025-09,"Nest",0,25000,-25000
2025-09,"Norte",758635.35,1676582.64,-917947.29
2025-09,"Novus",9285535.07,3269847.19,6015687.88
2025-09,"Nu Asset",75308000,101828000,-26520000
2025-09,"Occam",559565878.18,378927695.89,180638182.29
2025-09,"Onze",10881453.11,663640.98,10217812.13
2025-09,"Oriz",0,136300,-136300
2025-09,"Paramis",134935222.37,99648432.02,35286790.35
2025-09,"Patagônia",264760.51,1909723.75,-1644963.24
2025-09,"Pátria",9675130.01,0,9675130.01
2025-09,"Plural",43279938.69,153840906.07,-110560967.38
2025-09,"PNBY",8226192.24,35220955.03,-26994762.79
2025-09,"Polígono",1200000,2075000,-875000
2025-09,"Polo",37390186.8,101657649.76,-64267462.96
2025-09,"Porto Asset",838290332.3,790391948.43,47898383.87
2025-09,"Portofino",12832755.1,1223562.32,11609192.78
2025-09,"Prada",0,7697795.76,-7697795.76
2025-09,"Previ",180000,16680000,-16500000
2025-09,"Principal",43495947.91,58626160.46,-15130212.55
2025-09,"Prumo",0,0,0
2025-09,"Quantitas",42875000,29506810.13,13368189.87
2025-09,"Rafter",7651617.18,13957595.4,-6305978.22
2025-09,"Reach",4300000,0,4300000
2025-09,"Regia",292861387.42,205521557.83,87339829.59
2025-09,"Rio Bravo",20805673.84,3008974.65,17796699.19
2025-09,"Riza",569356655.88,682061519.31,-112704863.43
2025-09,"Root",281138762.63,58840030.27,222298732.36
2025-09,"Rubik",0,0,0
2025-09,"Safra Asset",2401752843.34,3070321648.36,-668568805.02
2025-09,"SAM",4186825745.65,4204398144.61,-17572398.96
2025-09,"San WM",1065000,15950162.06,-14885162.06
2025-09,"Scalare",0,157700,-157700
2025-09,"SFI",3945800.05,1122579.43,2823220.62
2025-09,"Solis",27277658.75,13436174.06,13841484.69
2025-09,"Somma",64049945.28,33743259.13,30306686.15
2025-09,"Sonata",6000000,0,6000000
2025-09,"Sparta",215694548.48,412167500.77,-196472952.29
2025-09,"Springs",111000,0,111000
2025-09,"SPX",412267275.18,157163245.55,255104029.63
2025-09,"Starboard",10314.87,0,10314.87
2025-09,"Stonex",50000,0,50000
2025-09,"Strix",9990000,32269999.99,-22279999.99
2025-09,"Sulamérica",1792913268.09,1444670940.9,348242327.19
2025-09,"SVN",125949867.38,107364957.25,18584910.13
2025-09,"TAG",1201000.37,1055052.15,145948.22
2025-09,"Tagus",3431033.98,59260864.62,-55829830.64
2025-09,"Tenax",0,2000,-2000
2025-09,"Tivio",1045374300.94,463298557.96,582075742.98
2025-09,"Trígono",7557693.8,9856284.6,-2298590.8
2025-09,"Troon",12539892.8,0,12539892.8
2025-09,"Turim",21156212.58,7108390.17,14047822.41
2025-09,"Tyton",59314642,10882498.91,48432143.09
2025-09,"UBS",1928527670.07,2031284958.61,-102757288.54
2025-09,"Valora",233987242.43,110554197.08,123433045.35
2025-09,"VCM",5000,229983.26,-224983.26
2025-09,"Vêneto",0,0,0
2025-09,"Verde",0,7143000,-7143000
2025-09,"Vinci",419844490.15,131655414.17,288189075.98
2025-09,"Vinland",888861957.48,1271107501.39,-382245543.91
2025-09,"Vitra",0,13053210.56,-13053210.56
2025-09,"VLGI",55344447.2,33741179.99,21603267.21
2025-09,"Vox",743013.2,2262500.88,-1519487.68
2025-09,"Warren",3817792.75,2564074.76,1253717.99
2025-09,"Wise",37624557.62,15170693.84,22453863.78
2025-09,"WIT",700000,0,700000
2025-09,"XPG",1525789867.94,2024103360.09,-498313492.15
2025-09,"XVI",3.1,244324.73,-244321.63
2025-09,"ZSYS",1888884.12,446894.65,1441989.47
2025-10,"4UM",34599047.92,9947209.01,24651838.91
2025-10,"Absolute",1616834848.85,1017878724.09,598956124.76
2025-10,"AF Invest",48502534.2,173884851.22,-125382317.02
2025-10,"Altera",5835136.45,1743777.84,4091358.61
2025-10,"Amazonia",0,0,0
2025-10,"AMW",18023000,26652144.22,-8629144.22
2025-10,"Angá",0,0,0
2025-10,"Aramus",0,0,0
2025-10,"ARX",964520702.47,500751555.35,463769147.12
2025-10,"ASA",797554.98,8035552.13,-7237997.15
2025-10,"Asset 1",83410000,36516435.46,46893564.54
2025-10,"Atena",38552592.14,34186797.12,4365795.02
2025-10,"Augme",73045788,40115325.73,32930462.27
2025-10,"AZ Quest",776956876.48,1005448383.9,-228491507.42
2025-10,"Banrisul",813410821.72,958186163.18,-144775341.46
2025-10,"BB Asset",21246289696.24,20198253565.91,1048036130.33
2025-10,"BBM Asset",3230070.52,10701033.21,-7470962.69
2025-10,"Berkana",0,0,0
2025-10,"BNP",16843836.18,25221005.77,-8377169.59
2025-10,"Bocaina",71800,0,71800
2025-10,"Brainvest",16558027.99,432600,16125427.99
2025-10,"BRAM",9889741800,7783658923.06,2106082876.94
2025-10,"Brave",31341163.25,5367344.67,25973818.58
2025-10,"BRM",2045310.24,0,2045310.24
2025-10,"BRZ",22018805.45,2732917.03,19285888.42
2025-10,"BTG Asset",1511701481.01,1161430099.97,350271381.04
2025-10,"BTG WM",133635173.74,173814269.43,-40179095.69
2025-10,"Butiá",19835618.62,26199917.09,-6364298.47
2025-10,"BV Asset",5000000,0,5000000
2025-10,"Capitânia",66346136.74,310512112.55,-244165975.81
2025-10,"Capri",0,0,0
2025-10,"Cartor",9690870.37,15788758.66,-6097888.29
2025-10,"CEF Asset",2045327952.8,2192987931.81,-147659979.01
2025-10,"Chromo",0,6242360.51,-6242360.51
2025-10,"DAO",0,0,0
2025-10,"Daycoval",113150292.18,160292633.72,-47142341.54
2025-10,"Devant",5078.21,842985.31,-837907.1
2025-10,"Drys",64870290.39,69007921.41,-4137631.02
