CNPJ_Fundo,Nome_Fundo,Gestor_Apelido,PctCDI_1s,PctCDI_1m,PctCDI_3m,PctCDI_6m,PctCDI_12m
61660997000109,"ABSOLUTE ATENAS PREVIDÊNCIA C1 FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA","Absolute",106.3112,100.9233,122.6312,93.9779,95.3421
61690888000126,"LAVALLA 200 CLASSE DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO - RESP LIMITADA","UBS",111.235,95.4357,99.7306,99.2656,92.1087
61725196000176,"CAPITÂNIA PREVIDENCE XP SEG FI FINANCEIRO RENDA FIXA CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA","Capitânia",136.6518,101.2153,130.8967,119.3211,110.9848
61817868000173,"UBS EVOLUTION MAKTUB FUNDO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA CRED PRIV RESP LIMITADA","UBS",66.7983,92.4259,132.4438,112.9513,
61972672000153,"MMTH FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA","BTG Asset",103.7341,99.3057,104.3104,103.7384,100.7517
62021805000179,"WISE CASH PREVIDÊNCIA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO","Wise",103.1243,97.6732,105.366,97.9909,
62144203000109,"TRN CASH FUNDO DE INVESTIMENTO EM RENDA FIXA CRÉDITO PRIVADO LONGO PRAZO RESPONSABILIDADE LIMITADA","Troon",107.391,100.8273,104.0965,103.4585,
62155864000130,"PORTO GUANABARA FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA RESPONSABILIDADE LIMITADA","Porto Asset",149.3817,110.4176,,,
62203847000120,"SULAMÉRICA CRÉDITO ESG MASTER FIF RENDA FIXA CRÉDITO PRIVADO LONGO PRAZO IS DE RESP LIMITADA","Sulamérica",112.3895,105.4713,117.935,105.4995,
62232489000184,"TIVIO INSTITUCIONAL MASTER FIF - CI RF CRÉDITO PRIVADO LONGO PRAZO - RESPONSABILIDADE LIMITADA","Tivio",124.0772,116.9962,124.3143,106.8951,
62240763000167,"ONDA FIF FUNDO INCENTIVADO EM INVESTIMENTO EM DEBÊNTURES DE INFRA RENDA FIXA CRED PRIV RESP LIMITADA","IAM",72.3305,96.5736,101.2749,101.9475,
62300839000100,"BRASILPREV RIZA LOTUS PREVIDÊNCIA FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA","Riza",113.4388,112.324,112.6814,107.3965,
62317574000145,"GREEN 4 2026 FIF FUNDO INCENTIVADO EM INVESTIMENTO EM DEB DE INFRA RF CRÉD PRIV RESP LIMITADA","IAM",111.4448,67.3147,2.1708,,
62333997000159,"TIVIO ALT LIGHT XP SEG MASTER PREV FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO RESP LIMITADA","Tivio",104.2793,100.7877,116.4853,109.5315,
62363801000179,"FAN FIF FI INCENTIVADO EM DEBÊNTURES DE INFRA RENDA FIXA CRÉDITO PRIVADO RESP LIMITADA","IAM",70.9587,89.4647,106.6268,,
