Gestor,NumFundos,PL_Carteira,CaixaConsolidado,PctPL,CaixaEstimadoAtual,FluxoLiquidoPosterior
"Warren",1,24868826.66,385120.38,0.0155,386716.08,9.8
"FAR",1,6751306.39,336701,0.0499,324383.24,-306341.42
"Angá",1,7070014.6,193119.62,0.0273,193060.37,7.98
"Springs",1,17228415.8,131958.13,0.0077,129029.04,-299984.28
"Gauss",1,8418964.73,62872,0.0075,62886.34,0.75
"Valia",1,95013226.06,50458.12,0.0005,51078.55,87.93
"BRM",1,89940352.3,27368.41,0.0003,27446.57,153226.69
"Douro",2,30244831.6,2500,0.0001,2175.98,-2000026.75
"Troon",1,99816811.71,2000,0,2012.56,64416.53
"Aramus",1,40000438.49,500,0,502.98,14.16
"RBR",2,119014900.22,100,0,101.07,57.06
"Jera",1,33907495.74,0,0,0,11.26
"GV Atacama",1,14986643.95,0,0,0,6.2
"Starboard",1,38716892.9,0,0,0,-880017.85
