Semana,Gestor_Apelido,Captacao,Resgate,Liquido,PL_Medio,Num_Fundos,DataBase
2025-07-28,"SAM",135444099.96,2503800,132940299.96,6930448036.59,7,2025-08-01
2025-07-28,"San Tsy",0,0,0,14337993192.69,2,2025-08-01
2025-07-28,"San WM",17112499.36,120156.13,16992343.23,4654778416.29,91,2025-08-01
2025-07-28,"Scalare",0,11536719.88,-11536719.88,2186828854.1,3,2025-08-01
2025-07-28,"Seven Pounds",0,0,0,5107252,1,2025-08-01
2025-07-28,"Somma",20204.59,359.83,19844.76,13152722.85,1,2025-08-01
2025-07-28,"Sparta",13662173.09,1319612.32,12342560.77,5593049591.06,13,2025-08-01
2025-07-28,"SPX",22746812.85,36479.22,22710333.63,1485712724.48,3,2025-08-01
2025-07-28,"Sulamérica",64000,0,64000,1071479058.04,3,2025-08-01
2025-07-28,"Suno",0,0,0,73712631.54,2,2025-08-01
2025-07-28,"SWM",131915.39,0,131915.39,287562505.71,4,2025-08-01
2025-07-28,"TAG",0,0,0,34061459.89,1,2025-08-01
2025-07-28,"Tenax",669200,2643884.56,-1974684.56,205868100.13,1,2025-08-01
2025-07-28,"Tivio",0,0,0,300247286.72,5,2025-08-01
2025-07-28,"Tori 21",0,0,0,14264263.56,1,2025-08-01
2025-07-28,"Trígono",0,0,0,43638304.88,1,2025-08-01
2025-07-28,"Turim",0,0,0,150122907.94,3,2025-08-01
2025-07-28,"UBS",3080170.85,2436936.82,643234.03,7097658807.37,70,2025-08-01
2025-07-28,"Valia",69231.51,69231.51,0,90267367.99,1,2025-08-01
2025-07-28,"Valora",452173,0,452173,151428200.45,2,2025-08-01
2025-07-28,"Vêneto",0,0,0,54343758.85,1,2025-08-01
2025-07-28,"Vinci",521738.07,10000,511738.07,1539375132.46,5,2025-08-01
2025-07-28,"Vinland",5820,1514895.66,-1509075.66,5027875808.47,3,2025-08-01
2025-07-28,"WHG",0,40000,-40000,67894381.64,2,2025-08-01
2025-07-28,"XPG",31282684.05,1391776.81,29890907.24,12182788258.58,38,2025-08-01
2025-07-28,"YVY",0,0,0,185640317.54,1,2025-08-01
2025-08-04,"4UM",0,0,0,17404957.65,1,2025-08-08
2025-08-04,"Absolute",422868972.4,19027242.55,403841729.85,10135850391.76,10,2025-08-08
2025-08-04,"Ace",0,43699,-43699,3104907.43,1,2025-08-08
2025-08-04,"AF Invest",77209165.33,0,77209165.33,275028030.69,4,2025-08-08
2025-08-04,"Altera",10480000,3030000,7450000,183798723.3,3,2025-08-08
2025-08-04,"Andbank",0,0,0,87538769.42,2,2025-08-08
2025-08-04,"ARX",54569220.6,27993338.13,26575882.47,5862114318.64,8,2025-08-08
2025-08-04,"ASA",450660,0,450660,94679029.69,3,2025-08-08
2025-08-04,"Asset 1",830000,0,830000,40009598.33,1,2025-08-08
2025-08-04,"Atena",5000,0,5000,20804149.56,1,2025-08-08
2025-08-04,"Augme",124235,303024.59,-178789.59,116851540.18,2,2025-08-08
2025-08-04,"AZ Quest",1109035.63,1912385.96,-803350.33,552137645.29,2,2025-08-08
2025-08-04,"BB Asset",605390335.94,54388092.57,551002243.37,13719178046.6,65,2025-08-08
2025-08-04,"BBM Asset",178918.34,23959.13,154959.21,143477912.12,2,2025-08-08
2025-08-04,"BDR",0,0,0,171660810.69,2,2025-08-08
2025-08-04,"Black Swan",0,0,0,24579988.98,1,2025-08-08
2025-08-04,"Bocaina",185000,5550000,-5365000,502606197.17,7,2025-08-08
2025-08-04,"BR Partners",0,0,0,382157302.45,9,2025-08-08
2025-08-04,"Brainvest",6382345.42,0,6382345.42,33290466.38,1,2025-08-08
2025-08-04,"BRAM",437119328.38,126325887.53,310793440.85,16697352376.43,51,2025-08-08
2025-08-04,"BTG Asset",75677894.9,34103285.81,41574609.09,4520312638.52,12,2025-08-08
2025-08-04,"BTG WM",252602305.56,284820396.46,-32218090.9,16237018225.76,180,2025-08-08
2025-08-04,"Butiá",509.92,32786.97,-32277.05,15834371.32,1,2025-08-08
2025-08-04,"BV Asset",0,0,0,1010194.4,1,2025-08-08
2025-08-04,"Capitânia",3843574.5,3203584.02,639990.48,2758154761.79,12,2025-08-08
2025-08-04,"Citrino",0,0,0,67656684.22,1,2025-08-08
2025-08-04,"Daycoval",2144445.77,256594.21,1887851.56,140679998.57,3,2025-08-08
2025-08-04,"Daycoval Asset",20000000,0,20000000,81961378.83,1,2025-08-08
2025-08-04,"Douro",0,0,0,52010933.14,2,2025-08-08
2025-08-04,"Drys",0,0,0,24603731.47,1,2025-08-08
2025-08-04,"EQI",11461387.95,744198.49,10717189.46,136549142.32,1,2025-08-08
2025-08-04,"Exes",0,0,0,42673403.4,1,2025-08-08
2025-08-04,"FAR",56710.4,1669.05,55041.35,9578855.72,1,2025-08-08
2025-08-04,"Franklin Templeton",0,0,0,304706761.21,1,2025-08-08
2025-08-04,"G5",5282000,0,5282000,1503769582.99,43,2025-08-08
2025-08-04,"Galapagos",75485.45,632329.8,-556844.35,138081537.63,2,2025-08-08
2025-08-04,"Galt",0,0,0,123575303.83,2,2025-08-08
2025-08-04,"GV Atacama",0,0,0,16569711.14,1,2025-08-08
2025-08-04,"Heritage",0,0,0,85319901.96,1,2025-08-08
2025-08-04,"IAM",732132041.03,167558918.33,564573122.7,71988232773.22,246,2025-08-08
2025-08-04,"Ibuina",1888055.37,30000000,-28111944.63,592912131.3,1,2025-08-08
2025-08-04,"Icatu",19551168.71,663538.61,18887630.1,2383326527.07,9,2025-08-08
2025-08-04,"Inter",15233966.03,4024358.95,11209607.08,934000178.81,5,2025-08-08
2025-08-04,"Iridium",434513.8,770974.85,-336461.05,157028478.56,2,2025-08-08
2025-08-04,"ITAU Tsy",0,0,0,17349040416.65,1,2025-08-08
