Gestor_Apelido,Retorno_1s,Retorno_1m,Retorno_3m,Retorno_6m,Retorno_12m,PctCDI_1s,PctCDI_1m,PctCDI_3m,PctCDI_6m,PctCDI_12m,DataBase
"Guardian",0.2736,1.1766,1.6344,1.6344,1.6344,104.0485,105.8462,48.6571,23.7648,11.0784,2026-07-13
"IAM",0.3037,1.2547,1.7097,1.7097,1.7097,115.4912,112.8706,50.8981,24.8593,11.5886,2026-07-13
"Ibuina",0.3549,1.2205,1.7265,1.7265,1.7265,134.9882,109.7978,51.3997,25.1043,11.7028,2026-07-13
"Icatu",0.3364,1.2571,1.6974,1.6974,1.6974,127.9257,113.0883,50.5319,24.6804,11.5052,2026-07-13
"Integral",0.3095,1.296,1.8367,1.8367,1.8367,117.7159,116.5875,54.6808,26.7068,12.4499,2026-07-13
"Inter",0.2679,1.1155,1.599,1.599,1.599,101.8907,100.3502,47.6037,23.2503,10.8385,2026-07-13
"Investcoop",0.3227,1.2379,1.7251,1.7251,1.7251,122.7177,111.3662,51.3585,25.0842,11.6934,2026-07-13
"Iridium",0.3495,1.1993,1.6665,1.6665,1.6665,132.9272,107.8925,49.6143,24.2322,11.2963,2026-07-13
"JGP",0.3477,1.2648,1.8336,1.8336,1.8336,132.2458,113.7863,54.5881,26.6615,12.4288,2026-07-13
"Jive",0.2253,1.116,1.567,1.567,1.567,85.6875,100.3992,46.6513,22.7851,10.6217,2026-07-13
"Kadima",0.3001,0.8589,1.3939,1.3939,1.3939,114.1432,77.2691,41.4974,20.2679,9.4482,2026-07-13
"Kinea",0.3292,0.2464,0.4731,0.4731,0.4731,125.216,22.1631,14.0833,6.8785,3.2065,2026-07-13
"Legacy",0.3821,1.4371,1.9975,1.9975,1.9975,145.3308,129.2807,59.4665,29.0442,13.5395,2026-07-13
"Lifetime",0.0503,0.9171,1.3085,1.3085,1.3085,19.1366,82.4994,38.9551,19.0262,8.8694,2026-07-13
"M8",0.296,1.1998,1.6641,1.6641,1.6641,112.575,107.9305,49.5421,24.197,11.2799,2026-07-13
"MAG",0.2852,1.174,1.5888,1.5888,1.5888,108.4655,105.6137,47.2993,23.1016,10.7692,2026-07-13
"Maud",0.2743,1.314,1.7422,1.7422,1.7422,104.3165,118.204,51.866,25.332,11.809,2026-07-13
"Mirabaud",0.2957,1.1985,1.6293,1.6293,1.6293,112.4483,107.821,48.5056,23.6908,11.0439,2026-07-13
"Monte Bravo",0.056,0.8497,1.3255,1.3255,1.3255,21.2856,76.4416,39.4624,19.2739,8.9849,2026-07-13
"Nest",0.2706,0.9955,1.4224,1.4224,1.4224,102.9208,89.5519,42.3449,20.6818,9.6412,2026-07-13
"Novus",0.3216,1.2535,1.7417,1.7417,1.7417,122.3222,112.7609,51.852,25.3252,11.8058,2026-07-13
"Nu Asset",0.3003,1.2254,1.7166,1.7166,1.7166,114.1935,110.2387,51.1043,24.96,11.6356,2026-07-13
"Occam",0.3292,1.2588,1.7588,1.7588,1.7588,125.2009,113.2399,52.3625,25.5745,11.922,2026-07-13
"Onze",0.5948,1.4969,2.0018,2.0018,2.0018,226.2083,134.6619,59.5949,29.1069,13.5687,2026-07-13
"Oriz",0.3113,0.8693,1.174,1.174,1.174,118.3838,78.1982,34.9515,17.0707,7.9578,2026-07-13
"Paramis",0.3608,1.3243,1.667,1.667,1.667,137.2256,119.1342,49.6267,24.2383,11.2991,2026-07-13
"Patagônia",0.3172,1.1353,-2.4726,-2.4726,-2.4726,120.6589,102.1314,-73.6105,-35.9523,-16.7598,2026-07-13
"Plural",0.2782,1.1785,1.6269,1.6269,1.6269,105.7998,106.0147,48.4351,23.6563,11.0278,2026-07-13
"PNBY",0.3203,1.3263,1.9179,1.9179,1.9179,121.8178,119.3111,57.0977,27.8872,13.0002,2026-07-13
"Polígono",0.3072,1.255,1.7359,1.7359,1.7359,116.8249,112.8969,51.6791,25.2407,11.7664,2026-07-13
"Polo",0.3957,1.4843,1.8924,1.8924,1.8924,150.4786,133.5265,56.3376,27.516,12.8271,2026-07-13
"Porto Asset",0.2803,1.1636,1.5707,1.5707,1.5707,106.6115,104.6774,46.76,22.8382,10.6464,2026-07-13
"Portofino",0.3137,0.609,0.8676,0.8676,0.8676,119.3168,54.7817,25.8296,12.6155,5.8809,2026-07-13
"Prada",0.2927,1.147,1.5003,1.5003,1.5003,111.314,103.1826,44.6644,21.8147,10.1693,2026-07-13
"Previ",0.2502,0.9636,0.8918,0.8918,0.8918,95.1582,86.6853,26.549,12.9669,6.0447,2026-07-13
"Principal",0.3172,1.156,1.5778,1.5778,1.5778,120.6515,103.9953,46.9728,22.9421,10.6949,2026-07-13
"Prumo",0.3685,0.7833,0.7526,0.7526,0.7526,140.1643,70.4618,22.4069,10.9438,5.1017,2026-07-13
"Quantitas",0.2899,0.8521,1.2484,1.2484,1.2484,110.254,76.6545,37.1647,18.1517,8.4618,2026-07-13
"Rafter",0.3087,1.0339,1.4802,1.4802,1.4802,117.4037,93.006,44.0659,21.5223,10.033,2026-07-13
