CNPJ Gestor,Nome Gestor,Apelido Gestor
72.027.832/0001-02,DAYCOVAL ASSET MANAGEMENT ADMINISTRACAO DE RECURSOS LTDA,Daycoval
62.232.889/0001-90,BANCO DAYCOVAL S.A.,Daycoval Asset
28.363.263/0001-84,DEVANT ASSET INVESTIMENTOS LTDA,Devant
40.166.546/0001-31,DOURO CAPITAL GESTORA DE RECURSOS E INVESTIMENTOS LTDA.,Douro
08.204.817/0001-93,DRYS CAPITAL LTDA,Drys
72.116.353/0001-62,DYNAMO ADMINISTRAÇÃO DE RECURSOS LTDA,Dynamo
19.569.363/0001-70,EFFIKA INVESTIMENTOS - GESTORA DE PATRIMÔNIO LTDA,Effika
43.628.554/0001-40,EKHO INVESTIMENTOS LTDA.,Ekho
32.288.914/0001-96,EUQUEROINVESTIR GESTÃO DE RECURSOS LTDA,EQI
08.968.113/0001-97,EST GESTÃO DE PATRIMÔNIO LTDA.,EST
52.213.100/0001-08,EXA CAPITAL ASSET LTDA.,EXA
31.960.567/0001-33,EXES GESTORA DE RECURSOS LTDA.,Exes
12.860.692/0001-27,EXPLORITAS ADMINISTRACAO FINANCEIRA LTDA,Exploritas
48.089.509/0001-89,EXT CAPITAL LTDA.,EXT
01.861.016/0001-51,FAR FATOR ADMINISTRAÇÃO DE RECURSOS LTDA,FAR
01.294.929/0001-33,FINACAP INVESTIMENTOS LTDA,Finacap
35.646.759/0001-20,FORTUNE GESTORA DE RECURSOS LTDA.,Fortune
02.525.932/0001-83,FOX INVESTIMENTOS LTDA,Fox
07.437.241/0001-41,Franklin Templeton Brasil Ltda.,Franklin Templeton
00.436.923/0001-90,FUNDAÇÃO DOS ECONOMIÁRIOS FEDERAIS - FUNCEF,Funcef
18.465.825/0001-47,FUNPRESP-JUD FUNDAÇÃO DE PREVIDÊNCIA COMPLEMENTAR DO SERVIDOR PÚBLICO FEDERAL DO PODER JUDICIÁRIO,Funpresp
09.446.129/0001-00,G5 ADMINISTRADORA DE RECURSOS LTDA.,G5
32.706.879/0001-88,GALAPAGOS CAPITAL INVESTIMENTOS E PARTICIPAÇÕES LTDA.,Galapagos
29.158.123/0001-37,GALAPAGOS INVESTMENTS SOLUTIONS LTDA.,Galapagos
05.794.902/0001-60,GALAPAGOS MULTI FAMILY OFFICE LTDA,Galapagos
09.175.140/0001-75,GALT CAPITAL CONSULTORIA DE INVESTIMENTOS LTDA.,Galt
17.516.277/0001-74,GARIN INVESTIMENTOS LTDA,Garin
21.052.737/0001-28,GAUSS CAPITAL GESTORA DE RECURSOS LTDA,Gauss
39.720.860/0001-35,GCB CAPITAL GESTÃO DE RECURSOS DE VALORES MOBILIÁRIOS LTDA.,GCB
35.070.686/0001-71,GHIA GESTÃO DE RECURSOS LTDA.,Ghia
10.807.094/0001-69,GHT4 WEALTH MANAGEMENT LTDA.,GHT4
37.654.166/0001-31,GHT4 ASSET MANAGEMENT LTDA.,GHT4
09.031.993/0001-33,GLOBAL ASSET GESTORA DE RECURSOS LTDA,Global
30.038.003/0001-85,GOW CAPITAL GESTÃO DE RECURSOS E CONSULTORIA LTDA.,Gow
39.314.405/0001-30,GRIF CAPITAL GESTORA DE RECURSOS LTDA.,Grif
37.414.193/0001-37,GUARDIAN GESTORA LTDA.,Guardian
40.888.143/0001-04,GV ATACAMA CAPITAL LTDA.,GV Atacama
36.040.900/0001-00,HARBOUR CAPITAL ADMINISTRADORA DE CARTEIRAS DE VALORES MOBILIÁRIOS LTDA.,Harbour
57.168.667/0001-15,HERITAGE CAPITAL PARTNERS GESTÃO DE RECURSOS LTDA.,Heritage
40.430.971/0001-96,ITAU UNIBANCO ASSET MANAGEMENT LTDA.,IAM
19.493.000/0001-07,IBIUNA CRÉDITO GESTÃO DE RECURSOS LTDA.,Ibuina
18.506.057/0001-22,IBIUNA AÇÕES GESTÃO DE RECURSOS LTDA.,Ibuina
49.223.404/0001-33,IBIUNA PREVIDÊNCIA GESTÃO DE RECURSOS LTDA.,Ibuina
68.622.174/0001-20,ICATU VANGUARDA GESTÃO DE RECURSOS LTDA,Icatu
42.283.770/0001-39,ICATU SEGUROS S/A,Icatu
04.714.159/0001-29,IMPACTO INVESTIMENTOS LTDA,Impacto
06.576.569/0001-86,INTEGRAL INVESTIMENTOS LTDA.,Integral
05.585.083/0001-41,INTER ASSET GESTÃO DE RECURSOS LTDA.,Inter
31.681.693/0001-59,INVESTCOOP ASSET MANAGEMENT LTDA.,Investcoop
09.456.933/0001-62,IORQ GESTÃO DE RECURSOS LTDA,IORQ
29.325.262/0001-08,IRB ASSET MANAGEMENT S.A.,IRB
27.028.424/0001-10,IRIDIUM GESTÃO DE RECURSOS LTDA.,Iridium
60.701.190/0001-04,ITAU UNIBANCO S.A.,ITAU Tsy
31.410.054/0001-59,JATAI GESTÃO DE RECURSOS DE TERCEIROS LTDA.,Jataí
09.146.756/0001-18,JERA CAPITAL GESTAO DE RECURSOS LTDA,Jera
13.189.882/0001-27,JGP GESTÃO DE CREDITO LTDA,JGP
02.312.792/0001-65,JGP GESTÃO DE RECURSOS LTDA,JGP
53.980.469/0001-09,JGP Equities Gestão de Recursos Ltda.,JGP
07.170.960/0001-49,JIVE HIGH YIELD GESTÃO DE RECURSOS LTDA.,Jive
20.316.689/0001-75,JOURNEY CAPITAL ADMINISTRACAO DE RECURSOS LTDA,Journey
08.792.073/0001-75,KADIMA GESTAO DE INVESTIMENTOS LTDA,Kadima
20.429.285/0001-98,KAPITALO CICLO GESTORA DE RECURSOS FINANCEIROS LTDA,Kapitalo
11.180.009/0001-48,KAPITALO INVESTIMENTOS LTDA.,Kapitalo
08.604.187/0001-44,KINEA INVESTIMENTOS LTDA.,Kinea
22.134.302/0001-95,LAKEWOOD GESTÃO DE RECURSOS LTDA.,Lakewood
28.674.641/0001-40,LEGACY CAPITAL GESTORA DE RECURSOS LTDA.,Legacy
11.823.102/0001-23,LEROSA INVESTIMENTOS LTDA.,Lerosa
39.764.365/0001-28,LEVANTE GESTORA DE RECURSOS LTDA.,Levante
26.454.342/0001-75,LIFETIME GESTORA DE RECURSOS LTDA.,Lifetime
18.038.439/0001-79,M8 PARTNERS GESTORA DE RECURSOS LTDA.,M8
16.500.294/0001-50,MONGERAL AEGON INVESTIMENTOS LTDA,MAG
04.160.039/0001-27,MAPFRE INVESTIMENTOS LTDA.,Mapfre
49.347.835/0001-01,MAUD CAPITAL GESTORA DE ATIVOS LTDA.,Maud
39.938.506/0001-81,MERCURY GESTÃO DE RECURSOS LTDA.,Mercury
23.241.377/0001-38,MILESTONES ADMINISTRADORA DE RECURSOS LTDA.,Milestones
16.804.280/0001-20,MILÊNIO CAPITAL GESTÃO DE INVESTIMENTOS LTDA.,Milênio
36.684.109/0001-32,MIRABAUD INVESTIMENTOS LTDA.,Mirabaud
39.667.665/0001-99,MMZR GESTORA DE RECURSOS LTDA.,MMZR
46.895.578/0001-54,MONTE AZUL GESTÃO DE RECURSOS LTDA.,Monte Azul
34.877.615/0001-12,MONTE BRAVO ASSET MANAGEMENT LTDA.,Monte Bravo
20.710.453/0001-19,MONTE BRAVO GESTÃO DE RECURSOS LTDA.,Monte Bravo
49.857.981/0001-87,MONTE BRAVO GESTÃO PATRIMONIAL LTDA.,Monte Bravo
50.489.148/0001-00,MONTE BRAVO CORRETORA DE TITULOS E VALORES MOBILIARIOS S/A,Monte Bravo
10.556.398/0001-09,MORE INVEST GESTORA DE RECURSOS LTDA.,More
12.564.465/0001-54,MULTINVEST CAPITAL ADMINISTRADORA DE RECURSOS LTDA,Multinvest
34.745.508/0001-30,NAVI YIELD - ADMINISTRADORA E GESTORA DE RECURSOS FINANCEIROS LTDA.,Navi
10.290.382/0001-99,NEBRASKA CAPITAL GESTÃO DE RECURSOS LTDA,Nebraska
08.466.131/0001-70,NEST INTERNATIONAL ADMINISTRADORA DE CARTEIRA DE VALORES MOBILIÁRIOS LTDA,Nest
43.802.212/0001-03,NEWAVE CAPITAL GESTÃO DE RECURSOS LTDA.,Newave
43.758.513/0001-79,NEX GESTÃO DE RECURSOS LTDA.,NEX
52.906.220/0001-82,NIKOS GESTAO DE RECURSOS LTDA.,Nikos
41.743.371/0001-40,NOAD GESTAO DE RECURSOS LTDA,NOAD
42.034.424/0001-17,NORD GESTORA DE RECURSOS LTDA.,Nord
36.633.625/0001-38,NORTE ASSET MANAGEMENT GESTÃO DE RECURSOS S.A.,Norte
12.263.316/0001-55,NOVA MILANO INVESTIMENTOS LTDA,Nova Milano
11.504.852/0001-32,NOVA S.R.M. ADMINISTRAÇÃO DE RECURSOS E FINANÇAS S/A,Nova SRM
15.388.425/0001-97,NOVUS CAPITAL GESTORA DE RECURSOS LTDA.,Novus
42.524.344/0001-40,NOVUS CREDITO GESTAO DE RECURSOS LTDA,Novus
29.349.426/0001-37,NU ASSET MANAGEMENT LTDA,Nu Asset
54.112.373/0001-83,NUMBER ASSET BRASIL LTDA.,Number
40.147.132/0001-65,OBY CAPITAL GESTORA DE RECURSOS LTDA.,OBY
43.228.545/0001-62,NOVA OCCAM BRASIL GESTAO DE RECURSOS LTDA.,Occam
27.916.161/0001-86,OCCAM BRASIL GESTÃO DE RECURSOS LTDA.,Occam
02.150.453/0001-20,OLIVEIRA TRUST SERVICER S/A,Oliveira Trust
43.043.121/0001-23,ONE WEALTH MANAGEMENT GESTORA DE RECURSOS LTDA,One WM
15.555.653/0001-04,ONYX EQUITY MANAGEMENT GESTORA DE INVESTIMENTOS LTDA,Onyx
34.008.311/0001-19,ONZE GESTORA DE INVESTIMENTOS LTDA.,Onze
33.857.830/0001-99,OPPORTUNITY HDF ADMINISTRADORA DE RECURSOS LTDA.,Opportunity
15.319.547/0001-21,OPPORTUNITY AUSTER WEALTH MANAGEMENT LTDA.,Opportunity
31.384.260/0001-31,ORIZ ASSET MANAGEMENT LTDA.,Oriz
12.417.157/0001-04,PARAMIS BR INVESTIMENTOS LTDA,Paramis
39.526.263/0001-74,PATAGÔNIA CAPITAL GESTORA DE RECURSOS LTDA.,Patagônia
30.135.282/0001-03,PATRIMONIAL GESTÃO DE RECURSOS LTDA.,Patrimonial
43.027.793/0001-45,PERFIN WEALTH MANAGEMENT LTDA.,Perfin
29.608.120/0001-58,PERSEVERA GESTÃO DE RECURSOS LTDA.,Persevera
11.397.672/0002-80,PLURAL GESTÃO DE RECURSOS LTDA,Plural
09.630.188/0001-26,PLURAL INVESTIMENTOS GESTÃO DE RECURSOS LTDA.,Plural
10.552.066/0001-48,PNBY GESTORA DE RECURSOS LTDA.,PNBY
05.451.668/0001-79,POLO CAPITAL GESTÃO DE RECURSOS LTDA,Polo
43.241.789/0001-85,POLÍGONO CAPITAL LTDA,Polígono
16.492.391/0001-49,PORTO SEGURO INVESTIMENTOS LTDA,Porto Asset
51.017.957/0001-81,PORTO SEGURO GESTORA DE RECURSOS LTDA.,Porto Asset
17.590.181/0001-56,PORTOFINO GESTÃO DE RECURSOS LTDA.,Portofino
11.468.803/0001-91,PRADA ADMINISTRADORA DE RECURSOS LTDA.,Prada
04.920.763/0001-01,PRAGMA GESTÃO DE PATRIMÔNIO LTDA,Pragma
33.754.482/0001-24,CAIXA DE PREVIDÊNCIA DOS FUNCIONÁRIOS DO BANCO DO BRASIL - PREVI,Previ
03.987.891/0001-00,PRINCIPAL ASSET MANAGEMENT LTDA.,Principal
40.701.503/0001-09,PRINZ GESTORA DE RECURSOS LTDA.,Prinz
09.127.495/0001-99,PROTEUS INVESTIMENTOS LTDA,Proteus
16.734.572/0001-34,PRUMO CAPITAL GESTORA DE RECURSOS LTDA,Prumo
12.461.756/0001-17,PÁTRIA INVESTIMENTOS LTDA.,Pátria
07.250.864/0001-00,QLZ GESTÃO DE RECURSOS FINANCEIROS LTDA,QLZ
13.635.309/0001-08,QUANTITAS GESTAO DE RECURSOS LTDA.,Quantitas
