CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;CNPJ Gestor;Nome Gestor;Gestor Apelido
01.822.655/0001-08;BANRISUL MASTER FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA REFERENCIADO DI LONGO PRAZO RESPONSABILI;93.026.847/0001-26;BANRISUL S.A. CORRETORA DE VALORES MOBILIÁRIOS E CÂMBIO;Banrisul
01.975.502/0001-09;SAFRA ITAIPAVA FIF CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;01.638.542/0001-57;SAFRA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;Safra Asset
02.224.382/0001-62;SANTANDER  EQUILÍBRIO RENDA FIXA REF DI CRÉDITO PRIVADO - FIF RESP LIMITADA;10.231.177/0001-52;SANTANDER BRASIL GESTÃO DE RECURSOS LTDA;SAM
02.296.928/0001-90;BB INSTITUCIONAL FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA RESPONSABILIDADE LIMITADA;30.822.936/0001-69;BB GESTAO DE RECURSOS DTVM S.A;BB Asset
02.335.944/0001-45;BRADESCO FUNDO DE INVESTIMENTO RENDA FIXA TARGET I;60.746.948/0001-12;BANCO BRADESCO S.A.;BRAM
02.536.364/0001-16;SAFRA DI MASTER FIF CLASSE DE INVESTIMENTO RENDA FIXA REFERENCIADA CDI RESPONSABILIDADE LIMITADA;01.638.542/0001-57;SAFRA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;Safra Asset
02.846.259/0001-83;TIBAGI FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA;60.746.948/0001-12;BANCO BRADESCO S.A.;BRAM
02.998.164/0001-85;BRADESCO PLUS I FI FINANCEIRO - CI MULT - RESP LIMITADA;60.746.948/0001-12;BANCO BRADESCO S.A.;BRAM
02.998.239/0001-28;BRAM FIF - CLASSE DE INVESTIMENTO RF TARGET - RESP LIMITADA;60.746.948/0001-12;BANCO BRADESCO S.A.;BRAM
02.998.754/0001-08;BB EXCLUSIVE 2 FUNDO DE INVESTIMENTO FINANCEIRO MULTI LONGO PRAZO CRED PRIV RESPONSABILIDADE LIM;30.822.936/0001-69;BB GESTAO DE RECURSOS DTVM S.A;BB Asset
03.001.786/0001-50;BB EXCLUSIVE 11 FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CRÉDITO PRIVADO RESP LIMITADA;30.822.936/0001-69;BB GESTAO DE RECURSOS DTVM S.A;BB Asset
03.077.193/0001-77;SULAMERICA MIX 15 IV FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO DE RESPONSABILIDADE LIMITADA;54.286.457/0001-33;Sul América Gestão de Investimentos S.A.;Sulamérica
03.077.322/0001-27;SULAMERICA FIX 100 V FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA RESPONSABILIDADE LIMITADA;54.286.457/0001-33;Sul América Gestão de Investimentos S.A.;Sulamérica
03.077.330/0001-73;SULAMERICA FIX 100 FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA RESPONSABILIDADE LIMITADA;54.286.457/0001-33;Sul América Gestão de Investimentos S.A.;Sulamérica
03.099.639/0001-64;ATHENA I FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;11.519.438/0001-05;UBS BRASIL ADMINISTRADORA DE VALORES MOBILIÁRIOS LTDA.;UBS
03.100.345/0001-05;SUL AMÉRICA TAMMAR FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO RESP LIMITADA;21.813.291/0001-07;SUL AMÉRICA INVESTIMENTOS GESTORA DE RECURSOS S.A.;Sulamérica
03.100.395/0001-92;GERDAU PREVIDÊNCIA BENEFICIO DEFINIDO 3 FIF MULTIMERCADO CRÉD PRIVADO DE RESPONSABILIDADE LIMITADA;54.286.457/0001-33;Sul América Gestão de Investimentos S.A.;Sulamérica
03.185.374/0001-17;FIF - CLASSE DE INVESTIMENTO RF  FAELCE JERI - RESP  LIMITADA;21.813.291/0001-07;SUL AMÉRICA INVESTIMENTOS GESTORA DE RECURSOS S.A.;Sulamérica
03.211.696/0001-93;SANTANDER MADRI CLASSE DE  INVESTIMENTO MULTIMERCADO - RESP LIMITADA;10.231.177/0001-52;SANTANDER BRASIL GESTÃO DE RECURSOS LTDA;SAM
03.233.076/0001-55;PORTO SEGURO EMPRESARIAL RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO CRÉDITO PRIVADO RESP LIMITADA;51.017.957/0001-81;PORTO SEGURO GESTORA DE RECURSOS LTDA.;Porto Asset
03.239.726/0001-70;PROTEA FIF - CLASSE DE INVESTIMENTO MULTIMERCADO - RESP LIMITADA;46.895.578/0001-54;MONTE AZUL GESTÃO DE RECURSOS LTDA.;Monte Azul
03.256.788/0001-90;FPP MODERADO FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA;60.746.948/0001-12;BANCO BRADESCO S.A.;BRAM
03.303.563/0001-47;PERSONAL FIF - CLASSE DE INVESTIMENTO MULTIMERCADO - RESP LIMITADA;46.895.578/0001-54;MONTE AZUL GESTÃO DE RECURSOS LTDA.;Monte Azul
03.307.621/0001-00;SULAMERICA MIX 20 FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO DE RESPONSABILIDADE LIMITADA;54.286.457/0001-33;Sul América Gestão de Investimentos S.A.;Sulamérica
03.364.021/0001-84;ITAÚ FLEXPREV FSA/TM FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIV RESP LIMITADA;40.430.971/0001-96;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;IAM
03.369.970/0001-57;AQUILA FUNDO DE INVESTIMENTO FINANCEIRO - CLASSE DE INVESTIMENTO MULTIMERCADO - RESP LIMITADA;10.231.177/0001-52;SANTANDER BRASIL GESTÃO DE RECURSOS LTDA;SAM
03.389.374/0001-39;BB TOP RF ARROJADO FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO RESPONSABILIDADE LIMITADA;30.822.936/0001-69;BB GESTAO DE RECURSOS DTVM S.A;BB Asset
03.399.411/0001-90;BRADESCO FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA REFERENCIADA DI PREMIUM - RESP LIMITADA;60.746.948/0001-12;BANCO BRADESCO S.A.;BRAM
03.597.122/0001-03;RESULT FIF - CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA;46.895.578/0001-54;MONTE AZUL GESTÃO DE RECURSOS LTDA.;Monte Azul
03.618.274/0001-37;NASHIRA PREVIDENCIÁRIO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO RESP LIMITADA;40.430.971/0001-96;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;IAM
03.693.695/0001-22;BB ADVANTAGE 39 FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO RESPONSABILIDADE LIMITADA;30.822.936/0001-69;BB GESTAO DE RECURSOS DTVM S.A;BB Asset
03.737.206/0001-97;CAIXA BRASIL FIC DE CLASSE DE FIF RENDA FIXA REFERENCIADO DI LONGO PRAZO - RESPONSABILIDADE LIMITADA;42.040.639/0001-40;CAIXA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;CEF Asset
03.752.361/0001-82;BB TOP MULTI MODERADO LONGO PRAZO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO RESP LIMITADA;30.822.936/0001-69;BB GESTAO DE RECURSOS DTVM S.A;BB Asset
03.860.605/0001-40;GOYAZES FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO RESPONSABILIDADE LIMITADA;02.562.663/0001-25;BNP PARIBAS ASSET MANAGEMENT BRASIL LTDA;BNP
03.877.036/0001-46;ANANQUE FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;19.569.363/0001-70;EFFIKA INVESTIMENTOS - GESTORA DE PATRIMÔNIO LTDA;Effika
03.958.061/0001-54;FRG PLANO BD FI FINANCEIRO - CI MULT - RESP LIMITADA;34.269.803/0001-68;REAL GRANDEZA - FUNDAÇÃO DE PREVIDÊNCIA E ASSISTÊNCIA SOCIAL;Real Grandeza
03.959.960/0001-71;IPF CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA;12.695.840/0001-03;BTG PACTUAL  GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA;BTG WM
03.960.320/0001-81;UNIMED RF 100 C EM FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA RESPONSABILIDADE LIMITADA;29.650.082/0001-00;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;BTG Asset
03.960.323/0001-15;UNIMED RF 100 FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA RESPONSABILIDADE LIMITADA;02.562.663/0001-25;BNP PARIBAS ASSET MANAGEMENT BRASIL LTDA;BNP
03.960.349/0001-63;UNIMED RV 15 FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO RESPONSABILIDADE LIMITADA;13.421.810/0001-63;VINCI SOLUÇÕES DE INVESTIMENTOS LTDA;Vinci
04.042.603/0001-07;CBC NOSTRUM FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;12.695.840/0001-03;BTG PACTUAL  GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA;BTG WM
04.052.631/0001-05;MULTIPREV CARTEIRA 4 FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO RESPONSABILIDADE LIMITADA;60.746.948/0001-12;BANCO BRADESCO S.A.;BRAM
04.056.135/0001-20;SULAMERICA FIX 100 IV FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA RESPONSABILIDADE LIMITADA;54.286.457/0001-33;Sul América Gestão de Investimentos S.A.;Sulamérica
04.061.652/0001-97;SULAMERICA MIX 30 IV FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO DE RESPONSABILIDADE LIMITADA;54.286.457/0001-33;Sul América Gestão de Investimentos S.A.;Sulamérica
04.087.328/0001-48;IU WESTERN ASSET CORPORATE III FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA RESPONSABILIDADE LIMITADA;07.437.241/0001-41;Franklin Templeton Brasil Ltda.;Franklin Templeton
04.113.821/0001-95;COLÔNIA FIF - CLASSE DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO - RESP LIMITADA;60.746.948/0001-12;BANCO BRADESCO S.A.;BRAM
04.194.774/0001-51;IU WESTERN ASSET CORPORATE RV 25 FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO RESP LIMITADA;07.437.241/0001-41;Franklin Templeton Brasil Ltda.;Franklin Templeton
04.211.569/0001-57;CLIMB FIF - CLASSE DE INVESTIMENTO MULT CRED PRIV - RESP LIMITADA;46.895.578/0001-54;MONTE AZUL GESTÃO DE RECURSOS LTDA.;Monte Azul
04.228.545/0001-00;BRADESCO CORPORATE FI FINANCEIRO - CI RF CRED PRIV - RESP LIMITADA;60.746.948/0001-12;BANCO BRADESCO S.A.;BRAM
04.240.128/0001-83;TIVIO INSTITUCIONAL 15 FIF - CI RENDA FIXA CRÉDITO PRIVADO LONGO PRAZO - RESP LIMITADA;03.384.738/0001-98;TIVIO CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;Tivio
04.253.078/0001-79;BRAM FIF - CLASSE DE INVESTIMENTO RENDA FIXA REFERENCIADA DI RUBI - RESP LIMITADA;60.746.948/0001-12;BANCO BRADESCO S.A.;BRAM
04.277.386/0001-34;CHABLYSS FIF MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;12.695.840/0001-03;BTG PACTUAL  GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA;BTG WM
04.277.491/0001-73;SAMAMBAIA FIF - CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;11.159.192/0001-08;BR PARTNERS GESTÃO DE RECURSOS LTDA;BR Partners
04.289.051/0001-36;FIBONACCI FIF - CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;05.585.083/0001-41;INTER ASSET GESTÃO DE RECURSOS LTDA.;Inter
