CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;CNPJ Gestor;Nome Gestor;Gestor Apelido
10.201.821/0001-40;ETNA FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA;46.895.578/0001-54;MONTE AZUL GESTÃO DE RECURSOS LTDA.;Monte Azul
10.220.241/0001-08;BB PREVIDÊNCIA TP FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CRÉDITO PRIVADO RESP LIMITADA;30.822.936/0001-69;BB GESTAO DE RECURSOS DTVM S.A;BB Asset
10.263.625/0001-08;ITAÚ FLEXPREV FSA / TM II FUNDO DE INVESTIMENTO FINANCEIRO MULT CRÉD PRIV RESP LIMITADA;40.430.971/0001-96;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;IAM
10.263.636/0001-80;BRACYR FIF CLASSE DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;01.638.542/0001-57;SAFRA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;Safra Asset
10.264.179/0001-48;RT ENDURANCE FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO RESP LIMITADA;40.430.971/0001-96;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;IAM
10.264.255/0001-15;ITAÚ RENDA FIXA CRÉDITO PRIVADO DIFERENCIADO FIF RESP LIMITADA;40.430.971/0001-96;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;IAM
10.277.981/0001-72;SLALON FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;34.848.969/0001-39;WEALTH HIGH GOVERNANCE CAPITAL LTDA.;WHG
10.322.633/0001-70;CAIXA MEGA FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA REFERENCIADO DI LONGO PRAZO - RESP LIMITADA;42.040.639/0001-40;CAIXA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;CEF Asset
10.322.668/0001-09;CAIXA FIDELIDADE II FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CRÉDITO PRIVADO LP - RESP LIMITADA;42.040.639/0001-40;CAIXA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;CEF Asset
10.326.625/0001-00;VALORA ABSOLUTE FIF RENDA FIXA CRÉD PRIV LONGO PRAZO - RESPONSABILIDADE LIMITADA;17.482.086/0001-39;VALORA RENDA FIXA LTDA.;Valora
10.341.829/0001-01;DAYCOVAL TOKAJ FUNDO DE INVESTIMENTO FINANCEIRO;72.027.832/0001-02;DAYCOVAL ASSET MANAGEMENT ADMINISTRACAO DE RECURSOS LTDA;Daycoval
10.347.228/0001-06;SAFRA REFERENCIADO FIF CLASSE DE INVEST RENDA FIXA REFERENCIADA DI CRÉDITO PRIVADO RESP LIMITADA;65.913.436/0001-17;SAFRA ASSET CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;Safra Asset
10.362.008/0001-51;SANTANDER FLEXÍVEL RENDA FIXA LONGO PRAZO - FIF RESP LIMITADA;10.231.177/0001-52;SANTANDER BRASIL GESTÃO DE RECURSOS LTDA;SAM
10.366.833/0001-24;SOPHIA CLASSE DE INVESTIMENTO  MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA;12.695.840/0001-03;BTG PACTUAL  GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA;BTG WM
10.378.026/0001-21;SEIVA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO - RESPONSABILIDADE LIMITADA;09.262.533/0001-16;BTGP WM 3 LTDA;BTG WM
10.394.850/0001-75;SULAMÉRICA PRESTIGE PREV FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA RESPONSABILIDADE LIMITADA;54.286.457/0001-33;Sul América Gestão de Investimentos S.A.;Sulamérica
10.396.389/0001-90;SPIDER FIF MULT CRED PRIV - RESP LIMITADA;40.430.971/0001-96;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;IAM
10.412.071/0001-55;MULTIPREV CARTEIRA 14 FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO RESPONSABILIDADE LIMITADA;60.746.948/0001-12;BANCO BRADESCO S.A.;BRAM
10.418.362/0001-50;BB PREVIDENCIÁRIO MULTIMERCADO FUNDO DE INVESTIMENTO FINANCEIRO LONGO PRAZO RESP LIMITADA;30.822.936/0001-69;BB GESTAO DE RECURSOS DTVM S.A;BB Asset
10.427.173/0001-44;PROPRIETÁRIO 17 FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO;13.421.810/0001-63;VINCI SOLUÇÕES DE INVESTIMENTOS LTDA;Vinci
10.456.393/0001-04;4LIFE PREVIDÊNCIA FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA - RESPONSABILIDADE LIMITADA;03.983.856/0001-12;4UM GESTÃO DE RECURSOS LTDA.;4UM
10.461.947/0001-53;POMPONESCO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;12.695.840/0001-03;BTG PACTUAL  GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA;BTG WM
10.462.808/0001-44;MALU FUNDO DE INVESTIMENTO FINANCEIRO - CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;11.468.803/0001-91;PRADA ADMINISTRADORA DE RECURSOS LTDA.;Prada
10.474.817/0001-55;ITAÚ FLEXPREV RUNNER FIF MULT CRÉD PRIV - RESP LIMITADA;40.430.971/0001-96;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;IAM
10.545.384/0001-81;REAL MINAS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO C P LONGO PRAZO;02.150.453/0001-20;OLIVEIRA TRUST SERVICER S/A;Oliveira Trust
10.551.353/0001-33;CAIXA QUALIFICADO FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CRÉDITO PRIVADO LP - RESP LIMITADA;42.040.639/0001-40;CAIXA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;CEF Asset
10.565.859/0001-00;BESKAR FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;40.430.971/0001-96;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;IAM
10.583.909/0001-73;BRADESCO MASTER FI FINANCEIRO - CI RF CRED PRIV - RESP LIMITADA;60.746.948/0001-12;BANCO BRADESCO S.A.;BRAM
10.608.780/0001-00;ESTELAR FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;32.288.914/0001-96;EUQUEROINVESTIR GESTÃO DE RECURSOS LTDA;EQI
10.618.964/0001-51;SANTANDER CRESCIMENTO INSTITUCIONAL RF - FIF RESP LIMITADA;10.231.177/0001-52;SANTANDER BRASIL GESTÃO DE RECURSOS LTDA;SAM
10.626.040/0001-05;D1 FUNDO DE INVESTIMENTO FINANCEIRO;39.720.860/0001-35;GCB CAPITAL GESTÃO DE RECURSOS DE VALORES MOBILIÁRIOS LTDA.;GCB
10.643.489/0001-73;MARTE FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;11.519.438/0001-05;UBS BRASIL ADMINISTRADORA DE VALORES MOBILIÁRIOS LTDA.;UBS
10.740.739/0001-93;CAIXA MASTER BRASIL IMA-B FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO - RESP LIMITADA;42.040.639/0001-40;CAIXA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;CEF Asset
10.756.521/0001-27;JGP MAX MASTER FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO RESPONSABILIDADE LIMITADA;02.312.792/0001-65;JGP GESTÃO DE RECURSOS LTDA;JGP
10.756.556/0001-66;ICATU VANGUARDA GOLD FIF - CLASSE DE INVESTIMENTO RENDA FIXA LONGO PRAZO - RESP  LIMITADA;68.622.174/0001-20;ICATU VANGUARDA GESTÃO DE RECURSOS LTDA;Icatu
10.786.577/0001-24;RSMF CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA;12.695.840/0001-03;BTG PACTUAL  GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA;BTG WM
10.787.037/0001-65;ITACARÉ FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;12.695.840/0001-03;BTG PACTUAL  GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA;BTG WM
10.787.177/0001-33;ALTANA FIF - CLASSE DE INVESTIMENTO MULTIMERCADO CRED PRIV - RESP LIMITADA;08.800.008/0001-44;BRAINVEST ASSESSORIA FINANCEIRA E GESTÃO DE RECURSOS LTDA;Brainvest
10.813.716/0001-61;BRADESCO H PERFORMANCE INSTITUCIONAL FI FINANCEIRO - CI RF CRED PRIV LP - RESP LIMITADA;60.746.948/0001-12;BANCO BRADESCO S.A.;BRAM
10.820.311/0001-50;PREVIDENCIÁRIO 35 FI FINANCEIRO - CI RF - RESP LIMITADA;32.500.613/0001-84;CAIXA BENEFICENTE DOS EMPREGADOS DA CSN - CBS;CBS
10.820.382/0001-53;BTG PACTUAL MULTISTRATEGIES GOLD FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO RESP LTDA;29.650.082/0001-00;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;BTG Asset
10.841.389/0001-51;JGP HEDGE MASTER FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO - RESPONSABILIDADE LIMITADA;02.312.792/0001-65;JGP GESTÃO DE RECURSOS LTDA;JGP
10.843.445/0001-97;XP REFERENCIADO DI FI FINANCEIRO RENDA FIXA CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;16.789.525/0001-98;XP VISTA ASSET MANAGEMENT LTDA.;XPG
10.851.724/0001-00;SQ FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;12.695.840/0001-03;BTG PACTUAL  GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA;BTG WM
10.918.523/0001-75;VERITAS FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;12.695.840/0001-03;BTG PACTUAL  GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA;BTG WM
10.948.577/0001-83;CAIXA MASTER FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CRÉDITO PRIVADO LONGO PRAZO - RESP LIMITADA;42.040.639/0001-40;CAIXA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;CEF Asset
11.005.764/0001-96;EMB II FIF - CLASSE DE INVESTIMENTO RENDA FIXA - RESPONSABILIDADE LIMITADA;30.822.936/0001-69;BB GESTAO DE RECURSOS DTVM S.A;BB Asset
11.039.158/0001-91;DAKAR FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA;16.929.933/0001-06;ARAMUS GESTORA DE ATIVOS LTDA;Aramus
11.046.520/0001-51;SHIVA ICATU PREV QUALIFICADO FIF- CLASSE DE INVESTIMENTO MULT CRED PRIV - RESP LIMITADA;42.283.770/0001-39;ICATU SEGUROS S/A;Icatu
11.077.925/0001-57;BERNESE FUNDO DE INVESTIMENTO FINANCEIRO CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;65.913.436/0001-17;SAFRA ASSET CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;Safra Asset
11.077.957/0001-52;ZAMARADI FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;13.421.810/0001-63;VINCI SOLUÇÕES DE INVESTIMENTOS LTDA;Vinci
11.110.894/0001-99;G5 LOTUS FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;09.446.129/0001-00;G5 ADMINISTRADORA DE RECURSOS LTDA.;G5
11.119.029/0001-03;SOCAO FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES;08.800.008/0001-44;BRAINVEST ASSESSORIA FINANCEIRA E GESTÃO DE RECURSOS LTDA;Brainvest
11.121.992/0001-21;BNP PARIBAS FI FINANCEIRO ZAFIRA RENDA FIXA CRÉDITO PRIVADO PREVIDENCIÁRIO RESP LTDA;02.562.663/0001-25;BNP PARIBAS ASSET MANAGEMENT BRASIL LTDA;BNP
11.138.942/0001-57;MARCELLA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;17.590.181/0001-56;PORTOFINO GESTÃO DE RECURSOS LTDA.;Portofino
11.225.793/0001-63;FÊNIX FUNDOS DE INVESTIMENTO MULTIMERCADO;26.454.342/0001-75;LIFETIME GESTORA DE RECURSOS LTDA.;Lifetime
11.248.452/0001-03;NESTON FIF - CLASSE DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO LP - RESPONSABILIDADE LIMITADA;13.189.882/0001-27;JGP GESTÃO DE CREDITO LTDA;JGP
11.253.569/0001-85;FIF MULTIMERCADO HATHOR CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR - RESPONSABILIDADE LIMITADA;09.262.533/0001-16;BTGP WM 3 LTDA;BTG WM
11.275.055/0001-20;MALUBI FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;30.782.926/0001-47;TERA INVESTIMENTOS LTDA.;Tera
11.308.040/0001-11;FIF  - CLASSE DE INVESTIMENTO MULTIMERCADO SAFIRA CRÉDITO PRIVADO - RESP LIMITADA;42.271.429/0001-63;FUNDAÇÃO VALE DO RIO DOCE DE SEGURIDADE SOCIAL - VALIA;Valia
11.308.294/0001-30;FUNDO DE INVESTIMENTO GRANADA H10 MULTIMERCADO;18.994.332/0001-02;CITRINO GESTÃO DE RECURSOS LTDA;Citrino
11.349.450/0001-00;ASA ALPHA MAPFRE JURO BRASIL CLASSE DE  INVESTIMENTO MULTIMERCADO - RESP LIMITADA;19.807.960/0001-96;ASA ASSET MANAGEMENT LTDA.;ASA
11.375.552/0001-09;KRU FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;18.038.439/0001-79;M8 PARTNERS GESTORA DE RECURSOS LTDA.;M8
11.392.070/0001-59;COMPOSTELLA FIF - CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA;11.519.438/0001-05;UBS BRASIL ADMINISTRADORA DE VALORES MOBILIÁRIOS LTDA.;UBS
11.409.553/0001-19;JUBA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;01.591.499/0001-11;TAG INVESTIMENTOS LTDA;TAG
11.419.536/0001-62;RT CONSTITUTION FUNDO DE INVESTIMENTO FINANCEIRO MULT CRÉD PRIV - RESP LIMITADA;40.430.971/0001-96;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;IAM
11.419.555/0001-99;RT RELIANT FIF MULT CRED PRIV - RESP LIMITADA;40.430.971/0001-96;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;IAM
11.419.806/0001-35;WMAGNET FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;40.430.971/0001-96;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;IAM
11.419.984/0001-66;ITAÚ FLEXPREV MIX FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA - RESPONSABILIDADE LIMITADA;40.430.971/0001-96;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;IAM
11.435.262/0001-03;PIRAHY FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;12.695.840/0001-03;BTG PACTUAL  GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA;BTG WM
11.435.287/0001-07;MAG FUNDO DE INVESTIMENTO FINANCEIRO - CLASSE DE  INVESTIMENTO RENDA FIXA - RESP LIMITADATA;16.500.294/0001-50;MONGERAL AEGON INVESTIMENTOS LTDA;MAG
11.447.056/0001-05;LINCOLN FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;17.590.181/0001-56;PORTOFINO GESTÃO DE RECURSOS LTDA.;Portofino
11.447.124/0001-36;SAFRA VITESSE FIF CLASSE DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;01.638.542/0001-57;SAFRA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;Safra Asset
11.447.136/0001-60;PRINCIPAL CLARITAS FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA;03.987.891/0001-00;PRINCIPAL ASSET MANAGEMENT LTDA.;Principal
11.492.193/0001-61;LIBERTAS LIQUIDEZ FUNDO DE INVESTIMENTO FINANCEIRO - CLASSE DE INVESTIMENTO RF - RESP LIMITADA;10.231.177/0001-52;SANTANDER BRASIL GESTÃO DE RECURSOS LTDA;SAM
11.502.651/0001-04;ABRANGER FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;07.221.832/0001-87;ARGUCIA CAPITAL GESTÃO DE RECURSOS LTDA;Argucia
11.508.507/0001-77;SOLIS VEGA FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA;17.254.708/0001-71;SOLIS INVESTIMENTOS S A;Solis
11.542.011/0001-10;BRP FUTURO FUNDO DE INVESTIMENTO MULTIMERCADO;11.159.192/0001-08;BR PARTNERS GESTÃO DE RECURSOS LTDA;BR Partners
11.555.338/0001-26;BRADESCO EMPRESAS H FIF - CLASSE DE INVESTIMENTO RF CRED PRIVADO LP PERFORMANCE 20 - RESP LIMITADA;60.746.948/0001-12;BANCO BRADESCO S.A.;BRAM
11.575.277/0001-69;EAGLE EYE FUNDO DE INVESTIMENTO MULTIMERCADO;17.590.181/0001-56;PORTOFINO GESTÃO DE RECURSOS LTDA.;Portofino
11.575.393/0001-88;FUBÁ FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA;12.695.840/0001-03;BTG PACTUAL  GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA;BTG WM
11.616.354/0001-81;PLURAL YIELD FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA REFERENCIADO DI - RESPONSABILIDADE LIMITADA;11.397.672/0002-80;PLURAL GESTÃO DE RECURSOS LTDA;Plural
11.690.117/0001-60;LEROSA MODERADO FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CRÉDITO PRIVADO - RESP LIMITADA;11.823.102/0001-23;LEROSA INVESTIMENTOS LTDA.;Lerosa
11.695.180/0001-90;FRACTALIS FUNDO DE  INVESTIMENTO FINANCEIRO MULTIMERCADO  CRÉDITO PRIVADO;12.695.840/0001-03;BTG PACTUAL  GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA;BTG WM
11.702.108/0001-42;LECHAIM FUNDO DE INVESTIMENTO MULTIMERCADO - CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;04.920.763/0001-01;PRAGMA GESTÃO DE PATRIMÔNIO LTDA;Pragma
11.702.118/0001-88;TIGUAN PGA FIF - CLASSE DE INVESTIMENTO MULTIMERCADO PREVIDENCIÁRIO - RESP LIMITADA;02.562.663/0001-25;BNP PARIBAS ASSET MANAGEMENT BRASIL LTDA;BNP
11.733.898/0001-23;GOOD HOPE FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA;03.384.738/0001-98;TIVIO CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;Tivio
11.822.300/0001-72;GAIA CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA;04.686.893/0001-21;TURIM 21 INVESTIMENTOS LTDA;Turim
11.839.215/0001-17;BB RF CRÉDITO PRIVADO LONGO PRAZO DEDICADO ANS FUNDO DE INVESTIMENTO FINANCEIRO RESP LIMITADA;30.822.936/0001-69;BB GESTAO DE RECURSOS DTVM S.A;BB Asset
11.858.480/0001-42;GUAPURUVU FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR RESP LIMITADA;11.519.438/0001-05;UBS BRASIL ADMINISTRADORA DE VALORES MOBILIÁRIOS LTDA.;UBS
11.863.144/0001-98;ITAU FLEXPREV BERUBA FIF MULT CRED PRIV - RESP LIMITADA;40.430.971/0001-96;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;IAM
11.886.423/0001-77;STS FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO;12.695.840/0001-03;BTG PACTUAL  GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA;BTG WM
11.952.676/0001-00;FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO DOREL;12.695.840/0001-03;BTG PACTUAL  GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA;BTG WM
11.960.212/0001-37;FUNDO DE INVESTIMENTO FINANCEIRO COLUMBUS MULTIMERCADO - RESPONSABILIDADE LIMITADA;40.430.971/0001-96;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;IAM
11.961.080/0001-68;MAG PREVIDÊNCIA CRÉDITO PRIVADO FIF - CLASSE DE INVESTIMENTO RF  - RESP  LIMITADA;16.500.294/0001-50;MONGERAL AEGON INVESTIMENTOS LTDA;MAG
11.961.173/0001-92;VEXTY SUL AMERICA FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA - RESPONSABILIDADE LIMITADA;21.813.291/0001-07;SUL AMÉRICA INVESTIMENTOS GESTORA DE RECURSOS S.A.;Sulamérica
11.961.206/0001-02;RHODES FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;16.789.525/0001-98;XP VISTA ASSET MANAGEMENT LTDA.;XPG
12.003.576/0001-91;AREIAL FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;17.590.181/0001-56;PORTOFINO GESTÃO DE RECURSOS LTDA.;Portofino
12.004.076/0001-74;TI LEGADO ICATU PREV QUALIFICADO FIF- CLASSE DE INVESTIMENTO MULT CRED PRIV - RESP LIMITADA;42.283.770/0001-39;ICATU SEGUROS S/A;Icatu
12.013.309/0001-03;BB TOP JUROS E MOEDAS LP FIF MULTIMERCADO RESPONSABILIDADE LIMITADA;30.822.936/0001-69;BB GESTAO DE RECURSOS DTVM S.A;BB Asset
12.059.831/0001-18;DHF-M FUNDO DE INVESTIMENTO FINANCEIRO;72.116.353/0001-62;DYNAMO ADMINISTRAÇÃO DE RECURSOS LTDA;Dynamo
12.082.982/0001-97;LT801 FUNDO DE INVESTIMENTO  FINANCEIRO MULTIMERCADO CREDITO PRIVADO;12.695.840/0001-03;BTG PACTUAL  GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA;BTG WM
12.083.748/0001-84;KAPITALO MASTER II FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;20.429.285/0001-98;KAPITALO CICLO GESTORA DE RECURSOS FINANCEIROS LTDA;Kapitalo
12.107.681/0001-70;BRADESCO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO FM3G;60.746.948/0001-12;BANCO BRADESCO S.A.;BRAM
12.124.089/0001-87;IBIUNA HEDGE FIF - CLASSE DE INVESTIMENTO MULTIMERCADO - RESPONSABILIDADE LIMITADA;19.493.000/0001-07;IBIUNA CRÉDITO GESTÃO DE RECURSOS LTDA.;Ibuina
12.219.241/0001-05;BBE FIF - CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA;11.519.438/0001-05;UBS BRASIL ADMINISTRADORA DE VALORES MOBILIÁRIOS LTDA.;UBS
12.227.848/0001-37;VICENZA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;18.038.439/0001-79;M8 PARTNERS GESTORA DE RECURSOS LTDA.;M8
12.228.025/0001-26;G5 RELUX FIF - CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;09.446.129/0001-00;G5 ADMINISTRADORA DE RECURSOS LTDA.;G5
12.284.088/0001-08;REE FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES INVESTIMENTO NO EXTERIOR - RESPONSABILIDADE LIMITADA;08.947.719/0001-46;BOGARI GESTÃO DE INVESTIMENTOS LTDA.;Bogari
12.321.737/0001-95;CAIXA CPB FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CRÉDITO PRIVADO LONGO PRAZO - RESP LIMITADA;42.040.639/0001-40;CAIXA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;CEF Asset
12.322.006/0001-64;CAIXA IPLEMG FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA - RESPONSABILIDADE LIMITADA;42.040.639/0001-40;CAIXA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;CEF Asset
12.353.758/0001-92;BB FORTE FIF RENDA FIXA LONGO PRAZO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;30.822.936/0001-69;BB GESTAO DE RECURSOS DTVM S.A;BB Asset
12.412.818/0001-09;BRAM LIVRE FI FINANCEIRO - CI RF CRED PRIV - RESP LIMITADA;60.746.948/0001-12;BANCO BRADESCO S.A.;BRAM
12.440.903/0001-72;APPLECROSS FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;40.430.971/0001-96;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;IAM
12.469.463/0001-86;SIRIUS FUNDO DE INVESTIMENTO MULTIMERCADO;18.994.332/0001-02;CITRINO GESTÃO DE RECURSOS LTDA;Citrino
12.483.872/0001-37;H2S2 FUNDO DE INVESTIMENTO FINANCEIRO - MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;18.167.206/0001-76;STRATEGIC PORTFOLIO ADVISORS - GESTORA DE RECURSOS LTDA;SPA
12.610.590/0001-53;REI SALOMÃO  FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO  PRIVADO;11.468.803/0001-91;PRADA ADMINISTRADORA DE RECURSOS LTDA.;Prada
12.698.632/0001-50;MARATHON FUNDO DE INVESTIMENTO MULTIMERCADO;16.734.572/0001-34;PRUMO CAPITAL GESTORA DE RECURSOS LTDA;Prumo
12.765.687/0001-35;G5 SÃO LOURENÇO FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA;09.446.129/0001-00;G5 ADMINISTRADORA DE RECURSOS LTDA.;G5
12.765.720/0001-27;ALIANÇA FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;34.848.969/0001-39;WEALTH HIGH GOVERNANCE CAPITAL LTDA.;WHG
12.765.738/0001-29;MARANHÃO FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA;12.695.840/0001-03;BTG PACTUAL  GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA;BTG WM
12.766.824/0001-56;JBFO ESTRUTURADO 120 FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA;12.695.840/0001-03;BTG PACTUAL  GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA;BTG WM
12.796.193/0001-18;SAFRA PREV VITESSE ICATU FIF PREV CI RF CRÉDITO PRIVADO PREVIDENCIÁRIO RESPONSABILIDADE LIMITADA;42.283.770/0001-39;ICATU SEGUROS S/A;Icatu
12.798.221/0001-36;SPX NIMITZ MASTER FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO RESPONSABILIDADE LIMITADA;34.293.150/0001-52;SPX CRÉDITO GESTÃO DE RECURSOS LTDA.;SPX
