"ticker","taxaAnbimaOriginal","tipoTaxaAnbima","txAnbimaFormatada","indexadorAnbima","dataReferenciaAnbima","dataVencimento","durationAnbimaDiasUteis","durationAnbimaAnos","percentualCdiOriginal","spreadCdiEquivalente","metodologiaConversaoCdi","ntnbReferencia","codigoNtnbExibicao","taxaNtnbReferencia","spreadNtnbBps","statusCalculoAnbima","motivoAusenciaAnbima","fonteAnbima"
"AALM12","0,6807","DI_SPREAD","CDI + 0,68%","DI + 1.6000%","2026-07-07","2030-10-02","554,00","2,20","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ABSP12","1,4930","DI_SPREAD","CDI + 1,49%","DI + 1.9500%","2026-07-07","2026-10-15","70,00","0,28","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ACOV15","1,5995","DI_SPREAD","CDI + 1,60%","DI + 1.1000%","2026-07-07","2032-06-10","663,00","2,63","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ACRC21","9,0442","IPCA_SPREAD","B35 + 87 bps","IPCA + 7.4150%","2026-07-07","2044-07-15","1620,00","6,43","","","","2035-05-15","B35","8,1032","87","ok","","ANBIMA Data API (web-bff)"
"ADPA21","2,5376","DI_SPREAD","CDI + 2,54%","DI + 2.8500%","2026-07-07","2027-11-27","332,00","1,32","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEAB11","8,4125","IPCA_SPREAD","B37 + 42 bps","IPCA + 7.0718%","2026-07-07","2044-06-15","1892,00","7,51","","","","2037-05-15","B37","7,9539","42","ok","","ANBIMA Data API (web-bff)"
"AEGE16","5,5824","DI_SPREAD","CDI + 5,58%","DI + 3.9000%","2026-07-07","2034-03-11","834,00","3,31","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGE17","5,2141","DI_SPREAD","CDI + 5,21%","DI + 3.4000%","2026-07-07","2035-06-15","1023,00","4,06","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGP17","2,2956","DI_SPREAD","CDI + 2,30%","DI + 2.1500%","2026-07-07","2027-04-12","180,00","0,71","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGP19","3,0714","DI_SPREAD","CDI + 3,07%","DI + 1.9000%","2026-07-07","2028-10-04","274,00","1,09","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGPA4","3,1408","DI_SPREAD","CDI + 3,14%","DI + 3.4700%","2026-07-07","2028-10-25","292,00","1,16","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGPA8","17,3592","PREFIXADO","17,36%","Pré-Fixado 16.3433%","2026-07-07","2031-01-15","789,00","3,13","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGPA9","3,7800","DI_SPREAD","CDI + 3,78%","DI + 2.7500%","2026-07-07","2029-06-25","523,00","2,08","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGPB3","3,4995","DI_SPREAD","CDI + 3,50%","DI + 1.8000%","2026-07-07","2032-08-22","858,00","3,40","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGPB5","3,4487","DI_SPREAD","CDI + 3,45%","DI + 1.8000%","2026-07-07","2030-12-15","826,00","3,28","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGPB7","2,8507","DI_SPREAD","CDI + 2,85%","DI + 2.9500%","2026-07-07","2028-09-15","365,00","1,45","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AERI12","","DI_SPREAD","—","DI + 3.0000%","2026-07-07","2030-03-30","","","","","","","","","","sem_taxa","Taxa indicativa vazia","ANBIMA Data API (web-bff)"
"AESLA5","7,8830","IPCA_SPREAD","B32 - 40 bps","IPCA + 6.1774%","2026-07-07","2033-10-15","1295,00","5,14","","","","2032-08-15","B32","8,3200","-40","ok","","ANBIMA Data API (web-bff)"
"AESLA7","7,8350","IPCA_SPREAD","B33 - 36 bps","IPCA + 6.1409%","2026-07-07","2034-04-15","1379,00","5,47","","","","2033-05-15","B33","8,2230","-36","ok","","ANBIMA Data API (web-bff)"
"AESLA8","0,4776","DI_SPREAD","CDI + 0,48%","DI + 0.4900%","2026-07-07","2029-09-10","563,00","2,23","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AESLA9","7,8425","IPCA_SPREAD","B33 - 35 bps","IPCA + 6.9249%","2026-07-07","2035-05-15","1527,00","6,06","","","","2033-05-15","B33","8,2230","-35","ok","","ANBIMA Data API (web-bff)"
