"ticker","taxaAnbimaOriginal","tipoTaxaAnbima","txAnbimaFormatada","indexadorAnbima","dataReferenciaAnbima","dataVencimento","durationAnbimaDiasUteis","durationAnbimaAnos","percentualCdiOriginal","spreadCdiEquivalente","metodologiaConversaoCdi","ntnbReferencia","codigoNtnbExibicao","taxaNtnbReferencia","spreadNtnbBps","statusCalculoAnbima","motivoAusenciaAnbima","fonteAnbima"
"SRNA11","9,3864","IPCA_SPREAD","B33 + 107 bps","IPCA + 8.2427%","2026-08-06","2035-03-15","1394,00","5,53","","","","2033-05-15","B33","8,2266","107","ok","","ANBIMA Data API (web-bff)"
"SRTI11","8,4132","IPCA_SPREAD","B29 + 19 bps","IPCA + 7.0916%","2026-08-06","2032-12-15","752,00","2,98","","","","2029-05-15","B29","8,2059","19","ok","","ANBIMA Data API (web-bff)"
"STBP15","0,7480","DI_SPREAD","CDI + 0,75%","DI + 0.5500%","2026-08-06","2029-08-15","600,00","2,38","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"STBP25","0,7272","DI_SPREAD","CDI + 0,73%","DI + 0.7000%","2026-08-06","2031-08-15","812,00","3,22","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"STBP35","7,7630","IPCA_SPREAD","B33 - 43 bps","IPCA + 6.3936%","2026-08-06","2034-08-15","1388,00","5,51","","","","2033-05-15","B33","8,2266","-43","ok","","ANBIMA Data API (web-bff)"
"STBP45","7,7544","IPCA_SPREAD","B37 - 13 bps","IPCA + 6.5408%","2026-08-06","2039-08-15","2027,00","8,04","","","","2037-05-15","B37","7,8925","-13","ok","","ANBIMA Data API (web-bff)"
"STRZ11","8,3248","IPCA_SPREAD","B33 + 9 bps","IPCA + 6.9343%","2026-08-06","2039-03-15","1312,00","5,21","","","","2033-05-15","B33","8,2266","9","ok","","ANBIMA Data API (web-bff)"
"SUMI17","13,9274","IPCA_SPREAD","B30 + 523 bps","IPCA + 7.7490%","2026-08-06","2031-07-15","933,00","3,70","","","","2030-08-15","B30","8,2600","523","ok","","ANBIMA Data API (web-bff)"
"SUMI18","14,8043","IPCA_SPREAD","B30 + 604 bps","IPCA + 8.5214%","2026-08-06","2031-10-15","938,00","3,72","","","","2030-08-15","B30","8,2600","604","ok","","ANBIMA Data API (web-bff)"
"SUMI19","13,8979","IPCA_SPREAD","B31 + 525 bps","IPCA + 9.4735%","2026-08-06","2032-04-15","1000,00","3,97","","","","2031-05-15","B31","8,2200","525","ok","","ANBIMA Data API (web-bff)"
"SUMI37","14,6216","IPCA_SPREAD","B32 + 591 bps","IPCA + 8.0993%","2026-08-06","2034-07-15","1282,00","5,09","","","","2032-08-15","B32","8,2267","591","ok","","ANBIMA Data API (web-bff)"
"SUMI39","3,7537","DI_SPREAD","CDI + 3,75%","DI + 2.0000%","2026-08-06","2031-04-15","515,00","2,04","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"SUZB19","7,5249","IPCA_SPREAD","B30 - 68 bps","IPCA + 6.0188%","2026-08-06","2030-06-15","865,00","3,43","","","","2030-08-15","B30","8,2600","-68","ok","","ANBIMA Data API (web-bff)"
"SUZB29","7,6146","IPCA_SPREAD","B33 - 57 bps","IPCA + 6.2477%","2026-08-06","2033-06-15","1402,00","5,56","","","","2033-05-15","B33","8,2266","-57","ok","","ANBIMA Data API (web-bff)"
"SUZBA0","7,3712","IPCA_SPREAD","B37 - 48 bps","IPCA + 6.1889%","2026-08-06","2038-09-15","1971,00","7,82","","","","2037-05-15","B37","7,8925","-48","ok","","ANBIMA Data API (web-bff)"
"SUZBA1","0,4579","DI_SPREAD","CDI + 0,46%","DI + 0.8000%","2026-08-06","2032-05-15","937,00","3,72","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"SUZBB1","0,5034","DI_SPREAD","CDI + 0,50%","DI + 1.0000%","2026-08-06","2034-05-15","1144,00","4,54","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"SUZBC1","7,6089","IPCA_SPREAD","B35 - 46 bps","IPCA + 6.1100%","2026-08-06","2036-05-15","1755,00","6,96","","","","2035-05-15","B35","8,1074","-46","ok","","ANBIMA Data API (web-bff)"
"SVEA14","1,8879","DI_SPREAD","CDI + 1,89%","DI + 3.1000%","2026-08-06","2029-04-12","308,00","1,22","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"SVEA15","1,8509","DI_SPREAD","CDI + 1,85%","DI + 2.1000%","2026-08-06","2032-06-06","634,00","2,52","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"SVEA16","2,2781","DI_SPREAD","CDI + 2,28%","DI + 2.5000%","2026-08-06","2035-11-12","1032,00","4,10","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"TAEE17","7,7434","IPCA_SPREAD","B35 - 34 bps","IPCA + 4.5000%","2026-08-06","2044-09-15","1712,00","6,79","","","","2035-05-15","B35","8,1074","-34","ok","","ANBIMA Data API (web-bff)"
"TAEE18","7,7509","IPCA_SPREAD","B32 - 44 bps","IPCA + 4.7742%","2026-08-06","2039-12-15","1306,00","5,18","","","","2032-08-15","B32","8,2267","-44","ok","","ANBIMA Data API (web-bff)"
"TAEE26","7,5070","IPCA_SPREAD","B37 - 36 bps","IPCA + 5.5000%","2026-08-06","2044-05-15","2015,00","8,00","","","","2037-05-15","B37","7,8925","-36","ok","","ANBIMA Data API (web-bff)"
"TAEEA1","0,4545","DI_SPREAD","CDI + 0,45%","DI + 1.7000%","2026-08-06","2028-05-15","392,00","1,56","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"TAEEA2","7,7580","IPCA_SPREAD","B35 - 32 bps","IPCA + 4.7605%","2026-08-06","2036-05-15","1750,00","6,94","","","","2035-05-15","B35","8,1074","-32","ok","","ANBIMA Data API (web-bff)"
"TAEEA4","7,7586","IPCA_SPREAD","B33 - 43 bps","IPCA + 5.8741%","2026-08-06","2033-09-15","1432,00","5,68","","","","2033-05-15","B33","8,2266","-43","ok","","ANBIMA Data API (web-bff)"
"TAEEA5","0,4230","DI_SPREAD","CDI + 0,42%","DI + 0.6300%","2026-08-06","2029-03-15","537,00","2,13","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"TAEEA6","0,4266","DI_SPREAD","CDI + 0,43%","DI + 0.5500%","2026-08-06","2031-09-15","836,00","3,32","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"TAEEA7","7,5350","IPCA_SPREAD","B37 - 33 bps","IPCA + 7.1690%","2026-08-06","2040-01-15","1941,00","7,70","","","","2037-05-15","B37","7,8925","-33","ok","","ANBIMA Data API (web-bff)"
"TAEEA8","7,7146","IPCA_SPREAD","B31 - 47 bps","IPCA + 7.1499%","2026-08-06","2032-07-15","1126,00","4,47","","","","2031-05-15","B31","8,2200","-47","ok","","ANBIMA Data API (web-bff)"
"TAEEA9","0,5178","DI_SPREAD","CDI + 0,52%","DI + 0.6000%","2026-08-06","2032-10-23","984,00","3,90","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"TAEEB0","7,4532","IPCA_SPREAD","B50 - 17 bps","IPCA + 6.4712%","2026-08-06","2040-12-15","3011,00","11,95","","","","2050-08-15","B50","7,6366","-17","ok","","ANBIMA Data API (web-bff)"
"TAEEB2","7,6328","IPCA_SPREAD","B29 - 53 bps","IPCA + 5.6000%","2026-08-06","2029-04-15","621,00","2,46","","","","2029-05-15","B29","8,2059","-53","ok","","ANBIMA Data API (web-bff)"
"TAEEB4","7,7673","IPCA_SPREAD","B35 - 31 bps","IPCA + 6.0653%","2026-08-06","2035-09-15","1716,00","6,81","","","","2035-05-15","B35","8,1074","-31","ok","","ANBIMA Data API (web-bff)"
"TAEEB8","7,7186","IPCA_SPREAD","B33 - 47 bps","IPCA + 7.0564%","2026-08-06","2035-07-15","1500,00","5,95","","","","2033-05-15","B33","8,2266","-47","ok","","ANBIMA Data API (web-bff)"
"TAEEC1","0,3004","DI_SPREAD","CDI + 0,30%","DI + 1.3600%","2026-08-06","2027-01-15","110,00","0,44","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"TAEEC2","7,7068","IPCA_SPREAD","B31 - 47 bps","IPCA + 5.7500%","2026-08-06","2032-04-15","1015,00","4,03","","","","2031-05-15","B31","8,2200","-47","ok","","ANBIMA Data API (web-bff)"
"TAEEC4","7,5875","IPCA_SPREAD","B37 - 28 bps","IPCA + 6.2709%","2026-08-06","2038-09-15","1958,00","7,77","","","","2037-05-15","B37","7,8925","-28","ok","","ANBIMA Data API (web-bff)"
"TAEED2","7,7115","IPCA_SPREAD","B35 - 37 bps","IPCA + 5.8500%","2026-08-06","2037-04-15","1812,00","7,19","","","","2035-05-15","B35","8,1074","-37","ok","","ANBIMA Data API (web-bff)"
"TAEEE1","0,4543","DI_SPREAD","CDI + 0,45%","DI + 0.5100%","2026-08-06","2033-03-15","1017,00","4,04","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"TBEG11","9,1959","IPCA_SPREAD","B31 + 90 bps","IPCA + 5.3231%","2026-08-06","2035-07-15","1062,00","4,21","","","","2031-05-15","B31","8,2200","90","ok","","ANBIMA Data API (web-bff)"
"TBSP12","0,4970","DI_SPREAD","CDI + 0,50%","DI + 0.7000%","2026-08-06","2030-07-23","693,00","2,75","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"TBSP22","0,5889","DI_SPREAD","CDI + 0,59%","DI + 0.8500%","2026-08-06","2032-07-23","966,00","3,83","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"TCII11","8,2821","IPCA_SPREAD","B33 + 5 bps","IPCA + 6.0594%","2026-08-06","2041-09-15","1519,00","6,03","","","","2033-05-15","B33","8,2266","5","ok","","ANBIMA Data API (web-bff)"
