"ticker","taxaAnbimaOriginal","tipoTaxaAnbima","txAnbimaFormatada","indexadorAnbima","dataReferenciaAnbima","dataVencimento","durationAnbimaDiasUteis","durationAnbimaAnos","percentualCdiOriginal","spreadCdiEquivalente","metodologiaConversaoCdi","ntnbReferencia","codigoNtnbExibicao","taxaNtnbReferencia","spreadNtnbBps","statusCalculoAnbima","motivoAusenciaAnbima","fonteAnbima"
"AALM12","0,7194","DI_SPREAD","CDI + 0,72%","DI + 1.6000%","2026-07-31","2030-10-02","537,00","2,13","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ABSP12","1,4738","DI_SPREAD","CDI + 1,47%","DI + 1.9500%","2026-07-31","2026-10-15","52,00","0,21","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ACOV15","1,5692","DI_SPREAD","CDI + 1,57%","DI + 1.1000%","2026-07-31","2032-06-10","647,00","2,57","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ACRC21","9,0164","IPCA_SPREAD","B35 + 83 bps","IPCA + 7.4150%","2026-07-31","2044-07-15","1710,00","6,79","","","","2035-05-15","B35","8,1190","83","ok","","ANBIMA Data API (web-bff)"
"ADPA21","2,3469","DI_SPREAD","CDI + 2,35%","DI + 2.8500%","2026-07-31","2027-11-27","314,00","1,25","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEAB11","8,3355","IPCA_SPREAD","B37 + 35 bps","IPCA + 7.0718%","2026-07-31","2044-06-15","1878,00","7,45","","","","2037-05-15","B37","7,9534","35","ok","","ANBIMA Data API (web-bff)"
"AEGE16","4,9710","DI_SPREAD","CDI + 4,97%","DI + 3.9000%","2026-07-31","2034-03-11","824,00","3,27","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGE17","5,0971","DI_SPREAD","CDI + 5,10%","DI + 3.4000%","2026-07-31","2035-06-15","1007,00","4,00","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGP17","1,6530","DI_SPREAD","CDI + 1,65%","DI + 2.1500%","2026-07-31","2027-04-12","162,00","0,64","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGP19","2,6363","DI_SPREAD","CDI + 2,64%","DI + 1.9000%","2026-07-31","2028-10-04","257,00","1,02","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGPA4","2,7843","DI_SPREAD","CDI + 2,78%","DI + 3.4700%","2026-07-31","2028-10-25","275,00","1,09","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGPA8","17,2317","PREFIXADO","17,23%","Pré-Fixado 16.3433%","2026-07-31","2031-01-15","833,00","3,31","","2,3010","spread = (1 + Y)/(1 + L) - 1; Y = pre 17,23%; L = TaxaLTN_252 venc ref 2032-01-01 = 14,59%","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGPA9","3,0561","DI_SPREAD","CDI + 3,06%","DI + 2.7500%","2026-07-31","2029-06-25","508,00","2,02","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGPB3","3,2473","DI_SPREAD","CDI + 3,25%","DI + 1.8000%","2026-07-31","2032-08-22","844,00","3,35","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGPB5","3,2204","DI_SPREAD","CDI + 3,22%","DI + 1.8000%","2026-07-31","2030-12-15","811,00","3,22","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGPB7","2,2402","DI_SPREAD","CDI + 2,24%","DI + 2.9500%","2026-07-31","2028-09-15","348,00","1,38","","","","","","","","ok","","ANBIMA Data API (web-bff)"
