"ticker","taxaAnbimaOriginal","tipoTaxaAnbima","txAnbimaFormatada","indexadorAnbima","dataReferenciaAnbima","dataVencimento","durationAnbimaDiasUteis","durationAnbimaAnos","percentualCdiOriginal","spreadCdiEquivalente","metodologiaConversaoCdi","ntnbReferencia","codigoNtnbExibicao","taxaNtnbReferencia","spreadNtnbBps","statusCalculoAnbima","motivoAusenciaAnbima","fonteAnbima"
"AALM12","0,7027","DI_SPREAD","CDI + 0,70%","DI + 1.6000%","2026-07-29","2030-10-02","539,00","2,14","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ABSP12","1,4837","DI_SPREAD","CDI + 1,48%","DI + 1.9500%","2026-07-29","2026-10-15","54,00","0,21","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ACOV15","1,5707","DI_SPREAD","CDI + 1,57%","DI + 1.1000%","2026-07-29","2032-06-10","648,00","2,57","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ACRC21","9,1981","IPCA_SPREAD","B35 + 84 bps","IPCA + 7.4150%","2026-07-29","2044-07-15","1702,00","6,75","","","","2035-05-15","B35","8,2867","84","ok","","ANBIMA Data API (web-bff)"
"ADPA21","2,4321","DI_SPREAD","CDI + 2,43%","DI + 2.8500%","2026-07-29","2027-11-27","316,00","1,25","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEAB11","8,5770","IPCA_SPREAD","B37 + 42 bps","IPCA + 7.0718%","2026-07-29","2044-06-15","1866,00","7,40","","","","2037-05-15","B37","8,1191","42","ok","","ANBIMA Data API (web-bff)"
"AEGE16","5,0678","DI_SPREAD","CDI + 5,07%","DI + 3.9000%","2026-07-29","2034-03-11","824,00","3,27","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGE17","5,1668","DI_SPREAD","CDI + 5,17%","DI + 3.4000%","2026-07-29","2035-06-15","1007,00","4,00","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGP17","1,7536","DI_SPREAD","CDI + 1,75%","DI + 2.1500%","2026-07-29","2027-04-12","164,00","0,65","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGP19","2,6852","DI_SPREAD","CDI + 2,69%","DI + 1.9000%","2026-07-29","2028-10-04","259,00","1,03","","","","","","","","ok","","ANBIMA Data API (web-bff)"
