"ticker","taxaAnbimaOriginal","tipoTaxaAnbima","txAnbimaFormatada","indexadorAnbima","dataReferenciaAnbima","dataVencimento","durationAnbimaDiasUteis","durationAnbimaAnos","percentualCdiOriginal","spreadCdiEquivalente","metodologiaConversaoCdi","ntnbReferencia","codigoNtnbExibicao","taxaNtnbReferencia","spreadNtnbBps","statusCalculoAnbima","motivoAusenciaAnbima","fonteAnbima"
"AALM12","0,7273","DI_SPREAD","CDI + 0,73%","DI + 1.6000%","2026-07-22","2030-10-02","542,00","2,15","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ABSP12","1,4085","DI_SPREAD","CDI + 1,41%","DI + 1.9500%","2026-07-22","2026-10-15","59,00","0,23","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ACOV15","1,6000","DI_SPREAD","CDI + 1,60%","DI + 1.1000%","2026-07-22","2032-06-10","651,00","2,58","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ACRC21","9,1506","IPCA_SPREAD","B35 + 85 bps","IPCA + 7.4150%","2026-07-22","2044-07-15","1710,00","6,79","","","","2035-05-15","B35","8,2300","85","ok","","ANBIMA Data API (web-bff)"
"ADPA21","2,3267","DI_SPREAD","CDI + 2,33%","DI + 2.8500%","2026-07-22","2027-11-27","321,00","1,27","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEAB11","8,5307","IPCA_SPREAD","B37 + 43 bps","IPCA + 7.0718%","2026-07-22","2044-06-15","1874,00","7,44","","","","2037-05-15","B37","8,0671","43","ok","","ANBIMA Data API (web-bff)"
"AEGE16","5,0507","DI_SPREAD","CDI + 5,05%","DI + 3.9000%","2026-07-22","2034-03-11","826,00","3,28","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGE17","5,0622","DI_SPREAD","CDI + 5,06%","DI + 3.4000%","2026-07-22","2035-06-15","1008,00","4,00","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGP17","1,6717","DI_SPREAD","CDI + 1,67%","DI + 2.1500%","2026-07-22","2027-04-12","169,00","0,67","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGP19","2,6662","DI_SPREAD","CDI + 2,67%","DI + 1.9000%","2026-07-22","2028-10-04","263,00","1,04","","","","","","","","ok","","ANBIMA Data API (web-bff)"
