"ticker","taxaAnbimaOriginal","tipoTaxaAnbima","txAnbimaFormatada","indexadorAnbima","dataReferenciaAnbima","dataVencimento","durationAnbimaDiasUteis","durationAnbimaAnos","percentualCdiOriginal","spreadCdiEquivalente","metodologiaConversaoCdi","ntnbReferencia","codigoNtnbExibicao","taxaNtnbReferencia","spreadNtnbBps","statusCalculoAnbima","motivoAusenciaAnbima","fonteAnbima"
"AALM12","0,7127","DI_SPREAD","CDI + 0,71%","DI + 1.6000%","2026-07-16","2030-10-02","548,00","2,17","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ABSP12","1,4934","DI_SPREAD","CDI + 1,49%","DI + 1.9500%","2026-07-16","2026-10-15","63,00","0,25","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ACOV15","1,6000","DI_SPREAD","CDI + 1,60%","DI + 1.1000%","2026-07-16","2032-06-10","658,00","2,61","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ACRC21","8,9396","IPCA_SPREAD","B35 + 87 bps","IPCA + 7.4150%","2026-07-16","2044-07-15","1725,00","6,85","","","","2035-05-15","B35","8,0002","87","ok","","ANBIMA Data API (web-bff)"
"ADPA21","2,3869","DI_SPREAD","CDI + 2,39%","DI + 2.8500%","2026-07-16","2027-11-27","325,00","1,29","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEAB11","8,3344","IPCA_SPREAD","B37 + 42 bps","IPCA + 7.0718%","2026-07-16","2044-06-15","1890,00","7,50","","","","2037-05-15","B37","7,8766","42","ok","","ANBIMA Data API (web-bff)"
"AEGE16","5,0441","DI_SPREAD","CDI + 5,04%","DI + 3.9000%","2026-07-16","2034-03-11","835,00","3,31","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGE17","5,0798","DI_SPREAD","CDI + 5,08%","DI + 3.4000%","2026-07-16","2035-06-15","1020,00","4,05","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGP17","1,7863","DI_SPREAD","CDI + 1,79%","DI + 2.1500%","2026-07-16","2027-04-12","173,00","0,69","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGP19","2,6915","DI_SPREAD","CDI + 2,69%","DI + 1.9000%","2026-07-16","2028-10-04","268,00","1,06","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGPA4","2,9302","DI_SPREAD","CDI + 2,93%","DI + 3.4700%","2026-07-16","2028-10-25","286,00","1,13","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGPA8","17,0227","PREFIXADO","17,02%","Pré-Fixado 16.3433%","2026-07-16","2031-01-15","845,00","3,35","","2,2112","spread = (1 + Y)/(1 + L) - 1; Y = pre 17,02%; L = TaxaLTN_252 venc ref 2032-01-01 = 14,49%","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGPA9","3,1489","DI_SPREAD","CDI + 3,15%","DI + 2.7500%","2026-07-16","2029-06-25","518,00","2,06","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGPB3","3,2883","DI_SPREAD","CDI + 3,29%","DI + 1.8000%","2026-07-16","2032-08-22","855,00","3,39","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGPB5","3,2321","DI_SPREAD","CDI + 3,23%","DI + 1.8000%","2026-07-16","2030-12-15","822,00","3,26","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGPB7","2,3256","DI_SPREAD","CDI + 2,33%","DI + 2.9500%","2026-07-16","2028-09-15","359,00","1,42","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AERI12","","DI_SPREAD","—","DI + 3.0000%","2026-07-16","2030-03-30","","","","","","","","","","sem_taxa","Taxa indicativa vazia","ANBIMA Data API (web-bff)"
"AESLA5","7,7773","IPCA_SPREAD","B32 - 34 bps","IPCA + 6.1774%","2026-07-16","2033-10-15","1289,00","5,12","","","","2032-08-15","B32","8,1412","-34","ok","","ANBIMA Data API (web-bff)"
"AESLA7","7,7489","IPCA_SPREAD","B33 - 33 bps","IPCA + 6.1409%","2026-07-16","2034-04-15","1373,00","5,45","","","","2033-05-15","B33","8,1025","-33","ok","","ANBIMA Data API (web-bff)"
"AESLA8","0,4747","DI_SPREAD","CDI + 0,47%","DI + 0.4900%","2026-07-16","2029-09-10","557,00","2,21","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AESLA9","7,7571","IPCA_SPREAD","B33 - 32 bps","IPCA + 6.9249%","2026-07-16","2035-05-15","1522,00","6,04","","","","2033-05-15","B33","8,1025","-32","ok","","ANBIMA Data API (web-bff)"
"AESLB0","7,6878","IPCA_SPREAD","B35 - 29 bps","IPCA + 6.8967%","2026-07-16","2035-09-15","1555,00","6,17","","","","2035-05-15","B35","8,0002","-29","ok","","ANBIMA Data API (web-bff)"
"AESLB7","7,6068","IPCA_SPREAD","B37 - 25 bps","IPCA + 6.2031%","2026-07-16","2039-04-15","2055,00","8,15","","","","2037-05-15","B37","7,8766","-25","ok","","ANBIMA Data API (web-bff)"
"AESLC2","7,7432","IPCA_SPREAD","B33 - 33 bps","IPCA + 6.5243%","2026-07-16","2033-03-15","1343,00","5,33","","","","2033-05-15","B33","8,1025","-33","ok","","ANBIMA Data API (web-bff)"
"AESLD2","7,7202","IPCA_SPREAD","B35 - 26 bps","IPCA + 6.4580%","2026-07-16","2036-03-15","1641,00","6,51","","","","2035-05-15","B35","8,0002","-26","ok","","ANBIMA Data API (web-bff)"
"AESOA1","8,0900","IPCA_SPREAD","B33 - 1 bps","IPCA + 6.4966%","2026-07-16","2038-03-15","1348,00","5,35","","","","2033-05-15","B33","8,1025","-1","ok","","ANBIMA Data API (web-bff)"
"AGAU13","4,6110","DI_SPREAD","CDI + 4,61%","DI + 4.5000%","2026-07-16","2027-03-15","153,00","0,61","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AGEO15","7,7272","IPCA_SPREAD","B35 - 25 bps","IPCA + 7.6056%","2026-07-16","2037-06-15","1781,00","7,07","","","","2035-05-15","B35","8,0002","-25","ok","","ANBIMA Data API (web-bff)"
"AGIZ11","8,4002","IPCA_SPREAD","B37 + 49 bps","IPCA + 7.7322%","2026-07-16","2047-03-15","2026,00","8,04","","","","2037-05-15","B37","7,8766","49","ok","","ANBIMA Data API (web-bff)"
"AGPI11","","DI_SPREAD","—","DI + 1.9000%","2026-07-16","2027-06-27","","","","","","","","","","sem_taxa","Taxa indicativa vazia","ANBIMA Data API (web-bff)"
"AGVF12","","IPCA_SPREAD","—","IPCA + 6.7686%","2026-07-16","2027-08-15","","","","","","","","","","sem_taxa","Taxa indicativa vazia","ANBIMA Data API (web-bff)"
