"ticker","taxaAnbimaOriginal","tipoTaxaAnbima","txAnbimaFormatada","indexadorAnbima","dataReferenciaAnbima","dataVencimento","durationAnbimaDiasUteis","durationAnbimaAnos","percentualCdiOriginal","spreadCdiEquivalente","metodologiaConversaoCdi","ntnbReferencia","codigoNtnbExibicao","taxaNtnbReferencia","spreadNtnbBps","statusCalculoAnbima","motivoAusenciaAnbima","fonteAnbima"
"AALM12","0,7053","DI_SPREAD","CDI + 0,71%","DI + 1.6000%","2026-07-27","2030-10-02","540,00","2,14","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ABSP12","1,4726","DI_SPREAD","CDI + 1,47%","DI + 1.9500%","2026-07-27","2026-10-15","56,00","0,22","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ACOV15","1,6000","DI_SPREAD","CDI + 1,60%","DI + 1.1000%","2026-07-27","2032-06-10","649,00","2,58","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ACRC21","9,0929","IPCA_SPREAD","B35 + 86 bps","IPCA + 7.4150%","2026-07-27","2044-07-15","1710,00","6,79","","","","2035-05-15","B35","8,1624","86","ok","","ANBIMA Data API (web-bff)"
"ADPA21","2,3182","DI_SPREAD","CDI + 2,32%","DI + 2.8500%","2026-07-27","2027-11-27","318,00","1,26","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEAB11","8,4228","IPCA_SPREAD","B37 + 38 bps","IPCA + 7.0718%","2026-07-27","2044-06-15","1877,00","7,45","","","","2037-05-15","B37","8,0155","38","ok","","ANBIMA Data API (web-bff)"
"AEGE16","5,0483","DI_SPREAD","CDI + 5,05%","DI + 3.9000%","2026-07-27","2034-03-11","824,00","3,27","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGE17","5,1617","DI_SPREAD","CDI + 5,16%","DI + 3.4000%","2026-07-27","2035-06-15","1006,00","3,99","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGP17","1,8408","DI_SPREAD","CDI + 1,84%","DI + 2.1500%","2026-07-27","2027-04-12","166,00","0,66","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AEGP19","2,7000","DI_SPREAD","CDI + 2,70%","DI + 1.9000%","2026-07-27","2028-10-04","260,00","1,03","","","","","","","","ok","","ANBIMA Data API (web-bff)"
