Ativo,Data,Taxa Minima,Taxa Media,Taxa Maxima,PU Medio,Faixa de Volume
"CDAR11","2026-07-22","1,58","1,59","1,60","1052,180398","Até 1MM"
"CEEBB6","2026-07-22","7,95","8,01","8,19","1118,256828","Até 1MM"
"CEEBB7","2026-07-22","8,25","8,61","8,99","1016,254314","Até 1MM"
"CEEBC3","2026-07-22","8,23","8,40","8,58","1188,961659","Até 1MM"
"CEEBC4","2026-07-22","7,80","7,94","8,10","1155,814416","Até 1MM"
"CEEBD1","2026-07-22","13,65","13,94","14,31","931,975628","Entre 1MM e 5MM"
"CEEBD2","2026-07-22","7,50","7,88","8,09","946,633402","Entre 1MM e 5MM"
"CEED15","2026-07-22","7,53","8,18","8,92","1015,556580","Até 1MM"
"CEPEA6","2026-07-22","13,46","14,17","14,47","1009,999775","Até 1MM"
"CEPEA7","2026-07-22","7,28","7,58","7,79","1036,414044","Até 1MM"
"CEPEB3","2026-07-22","8,27","8,39","8,52","1027,240357","Até 1MM"
"CEPEB7","2026-07-22","7,65","7,88","8,09","980,285089","Até 1MM"
"CERT11","2026-07-22","7,90","8,43","8,65","1182,752888","Entre 1MM e 5MM"
"CESE32","2026-07-22","7,20","8,23","8,47","1148,239976","Até 1MM"
"CESPA2","2026-07-22","7,88","8,24","8,28","1313,889377","Entre 1MM e 5MM"
"CESPA3","2026-07-22","7,48","7,81","7,98","1041,017517","Até 1MM"
"CGASA2","2026-07-22","7,04","7,63","7,96","1056,039115","Até 1MM"
"CGEE13","2026-07-22","14,73","14,85","15,20","775,602166","Até 1MM"
"CGMG18","2026-07-22","8,28","8,32","8,46","1068,651233","Até 1MM"
"CGOS13","2026-07-22","7,50","8,30","8,57","1132,837692","Entre 1MM e 5MM"
"CGOS16","2026-07-22","7,79","8,28","8,73","1005,888171","Entre 1MM e 5MM"
"CGOS24","2026-07-22","7,55","8,27","8,43","1090,678177","Superior a 5MM"
"CGOS28","2026-07-22","7,60","8,23","8,39","1018,520107","Até 1MM"
"CGOS34","2026-07-22","7,61","8,03","8,34","1076,932412","Até 1MM"
"CGOSA2","2026-07-22","7,33","8,24","8,26","920,189640","Superior a 5MM"
"CGOSB0","2026-07-22","7,60","7,97","8,28","1033,096608","Até 1MM"
"CHSF13","2026-07-22","7,15","7,83","8,21","1067,713282","Entre 1MM e 5MM"
"CLAG15","2026-07-22","8,26","8,33","8,76","1019,380509","Até 1MM"
"CLCD27","2026-07-22","7,84","7,85","7,96","1053,128874","Até 1MM"
"CLTM14","2026-07-22","8,83","9,25","9,72","1003,839269","Entre 1MM e 5MM"
"CMGD28","2026-07-22","6,69","8,18","8,74","1147,314587","Até 1MM"
"CMGDA4","2026-07-22","7,80","7,83","7,84","984,711872","Até 1MM"
"CMGDB0","2026-07-22","7,52","8,02","8,19","1043,110803","Entre 1MM e 5MM"
"CMGDB1","2026-07-22","7,30","7,76","8,65","1037,280222","Até 1MM"
"CMGDB2","2026-07-22","6,99","7,82","8,42","1067,422131","Entre 1MM e 5MM"
"CMGDB4","2026-07-22","6,91","7,71","8,40","969,452105","Até 1MM"
"CMGTB1","2026-07-22","7,78","7,83","7,88","960,001937","Entre 1MM e 5MM"
"CMIN11","2026-07-22","15,09","15,74","16,64","857,856932","Até 1MM"
"CMIN12","2026-07-22","15,40","15,56","16,70","817,284509","Entre 1MM e 5MM"
"CMIN21","2026-07-22","11,28","15,52","16,39","701,829188","Até 1MM"
"CMTR29","2026-07-22","7,82","7,87","7,93","1190,296354","Até 1MM"
"COMR14","2026-07-22","9,57","9,69","9,94","1001,194304","Até 1MM"
"COMT11","2026-07-22","7,95","7,98","8,00","1017,903063","Entre 1MM e 5MM"
"CPFGA2","2026-07-22","7,41","7,50","7,56","1155,046560","Até 1MM"
"CPFPA9","2026-07-22","7,37","7,63","7,89","1106,286597","Entre 1MM e 5MM"
"CPGT17","2026-07-22","0,43","0,53","0,81","521,172941","Até 1MM"
"CPGT27","2026-07-22","7,59","7,73","7,89","1205,091428","Até 1MM"
"CPLD26","2026-07-22","7,43","7,76","8,40","1207,991010","Até 1MM"
"CPLD27","2026-07-22","0,73","0,81","0,83","516,328807","Até 1MM"
"CPLD29","2026-07-22","7,44","8,02","8,28","1018,552944","Entre 1MM e 5MM"
"CPLD37","2026-07-22","7,52","7,87","8,26","1130,517449","Entre 1MM e 5MM"
"CPLDC0","2026-07-22","7,15","7,84","7,89","992,307990","Até 1MM"
"CRMG15","2026-07-22","8,78","9,01","9,24","791,192765","Até 1MM"
"CSAN33","2026-07-22","10,05","10,18","10,45","1165,673224","Até 1MM"
"CSNAA2","2026-07-22","16,69","16,70","16,71","909,389986","Superior a 5MM"
"CSNAB4","2026-07-22","24,57","24,58","24,59","558,393731","Até 1MM"
"CSNAC4","2026-07-22","22,22","22,23","22,24","464,567345","Até 1MM"
"CSRN29","2026-07-22","8,11","8,21","8,30","1405,427436","Até 1MM"
"CSRNA3","2026-07-22","13,74","14,14","14,24","925,126691","Entre 1MM e 5MM"
"CSRNB2","2026-07-22","8,13","8,16","8,18","1024,309466","Até 1MM"
"CSRNB3","2026-07-22","7,50","7,62","7,71","962,980674","Até 1MM"
"CSRNB4","2026-07-22","13,61","14,19","14,21","971,513607","Até 1MM"
"CSRNC0","2026-07-22","8,17","8,19","8,22","1149,446120","Até 1MM"
"CTEE18","2026-07-22","7,21","7,98","8,60","1324,209291","Entre 1MM e 5MM"
"CTEE19","2026-07-22","0,49","0,53","0,60","1058,323043","Até 1MM"
"CTEE1B","2026-07-22","7,43","7,89","8,18","1189,736789","Entre 1MM e 5MM"
"CTEE29","2026-07-22","7,20","7,94","7,98","965,774929","Até 1MM"
"CTEE2B","2026-07-22","7,63","7,77","7,97","1115,143221","Até 1MM"
"CTGE11","2026-07-22","7,66","7,73","8,26","1346,738609","Entre 1MM e 5MM"
"CXER12","2026-07-22","8,85","8,88","9,74","430,951102","Até 1MM"
"DASAB4","2026-07-22","1,51","1,52","1,53","1047,061753","Entre 1MM e 5MM"
"DESK19","2026-07-22","7,55","8,15","8,33","1067,470895","Superior a 5MM"
"EBENA8","2026-07-22","8,02","8,03","8,06","1039,137132","Entre 1MM e 5MM"
"ECER12","2026-07-22","7,41","8,00","8,52","1342,910177","Até 1MM"
"ECHP11","2026-07-22","8,70","8,73","8,76","949,978344","Até 1MM"
"EDTE12","2026-07-22","7,42","8,05","8,20","996,185574","Até 1MM"
"EEELA0","2026-07-22","7,67","7,96","8,50","1063,609881","Até 1MM"
"EEELA1","2026-07-22","7,56","7,83","7,99","1031,558034","Até 1MM"
"EEELA4","2026-07-22","7,66","7,75","7,86","1098,910069","Até 1MM"
"EGIE27","2026-07-22","6,73","7,82","8,00","988,909807","Até 1MM"
"EGIE29","2026-07-22","7,40","7,97","8,72","1363,759133","Até 1MM"
"EGIEA0","2026-07-22","7,71","7,88","8,28","1035,028883","Até 1MM"
"EGIEA1","2026-07-22","7,78","7,88","7,91","1075,885094","Até 1MM"
"EGIEA3","2026-07-22","13,38","14,12","14,55","983,316386","Até 1MM"
"EGIEA4","2026-07-22","13,11","13,89","13,98","1214,220468","Entre 1MM e 5MM"
"EGIEA5","2026-07-22","13,42","14,29","14,59","1066,602624","Até 1MM"
"EGIEA6","2026-07-22","7,00","7,78","7,81","935,815485","Superior a 5MM"
"EGIEB4","2026-07-22","7,77","7,78","7,79","1163,861813","Superior a 5MM"
"EGIEB5","2026-07-22","7,67","7,76","8,31","1063,006963","Entre 1MM e 5MM"
"EGIEC1","2026-07-22","13,18","14,07","14,55","1228,247961","Até 1MM"
"EKTRA5","2026-07-22","13,80","14,28","15,09","1006,472477","Até 1MM"
"EKTRA6","2026-07-22","7,39","7,86","8,09","1015,373133","Até 1MM"
"EKTRA8","2026-07-22","8,08","8,09","8,10","1003,038430","Superior a 5MM"
"EKTRB3","2026-07-22","7,79","8,08","8,17","1028,710159","Até 1MM"
"EKTRB6","2026-07-22","7,10","8,00","8,07","972,691510","Até 1MM"
"EKTRC0","2026-07-22","7,51","7,85","8,04","1209,027086","Até 1MM"
"EKTRC1","2026-07-22","8,12","8,24","8,78","1148,492811","Até 1MM"
"EKTT11","2026-07-22","7,84","8,03","8,23","1169,333159","Entre 1MM e 5MM"
"ELET14","2026-07-22","7,10","7,90","8,44","1109,327359","Entre 1MM e 5MM"
"ELET16","2026-07-22","7,25","7,77","8,25","1063,057775","Entre 1MM e 5MM"
"ELET23","2026-07-22","7,15","7,59","8,50","1226,502779","Entre 1MM e 5MM"
"ELET24","2026-07-22","0,53","0,95","0,99","1062,751652","Superior a 5MM"
"ELET42","2026-07-22","7,00","7,65","8,53","1426,742163","Entre 1MM e 5MM"
"ELPLA7","2026-07-22","12,54","12,58","12,66","963,322177","Entre 1MM e 5MM"
"ELTN15","2026-07-22","7,89","7,95","8,19","1063,722816","Entre 1MM e 5MM"
"ELTN17","2026-07-22","13,29","13,82","14,19","980,863508","Até 1MM"
"ELTN19","2026-07-22","0,63","0,64","0,65","1027,397875","Entre 1MM e 5MM"
"ELTN27","2026-07-22","7,11","7,78","8,44","1025,965284","Até 1MM"
"ELTN37","2026-07-22","7,16","7,51","7,82","1028,131637","Entre 1MM e 5MM"
"ENAT11","2026-07-22","8,60","9,55","10,19","1054,531914","Entre 1MM e 5MM"
"ENAT12","2026-07-22","8,98","9,08","9,58","1131,261568","Até 1MM"
"ENAT13","2026-07-22","8,27","9,51","10,53","1065,645883","Entre 1MM e 5MM"
"ENAT14","2026-07-22","8,00","9,14","9,53","1076,665791","Até 1MM"
"ENAT23","2026-07-22","14,35","15,42","16,10","964,503742","Entre 1MM e 5MM"
"ENAT32","2026-07-22","14,65","15,25","16,09","1017,511566","Entre 1MM e 5MM"
"ENAT33","2026-07-22","8,19","9,55","10,19","1046,450300","Até 1MM"
"ENERB4","2026-07-22","7,98","8,12","8,24","1013,971302","Até 1MM"
"ENERB7","2026-07-22","7,73","8,27","8,28","991,662254","Superior a 5MM"
"ENERC7","2026-07-22","7,23","7,69","7,92","1008,130118","Até 1MM"
"ENEV13","2026-07-22","7,80","8,09","8,33","942,367239","Entre 1MM e 5MM"
"ENEV15","2026-07-22","7,35","8,17","8,51","1355,039578","Entre 1MM e 5MM"
"ENEV16","2026-07-22","7,39","8,01","8,67","1299,605747","Até 1MM"
"ENEV18","2026-07-22","7,46","8,23","8,55","1111,087863","Entre 1MM e 5MM"
"ENEV19","2026-07-22","7,37","8,06","8,69","1172,451626","Até 1MM"
"ENEV26","2026-07-22","7,25","7,95","8,35","1164,615908","Até 1MM"
"ENEV28","2026-07-22","7,30","8,16","8,32","1067,866964","Entre 1MM e 5MM"
"ENEV29","2026-07-22","7,40","8,17","8,67","1135,724326","Superior a 5MM"
"ENEV32","2026-07-22","7,51","8,22","8,80","1410,066157","Entre 1MM e 5MM"
"ENEV39","2026-07-22","7,26","8,04","8,46","1135,470040","Até 1MM"
"ENEVA0","2026-07-22","7,68","8,06","8,25","1047,685629","Até 1MM"
"ENEVB0","2026-07-22","7,26","8,06","8,55","1018,152413","Até 1MM"
"ENGIA5","2026-07-22","7,82","8,12","8,32","1212,581050","Até 1MM"
"ENGIA6","2026-07-22","7,84","8,71","8,94","1175,534347","Até 1MM"
"ENGIB0","2026-07-22","7,50","8,18","8,35","1045,683619","Entre 1MM e 5MM"
"ENGIB2","2026-07-22","7,41","8,20","8,96","1009,083458","Entre 1MM e 5MM"
"ENGIB4","2026-07-22","7,66","8,20","8,29","1290,669262","Até 1MM"
"ENGIB6","2026-07-22","8,17","8,19","8,23","1136,276410","Até 1MM"
"ENGIB9","2026-07-22","7,45","8,22","8,86","1074,798263","Entre 1MM e 5MM"
"ENGIC0","2026-07-22","7,33","8,01","8,44","999,692408","Até 1MM"
"ENJG21","2026-07-22","7,78","8,33","9,59","338,677433","Até 1MM"
"ENMTA4","2026-07-22","7,50","7,89","7,90","1221,900536","Até 1MM"
"ENMTA5","2026-07-22","7,84","8,05","8,61","1187,021398","Até 1MM"
"ENMTC4","2026-07-22","13,78","14,89","15,40","981,354225","Até 1MM"
"ENMTF8","2026-07-22","8,19","8,35","8,40","941,034354","Superior a 5MM"
"ENSEA1","2026-07-22","7,97","8,00","8,02","1221,244839","Até 1MM"
"ENTV12","2026-07-22","8,61","8,70","9,48","1411,483861","Entre 1MM e 5MM"
"EQPA18","2026-07-22","7,52","8,06","8,78","1071,097400","Até 1MM"
"EQPA19","2026-07-22","7,52","7,83","8,25","1004,957502","Entre 1MM e 5MM"
"EQUA11","2026-07-22","8,55","8,61","8,65","990,995028","Até 1MM"
"ERDVA4","2026-07-22","8,31","8,78","9,10","1030,604546","Até 1MM"
"ERDVB4","2026-07-22","8,05","8,80","9,31","1021,142776","Até 1MM"
"ERDVC4","2026-07-22","8,75","8,79","9,16","997,396327","Entre 1MM e 5MM"
"ESULA6","2026-07-22","8,05","8,30","8,42","1204,920841","Até 1MM"
"ETBA12","2026-07-22","8,06","8,16","8,52","1124,911520","Até 1MM"
"ETEN21","2026-07-22","7,56","7,90","8,05","1459,847212","Até 1MM"
"FBRI13","2026-07-22","7,70","7,89","8,11","1106,771296","Até 1MM"
"FSII14","2026-07-22","9,36","10,12","10,19","1022,016632","Entre 1MM e 5MM"
"FURN21","2026-07-22","7,87","8,29","8,76","1182,633322","Até 1MM"
"GASC22","2026-07-22","8,60","8,68","8,89","1178,930680","Até 1MM"
"GASC28","2026-07-22","8,05","8,34","8,96","1022,700221","Entre 1MM e 5MM"
"GASP29","2026-07-22","7,63","7,96","8,77","1112,818783","Até 1MM"
"HAPVA0","2026-07-22","5,99","7,19","7,21","816,211587","Superior a 5MM"
"HARG11","2026-07-22","8,84","8,96","9,15","1053,437653","Até 1MM"
"HBSA11","2026-07-22","8,66","8,93","9,25","1220,086458","Até 1MM"
"HBSA21","2026-07-22","7,77","8,21","9,06","1198,412412","Até 1MM"
"IGSN15","2026-07-22","12,30","13,17","14,25","912,571831","Até 1MM"
"IOCHA4","2026-07-22","1,08","1,10","1,12","1045,639079","Até 1MM"
"IOCHA7","2026-07-22","1,31","1,32","1,33","1015,493329","Superior a 5MM"
"IRJS14","2026-07-22","10,86","11,08","11,55","1111,958339","Entre 1MM e 5MM"
"IRJS15","2026-07-22","9,75","10,82","11,70","1032,924905","Até 1MM"
"ISAEA9","2026-07-22","6,88","7,33","7,65","1064,451107","Até 1MM"
"ISAEB0","2026-07-22","6,90","7,33","7,66","1006,765932","Até 1MM"
"ISAEB2","2026-07-22","6,93","6,96","6,99","991,575588","Até 1MM"
"ISAEB8","2026-07-22","7,21","7,83","8,43","1066,873589","Até 1MM"
"ISAEC0","2026-07-22","7,03","7,21","7,58","1007,589043","Até 1MM"
"IVIAA0","2026-07-22","9,40","9,47","9,50","972,930143","Entre 1MM e 5MM"
"JALL11","2026-07-22","8,88","8,98","9,42","1174,980805","Até 1MM"
"JALL13","2026-07-22","8,31","8,92","10,58","1121,259249","Até 1MM"
"JALL14","2026-07-22","8,34","8,63","9,40","1104,139959","Até 1MM"
"JALL15","2026-07-22","8,26","9,02","9,09","991,288874","Até 1MM"
"JALL21","2026-07-22","9,10","9,22","9,35","1115,646107","Até 1MM"
"JALL26","2026-07-22","8,93","9,20","9,48","998,788539","Até 1MM"
"JHSFA1","2026-07-22","0,65","0,66","0,67","224,049052","Até 1MM"
"JSMLA5","2026-07-22","3,72","4,04","4,99","989,181213","Superior a 5MM"
"JSMLB5","2026-07-22","13,85","15,46","16,75","1072,806809","Até 1MM"
"JTEE11","2026-07-22","7,90","7,99","8,10","876,149381","Até 1MM"
"KLBNA5","2026-07-22","7,00","7,25","7,74","1024,671778","Até 1MM"
"LCAMD1","2026-07-22","9,30","9,59","11,33","1199,218570","Até 1MM"
"LCAMD3","2026-07-22","9,15","10,23","10,30","1146,075404","Até 1MM"
"LORTA7","2026-07-22","10,10","10,24","10,50","1173,046978","Até 1MM"
"LTTE15","2026-07-22","8,44","8,54","8,83","1067,201758","Até 1MM"
"MGLUA0","2026-07-22","1,76","1,77","1,78","519,226485","Até 1MM"
"MNRVA1","2026-07-22","1,64","1,65","1,66","1040,533884","Até 1MM"
"MOBP13","2026-07-22","9,63","9,86","9,88","873,513362","Até 1MM"
"MOTVB9","2026-07-22","7,81","7,91","8,16","970,238105","Até 1MM"
"MOVI18","2026-07-22","13,30","14,18","16,30","1039,389211","Até 1MM"
"MOVI27","2026-07-22","2,94","3,53","4,20","1047,339787","Até 1MM"
"MOVI28","2026-07-22","13,90","14,16","22,10","973,108621","Superior a 5MM"
"MOVI34","2026-07-22","1,69","1,76","1,90","719,185905","Entre 1MM e 5MM"
"MOVI37","2026-07-22","14,01","14,29","17,00","1084,543474","Entre 1MM e 5MM"
"MOVIA3","2026-07-22","1,96","2,35","2,60","1063,212573","Até 1MM"
"MRSAB1","2026-07-22","7,43","7,81","7,85","1070,573645","Até 1MM"
"MRSAB2","2026-07-22","7,61","7,81","7,83","1034,285605","Até 1MM"
"MRSAB3","2026-07-22","6,90","7,76","7,78","973,182646","Superior a 5MM"
"MRSAC1","2026-07-22","7,66","7,96","8,50","1045,397902","Até 1MM"
"MRSAC2","2026-07-22","7,24","7,46","7,62","1046,848114","Até 1MM"
"MSGT23","2026-07-22","7,40","8,14","8,16","1042,700629","Até 1MM"
"MSGT33","2026-07-22","7,37","7,98","8,03","998,657981","Até 1MM"
"MTRO12","2026-07-22","0,92","0,93","0,95","244,351315","Até 1MM"
"MVLV16","2026-07-22","13,90","13,95","14,01","1727,590597","Superior a 5MM"
"MVLV19","2026-07-22","2,14","2,23","3,50","527,275661","Até 1MM"
"NEOE16","2026-07-22","7,65","8,20","8,93","1373,809792","Entre 1MM e 5MM"
"NEOE26","2026-07-22","7,67","8,15","8,61","824,644644","Até 1MM"
"NRTB11","2026-07-22","15,28","15,32","15,36","156,185163","Até 1MM"
"NTEN11","2026-07-22","13,69","13,77","14,30","935,835276","Até 1MM"
"OMGE41","2026-07-22","8,92","9,45","9,77","1435,806616","Até 1MM"
"ORIG11","2026-07-22","10,18","11,18","12,15","1004,943296","Até 1MM"
"ORIG12","2026-07-22","10,00","10,73","11,41","1022,710941","Até 1MM"
"ORIG21","2026-07-22","17,08","19,13","21,56","844,207656","Até 1MM"
"ORIG22","2026-07-22","17,43","20,99","21,56","842,391659","Até 1MM"
"OVSAB1","2026-07-22","2,38","2,39","2,40","999,688867","Até 1MM"
"PALF38","2026-07-22","7,05","7,28","7,53","1053,170752","Até 1MM"
"PALFA3","2026-07-22","7,89","7,91","7,94","1065,903089","Até 1MM"
"PALFB3","2026-07-22","7,35","7,96","8,44","1041,760340","Até 1MM"
"PALFB6","2026-07-22","7,78","7,92","7,93","1089,119147","Superior a 5MM"
"PEJA11","2026-07-22","7,60","8,33","9,08","1200,701383","Até 1MM"
"PEJA12","2026-07-22","13,20","13,77","15,10","992,789884","Entre 1MM e 5MM"
"PEJA13","2026-07-22","13,45","14,18","15,34","962,399649","Entre 1MM e 5MM"
"PEJA21","2026-07-22","0,99","1,02","1,05","1078,398016","Entre 1MM e 5MM"
"PEJA22","2026-07-22","7,88","8,22","8,41","1056,403212","Até 1MM"
"PEJA23","2026-07-22","8,33","8,64","8,98","1018,121530","Até 1MM"
"PETR17","2026-07-22","6,84","7,52","7,94","1329,152011","Entre 1MM e 5MM"
"PETR18","2026-07-22","6,68","7,27","7,90","997,339767","Entre 1MM e 5MM"
"PETR26","2026-07-22","6,78","7,31","7,88","1398,395340","Entre 1MM e 5MM"
"PETR27","2026-07-22","6,68","7,38","8,06","1183,798344","Entre 1MM e 5MM"
"PETR28","2026-07-22","6,38","6,94","7,50","1031,062512","Superior a 5MM"
"PETR38","2026-07-22","6,41","6,93","7,69","1046,700402","Entre 1MM e 5MM"
"PLSB1A","2026-07-22","8,84","9,95","11,40","1107,446165","Entre 1MM e 5MM"
"PLSB2A","2026-07-22","1,19","1,20","1,24","846,574868","Entre 1MM e 5MM"
"PRTE12","2026-07-22","7,99","8,04","8,14","419,492563","Até 1MM"
"QUAT13","2026-07-22","8,67","9,62","9,69","1001,699052","Entre 1MM e 5MM"
"RADL14","2026-07-22","105,90","106,19","106,50","507,530071","Até 1MM"
"RDORC9","2026-07-22","1,09","1,13","1,20","1089,873870","Até 1MM"
"RDORD3","2026-07-22","1,08","1,10","1,11","1061,367824","Superior a 5MM"
"RDORD9","2026-07-22","1,38","1,53","1,76","1100,763509","Entre 1MM e 5MM"
"RECV21","2026-07-22","13,44","14,42","15,18","981,997210","Até 1MM"
"RENTD1","2026-07-22","10,15","10,42","10,80","1143,759591","Até 1MM"
"RIGEA3","2026-07-22","7,70","8,19","8,22","1157,687325","Entre 1MM e 5MM"
"RIS412","2026-07-22","11,47","12,42","12,65","9,326596","Até 1MM"
"RIS414","2026-07-22","11,04","11,89","14,04","0,950236","Até 1MM"
"RIS422","2026-07-22","10,79","11,08","12,58","8,645935","Até 1MM"
"RIS424","2026-07-22","10,72","11,94","12,50","0,846430","Entre 1MM e 5MM"
"RISP12","2026-07-22","11,07","12,15","12,84","9,419070","Até 1MM"
"RISP14","2026-07-22","11,35","12,37","15,07","0,932785","Até 1MM"
"RISP22","2026-07-22","10,89","12,30","14,88","7,961054","Até 1MM"
"RISP24","2026-07-22","10,38","10,64","12,30","0,923254","Até 1MM"
"RMSA12","2026-07-22","9,90","9,97","11,15","1196,530780","Até 1MM"
"RNDNA2","2026-07-22","2,14","2,15","2,16","1033,041062","Superior a 5MM"
"RODB11","2026-07-22","2,44","2,45","2,47","1459,940241","Entre 1MM e 5MM"
"RRRP13","2026-07-22","9,27","9,42","9,86","1125,264755","Até 1MM"
"RSAN26","2026-07-22","9,99","10,02","10,04","933,663734","Até 1MM"
"RUMOA2","2026-07-22","8,10","8,75","9,43","1430,724862","Superior a 5MM"
"RUMOA3","2026-07-22","8,19","8,73","9,25","1370,609451","Entre 1MM e 5MM"
"RUMOA4","2026-07-22","8,45","8,83","9,64","1394,765166","Até 1MM"
"RUMOA5","2026-07-22","8,13","8,48","8,94","1192,719436","Até 1MM"
"RUMOA6","2026-07-22","8,00","8,58","9,34","1166,165407","Até 1MM"
"RUMOB3","2026-07-22","8,05","8,95","9,43","1341,335914","Até 1MM"
"RUMOB5","2026-07-22","7,90","8,55","9,10","1021,860414","Entre 1MM e 5MM"
"RUMOB6","2026-07-22","7,90","8,45","9,10","1024,180939","Até 1MM"
"SAELB7","2026-07-22","7,09","7,76","8,05","1005,970049","Até 1MM"
"SAPR10","2026-07-22","7,99","8,05","8,09","14271,248831","Entre 1MM e 5MM"
"SAPRA2","2026-07-22","7,09","7,82","7,84","1267,998831","Até 1MM"
"SAPRA3","2026-07-22","7,83","8,00","8,17","1203,538907","Até 1MM"
"SAPRB3","2026-07-22","7,77","7,91","8,07","1139,639007","Até 1MM"
"SBSPB6","2026-07-22","6,65","7,73","8,73","1398,552579","Entre 1MM e 5MM"
"SBSPD4","2026-07-22","7,51","7,69","7,91","1357,956007","Até 1MM"
"SBSPE3","2026-07-22","7,01","7,64","7,90","1111,312484","Entre 1MM e 5MM"
"SBSPE9","2026-07-22","7,29","7,85","8,05","1182,925266","Até 1MM"
"SBSPF3","2026-07-22","7,51","7,66","8,27","1093,357052","Superior a 5MM"
"SBSPF9","2026-07-22","7,38","7,52","7,68","1127,199100","Até 1MM"
"SBSPI8","2026-07-22","6,91","7,35","7,62","980,085333","Até 1MM"
"SBSPJ8","2026-07-22","7,03","7,41","7,83","970,224098","Entre 1MM e 5MM"
"SBSPK8","2026-07-22","6,99","7,33","7,52","959,083320","Entre 1MM e 5MM"
"SIMH16","2026-07-22","3,69","4,30","5,20","986,520645","Entre 1MM e 5MM"
"SMTO14","2026-07-22","8,11","8,93","9,44","1080,016444","Entre 1MM e 5MM"
"SMTO24","2026-07-22","8,69","8,89","9,44","1020,096890","Até 1MM"
"STBP35","2026-07-22","7,48","7,94","8,35","1040,736001","Até 1MM"
"STBP45","2026-07-22","7,98","8,12","8,67","1000,638055","Até 1MM"
"SUMI37","2026-07-22","12,55","12,75","12,96","878,841973","Até 1MM"
"SUZB19","2026-07-22","6,74","7,10","8,19","1116,282166","Até 1MM"
"SUZBA0","2026-07-22","6,45","7,47","7,86","1063,386526","Superior a 5MM"
"SUZBC1","2026-07-22","6,92","7,58","7,72","1018,285730","Até 1MM"
"TAEB15","2026-07-22","12,40","12,70","12,80","430,207820","Até 1MM"
"TAEE17","2026-07-22","7,83","8,05","8,37","1413,997645","Até 1MM"
"TAEE18","2026-07-22","7,29","7,62","7,77","1109,504584","Até 1MM"
"TAEEA1","2026-07-22","0,43","0,48","0,59","1048,760633","Entre 1MM e 5MM"
"TAEEA4","2026-07-22","7,00","7,77","8,11","1053,411379","Até 1MM"
"TAEEA7","2026-07-22","7,05","7,39","7,67","1176,295562","Até 1MM"
"TAEEB0","2026-07-22","6,75","7,51","7,95","956,290503","Até 1MM"
"TAEEB2","2026-07-22","7,58","8,01","8,25","1152,753565","Até 1MM"
"TAEEC2","2026-07-22","7,44","7,82","8,31","1127,169674","Até 1MM"
"TAEEC4","2026-07-22","7,00","7,88","8,30","1037,703896","Até 1MM"
"TAEED2","2026-07-22","6,90","7,28","7,95","1105,061647","Até 1MM"
"TEPA13","2026-07-22","12,00","15,67","15,70","978,279628","Até 1MM"
"TEPA22","2026-07-22","19,41","19,80","25,83","906,984933","Até 1MM"
"TGR711","2026-07-22","8,44","8,67","8,90","1042,645227","Até 1MM"
"TGR731","2026-07-22","6,85","7,28","8,23","1034,393574","Até 1MM"
"TIET29","2026-07-22","7,73","8,12","8,34","1429,451253","Até 1MM"
"TIET39","2026-07-22","8,24","8,58","8,60","1419,224631","Até 1MM"
"TIGR12","2026-07-22","1,49","1,52","1,70","1010,106022","Superior a 5MM"
"TPEN11","2026-07-22","8,09","8,10","8,11","1037,544423","Até 1MM"
"TRCC11","2026-07-22","7,74","8,02","8,36","1038,672150","Entre 1MM e 5MM"
"TRPLA4","2026-07-22","7,23","7,81","8,42","1072,276779","Entre 1MM e 5MM"
"TRPLA7","2026-07-22","7,04","7,74","8,13","1114,466574","Entre 1MM e 5MM"
"TRPLB4","2026-07-22","7,26","7,66","8,46","1059,404999","Entre 1MM e 5MM"
"TRPLB7","2026-07-22","7,63","7,78","8,25","1013,608981","Entre 1MM e 5MM"
"UHSM12","2026-07-22","7,76","7,85","8,47","1148,221794","Entre 1MM e 5MM"
"UNEG11","2026-07-22","8,85","8,93","9,06","1118,553311","Até 1MM"
"UNIPB0","2026-07-22","1,51","1,52","1,56","992,868536","Até 1MM"
"USAS11","2026-07-22","9,99","10,28","10,49","680,012566","Até 1MM"
"USCA22","2026-07-22","17,23","17,49","18,34","922,407164","Até 1MM"
"UTPS12","2026-07-22","7,85","8,94","9,02","609,967091","Até 1MM"
"UTPS21","2026-07-22","9,12","9,29","9,66","1334,828935","Até 1MM"
"UTPS22","2026-07-22","9,01","9,06","10,02","1208,872800","Até 1MM"
"VALEA0","2026-07-22","6,79","7,36","7,78","1045,278548","Entre 1MM e 5MM"
"VALEB0","2026-07-22","6,50","7,15","7,97","1053,775088","Entre 1MM e 5MM"
"VALEB1","2026-07-22","6,39","7,32","7,59","1042,451511","Superior a 5MM"
"VALEC0","2026-07-22","6,39","7,10","7,97","1046,454364","Entre 1MM e 5MM"
"VALEC1","2026-07-22","6,52","7,12","7,46","1039,024786","Superior a 5MM"
"VALED1","2026-07-22","6,50","7,19","7,97","1033,076202","Superior a 5MM"
"VAMO22","2026-07-22","2,74","2,77","2,80","355,159660","Até 1MM"
"VAMO33","2026-07-22","13,85","14,67","15,00","1035,299439","Superior a 5MM"
"VAMO34","2026-07-22","13,85","14,85","16,75","1034,126673","Superior a 5MM"
"VBBRA0","2026-07-22","7,61","8,33","8,46","985,538943","Superior a 5MM"
