"ticker","taxaAnbimaOriginal","tipoTaxaAnbima","txAnbimaFormatada","indexadorAnbima","dataReferenciaAnbima","dataVencimento","durationAnbimaDiasUteis","durationAnbimaAnos","percentualCdiOriginal","spreadCdiEquivalente","metodologiaConversaoCdi","ntnbReferencia","codigoNtnbExibicao","taxaNtnbReferencia","spreadNtnbBps","statusCalculoAnbima","motivoAusenciaAnbima","fonteAnbima"
"AESOA1","8,1734","IPCA_SPREAD","B33 - 1 bps","IPCA + 6.4966%","2026-07-17","2038-03-15","1345,00","5,34","","","","2033-05-15","B33","8,1800","-1","ok","","ANBIMA Data API (web-bff)"
"AGAU13","4,6361","DI_SPREAD","CDI + 4,64%","DI + 4.5000%","2026-07-17","2027-03-15","152,00","0,60","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AGEO15","7,8415","IPCA_SPREAD","B35 - 21 bps","IPCA + 7.6056%","2026-07-17","2037-06-15","1777,00","7,05","","","","2035-05-15","B35","8,0700","-21","ok","","ANBIMA Data API (web-bff)"
"AGIZ11","8,4595","IPCA_SPREAD","B37 + 49 bps","IPCA + 7.7322%","2026-07-17","2047-03-15","2020,00","8,02","","","","2037-05-15","B37","7,9261","49","ok","","ANBIMA Data API (web-bff)"
"AGPI11","","DI_SPREAD","—","DI + 1.9000%","2026-07-17","2027-06-27","","","","","","","","","","sem_taxa","Taxa indicativa vazia","ANBIMA Data API (web-bff)"
"AGVF12","","IPCA_SPREAD","—","IPCA + 6.7686%","2026-07-17","2027-08-15","","","","","","","","","","sem_taxa","Taxa indicativa vazia","ANBIMA Data API (web-bff)"
"AHGD13","8,8696","IPCA_SPREAD","B33 + 64 bps","IPCA + 7.3293%","2026-07-17","2041-09-15","1397,00","5,54","","","","2033-05-15","B33","8,1800","64","ok","","ANBIMA Data API (web-bff)"
"ALGAA2","1,0815","DI_SPREAD","CDI + 1,08%","DI + 1.5500%","2026-07-17","2029-01-15","445,00","1,77","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ALGAB1","9,0935","IPCA_SPREAD","B30 + 71 bps","IPCA + 4.9999%","2026-07-17","2031-07-15","901,00","3,58","","","","2030-08-15","B30","8,3257","71","ok","","ANBIMA Data API (web-bff)"
"ALGAC2","9,0571","IPCA_SPREAD","B31 + 74 bps","IPCA + 5.8806%","2026-07-17","2032-01-15","989,00","3,92","","","","2031-05-15","B31","8,2595","74","ok","","ANBIMA Data API (web-bff)"
"ALGE16","7,8990","IPCA_SPREAD","B33 - 26 bps","IPCA + 6.1451%","2026-07-17","2037-11-15","1350,00","5,36","","","","2033-05-15","B33","8,1800","-26","ok","","ANBIMA Data API (web-bff)"
"ALGTA4","9,0421","IPCA_SPREAD","B32 + 74 bps","IPCA + 6.3243%","2026-07-17","2033-11-15","1205,00","4,78","","","","2032-08-15","B32","8,2400","74","ok","","ANBIMA Data API (web-bff)"
"ALGTA5","1,0456","DI_SPREAD","CDI + 1,05%","DI + 1.3000%","2026-07-17","2032-01-28","863,00","3,42","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ALGTA6","1,1240","DI_SPREAD","CDI + 1,12%","DI + 1.2500%","2026-07-17","2033-02-22","989,00","3,92","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ALIG12","7,9582","IPCA_SPREAD","B28 - 50 bps","IPCA + 3.6500%","2026-07-17","2029-12-15","416,00","1,65","","","","2028-08-15","B28","8,5000","-50","ok","","ANBIMA Data API (web-bff)"
"ALIG13","7,8914","IPCA_SPREAD","B30 - 40 bps","IPCA + 4.0000%","2026-07-17","2035-02-15","961,00","3,81","","","","2030-08-15","B30","8,3257","-40","ok","","ANBIMA Data API (web-bff)"
"ALIG15","7,8594","IPCA_SPREAD","B32 - 35 bps","IPCA + 6.1305%","2026-07-17","2036-04-15","1175,00","4,66","","","","2032-08-15","B32","8,2400","-35","ok","","ANBIMA Data API (web-bff)"
"ALPA22","0,9549","DI_SPREAD","CDI + 0,95%","DI + 1.5000%","2026-07-17","2029-12-12","602,00","2,39","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ALTF11","0,4492","DI_SPREAD","CDI + 0,45%","DI + 2.3000%","2026-07-17","2026-07-15","1,00","0,00","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ALUP18","7,5238","IPCA_SPREAD","B33 - 61 bps","IPCA + 6.4986%","2026-07-17","2034-10-15","1443,00","5,73","","","","2033-05-15","B33","8,1800","-61","ok","","ANBIMA Data API (web-bff)"
"AMBP16","","DI_SPREAD","—","DI + 2.7500%","2026-07-17","2029-04-25","","","","","","","","","","sem_taxa","Taxa indicativa vazia","ANBIMA Data API (web-bff)"
"ANET11","","IPCA_SPREAD","—","IPCA + 5.6006%","2026-07-17","2029-03-15","","","","","","","","","","sem_taxa","Taxa indicativa vazia","ANBIMA Data API (web-bff)"
"ANET12","","IPCA_SPREAD","—","IPCA + 8.9619%","2026-07-17","2030-11-15","","","","","","","","","","sem_taxa","Taxa indicativa vazia","ANBIMA Data API (web-bff)"
"ANHBA5","0,5110","DI_SPREAD","CDI + 0,51%","DI + 0.4400%","2026-07-17","2030-11-05","743,00","2,95","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ANHBA6","0,5791","DI_SPREAD","CDI + 0,58%","DI + 0.5000%","2026-07-17","2032-07-15","992,00","3,94","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ANHBB6","7,8305","IPCA_SPREAD","B35 - 22 bps","IPCA + 7.0457%","2026-07-17","2037-07-15","1688,00","6,70","","","","2035-05-15","B35","8,0700","-22","ok","","ANBIMA Data API (web-bff)"
"ANIM15","1,7235","DI_SPREAD","CDI + 1,72%","DI + 1.9200%","2026-07-17","2029-05-15","394,00","1,56","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ANIM17","1,8273","DI_SPREAD","CDI + 1,83%","DI + 1.6000%","2026-07-17","2029-05-15","494,00","1,96","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ANIM18","1,9011","DI_SPREAD","CDI + 1,90%","DI + 1.5000%","2026-07-17","2029-10-15","589,00","2,34","","","","","","","","ok","","ANBIMA Data API (web-bff)"
