"ticker","statusExercicio","dataEvento","diasUteisAteEvento","pctPuPar","taxaEvento","tipoTaxa","remuneracao","dataReferencia","origemAba","spreadBE","spreadBEUnid"
"CEPEA1","Em exercício","","","","","implícita","DI + 1,39%","2026-07-31","No Período de Exercício","",""
"CEPEA3","Em exercício","2026-11-16","","1.005952","0.8459","implícita","DI + 1,18%","2026-07-31","No Período de Exercício","0.8459","%"
"CEPEB1","Em exercício","2026-10-15","","1.003972","1.2475","implícita","DI + 1,54%","2026-07-31","No Período de Exercício","1.2475","%"
"CEPEB2","Em exercício","2026-10-15","","1.007404","1.257","implícita","DI + 1,68%","2026-07-31","No Período de Exercício","1.257","%"
"CESE22","Em exercício","2026-09-15","","1.010585","1.7149","implícita","DI + 2,5%","2026-07-31","No Período de Exercício","1.7149","%"
"CESPA4","Em exercício","2026-08-14","","1.011979","0.3211","implícita","DI + 0,62%","2026-07-31","No Período de Exercício","0.3211","%"
"CGASA5","Em exercício","2026-09-15","","0.999999","0.75","implícita","DI + 0,75%","2026-07-31","No Período de Exercício","0.75","%"
"CGOS15","Em exercício","2026-09-21","","1.006912","0.723","implícita","DI + 1,05%","2026-07-31","No Período de Exercício","0.723","%"
"CHSF12","Em exercício","2026-10-15","","1.004943","0.6205","implícita","DI + 0,85%","2026-07-31","No Período de Exercício","0.6205","%"
"CIEL18","Em exercício","2026-11-09","","1.006181","0.2546","implícita","DI + 0,54%","2026-07-31","No Período de Exercício","0.2546","%"
"CLCD16","Em exercício","2026-11-16","","1.007936","0.9557","implícita","DI + 1,65%","2026-07-31","No Período de Exercício","0.9557","%"
"CMED13","Em exercício","2026-11-03","","1.002999","0.5801","implícita","DI + 0,75%","2026-07-31","No Período de Exercício","0.5801","%"
"CMGD18","Em exercício","2026-12-15","","1.001463","1.0468","implícita","DI + 1,35%","2026-07-31","No Período de Exercício","1.0468","%"
"CMTR19","Em exercício","2026-12-15","","1.002976","1.0162","implícita","DI + 1,33%","2026-07-31","No Período de Exercício","1.0162","%"
"COLNA3","Em exercício","2027-01-15","","1.012482","0.3747","implícita","DI + 0,8%","2026-07-31","No Período de Exercício","0.3747","%"
"CPFPA6","Em exercício","2026-09-08","","1.004315","0.1008","implícita","DI + 0,57%","2026-07-31","No Período de Exercício","0.1008","%"
"CPGT17","Em exercício","","","","","implícita","DI + 1,38%","2026-07-31","No Período de Exercício","",""
"CPLD27","Em exercício","2026-11-16","","1.001451","1.0592","implícita","DI + 1,36%","2026-07-31","No Período de Exercício","1.0592","%"
"CPLD38","Em exercício","2026-12-15","","1.004464","1.9219","implícita","DI + 2,25%","2026-07-31","No Período de Exercício","1.9219","%"
"CPREA0","Em exercício","2026-12-14","","1.00594","0.7857","implícita","DI + 1,12%","2026-07-31","No Período de Exercício","0.7857","%"
"CPTE12","Em exercício","2027-01-15","","1.017825","0.892","implícita","DI + 1,7%","2026-07-31","No Período de Exercício","0.892","%"
"CSANA2","Em exercício","","","","","implícita","DI + 0,6%","2026-07-31","No Período de Exercício","",""
"CSMGA7","Em exercício","2026-09-16","","1.003999","1.0331","implícita","DI + 1,3%","2026-07-31","No Período de Exercício","1.0331","%"
"CSMGB6","Em exercício","","","","","implícita","DI + 1,3%","2026-07-31","No Período de Exercício","",""
"CSNAA1","Em exercício","2026-11-10","","1.008984","0.9911","implícita","DI + 1,65%","2026-07-31","No Período de Exercício","0.9911","%"
"CSNAA2","Em exercício","2026-12-21","","1.004446","2.0233","implícita","DI + 2,5%","2026-07-31","No Período de Exercício","2.0233","%"
"DASAB4","Em exercício","2026-10-20","","1.003968","1.9765","implícita","DI + 2,4%","2026-07-31","No Período de Exercício","1.9765","%"
"DASAB5","Em exercício","2026-10-30","","1.007952","1.2497","implícita","DI + 1,7%","2026-07-31","No Período de Exercício","1.2497","%"
"EBENA6","Em exercício","2026-09-04","","1.00444","0.4128","implícita","DI + 0,89%","2026-07-31","No Período de Exercício","0.4128","%"
"EBENA7","Em exercício","2026-12-21","","1.004452","0.2049","implícita","DI + 0,68%","2026-07-31","No Período de Exercício","0.2049","%"
"EGIED1","Em exercício","2026-11-16","","1.005961","0.5648","implícita","DI + 1%","2026-07-31","No Período de Exercício","0.5648","%"
"EKTRA0","Em exercício","","","","","implícita","DI + 1,29%","2026-07-31","No Período de Exercício","",""
"EKTRA1","Em exercício","2027-01-15","","1.001476","0.9768","implícita","DI + 1,28%","2026-07-31","No Período de Exercício","0.9768","%"
"EKTRB0","Em exercício","2026-10-15","","1.003968","1.1482","implícita","DI + 1,44%","2026-07-31","No Período de Exercício","1.1482","%"
"ELET15","Em exercício","2026-10-15","","1.004943","0.6205","implícita","DI + 0,85%","2026-07-31","No Período de Exercício","0.6205","%"
"ELET24","Em exercício","2026-09-15","","1.006984","1.0376","implícita","DI + 1,55%","2026-07-31","No Período de Exercício","1.0376","%"
"ENEV38","Em exercício","2027-01-15","","1.009918","1.1348","implícita","DI + 1,7%","2026-07-31","No Período de Exercício","1.1348","%"
"ENEVC0","Em exercício","2026-10-15","","1.007421","0.6553","implícita","DI + 1%","2026-07-31","No Período de Exercício","0.6553","%"
"EQMAA1","Em exercício","2026-11-16","","1.006912","0.6234","implícita","DI + 0,95%","2026-07-31","No Período de Exercício","0.6234","%"
"ERDVA3","Em exercício","2026-10-15","","1.009945","1.1183","implícita","DI + 1,85%","2026-07-31","No Período de Exercício","1.1183","%"
"ESCEA3","Em exercício","2026-08-19","","1.004488","0.4242","implícita","DI + 0,9%","2026-07-31","No Período de Exercício","0.4242","%"
"FLRY17","Em exercício","2026-10-22","","1.001452","1.0466","implícita","DI + 1,35%","2026-07-31","No Período de Exercício","1.0466","%"
"FLRY25","Em exercício","2026-12-16","","1.002976","0.8867","implícita","DI + 1,2%","2026-07-31","No Período de Exercício","0.8867","%"
"GGBRA7","Em exercício","2026-11-30","","1.006191","0.3142","implícita","DI + 0,6%","2026-07-31","No Período de Exercício","0.3142","%"
"GSHC15","Em exercício","2026-10-22","","1.018511","0.3212","implícita","DI + 1,7%","2026-07-31","No Período de Exercício","0.3212","%"
"HAPV15","Em exercício","2026-12-28","","1.003999","1.5905","implícita","DI + 1,75%","2026-07-31","No Período de Exercício","1.5905","%"
"HAPV17","Em exercício","2026-11-10","","1.005999","1.3817","implícita","DI + 1,6%","2026-07-31","No Período de Exercício","1.3817","%"
"HBSA14","Em exercício","2026-12-11","","1.002969","0.2864","implícita","DI + 0,5%","2026-07-31","No Período de Exercício","0.2864","%"
"HBSA22","Em exercício","2027-01-20","","1.00992","1.6491","implícita","DI + 2,4%","2026-07-31","No Período de Exercício","1.6491","%"
"HBSA24","Em exercício","2026-12-11","","1.008943","0.489","implícita","DI + 0,75%","2026-07-31","No Período de Exercício","0.489","%"
"HGLB13","Em exercício","2026-10-15","","1.048721","1.677","implícita","DI + 3%","2026-07-31","No Período de Exercício","1.677","%"
"IGTAA3","Em exercício","2026-09-21","","1.011904","0.0342","implícita","DI + 0,45%","2026-07-31","No Período de Exercício","0.0342","%"
"INEL12","Em exercício","2026-11-16","","1.009902","0.9054","implícita","DI + 1,65%","2026-07-31","No Período de Exercício","0.9054","%"
"IOCHA3","Em exercício","2026-10-02","","1.013893","0.9395","implícita","DI + 1,6%","2026-07-31","No Período de Exercício","0.9395","%"
"IOCHA4","Em exercício","2026-10-13","","1.006956","0.8393","implícita","DI + 1,35%","2026-07-31","No Período de Exercício","0.8393","%"
"IOCHA5","Em exercício","2026-08-05","","1.013941","0.987","implícita","DI + 1,55%","2026-07-31","No Período de Exercício","0.987","%"
"IOCHA6","Em exercício","2026-12-04","","1.013909","0.8875","implícita","DI + 1,45%","2026-07-31","No Período de Exercício","0.8875","%"
"ISPE12","Em exercício","2026-12-01","","1.007445","2.1447","implícita","DI + 2,5%","2026-07-31","No Período de Exercício","2.1447","%"
"ISPE13","Em exercício","2026-12-01","","1.007445","2.1447","implícita","DI + 2,5%","2026-07-31","No Período de Exercício","2.1447","%"
"JHSFA3","Em exercício","2026-08-20","","1.006587","1.1741","implícita","DI + 2,2%","2026-07-31","No Período de Exercício","1.1741","%"
