CD_ATIVO,GESTOR,VL_ALOCADO
"TLPP27","BBM Asset",20281469.88
"ENEV18","Plural",8546949.99
"RDORB3","Polo",27131093.94
"EKTRC0","San WM",16684700.83
"CBAN52","ARX",29803575.75
"AURP12","San WM",82875914.71
"RIS422","Legacy",7845198.02
"AMERF2","AF Invest",269079.58
"BRKMA8","SVN",468761.15
"ECOV16","Portofino",1565215.59
"RECV11","BRAM",90945.43
"PRLK11","ASA",245872.09
"ASEC11","Investcoop",606564.43
"CGOSA0","Tori 21",148310.7
"ISAEB8","G5",318392.24
"EQPA18","Ace",123179.55
"MOTVB9","BRAM",122274.32
"ENERB7","UBS",21907875.15
"HYPEA5","SAM",47500013.24
"RISP14","BRAM",2023654.51
"CMGDA4","Persevera",3020754.92
"DASAB4","XPG",22600960.16
"IRJS15","Riza",3367094.19
"SAPR10","Galapagos",2501981.28
"IRJS14","Navi",1245155.36
"CLCD16","Safra Asset",86298422.08
"ATMF11","JGP",32161196.18
"PEJA22","SWM",1048297.58
"ENMI21","BTG WM",4062229.97
"SBSPD2","Occam",28772485.87
"VAMO13","Iridium",14740134.26
"LORTB9","Sulamérica",9682591.03
"RISP24","BTG Asset",7268951.33
"EKTT11","BRAM",70697369.08
"SEQL13","(fundo nao cadastrado)",896829.58
"SBSPI8","Vinland",19141969.66
"CGOS34","Kinea",4282562.9
"MVLVA1","Drys",730850.59
"ENERB4","Riza",811406.32
"ISAEC0","San Tsy",118444522.58
"PASS12","Absolute",17643102.95
"JALL11","JGP",1574332.39
"ERDVA6","Reach",1455907.56
"CGOS28","Legacy",1023158.7
"MOTVB9","UBS",40155296.28
"AEGE16","Valora",46998073.6
"PFOR25","SPX",16713596.05
"CEPE20","Regia",5699424.39
"FLRY17","(fundo nao cadastrado)",135265939.58
"CEEDA0","Wise",9092454.96
"HARG11","Occam",3705236.66
"HYPEA6","Wise",541054.14
"AESOA1","Brainvest",56534.04
"RDORC9","Monte Bravo",1665616.98
"ENMTB2","SAM",80310977.13
"TAEEC2","IAM",971647.11
"CGBP14","Sulamérica",62046172.17
"EQPA18","BTG WM",72061484.48
"AZZA12","SVN",27975173.05
"UQFN15","Occam",53979095.05
"CBAN52","Inter",8277881.68
"ELTN37","Occam",11269500.98
"LOGGB1","BTG WM",3517801.44
"OPCT17","IAM",150467209.67
"SMFTA2","IAM",96629483.47
"EQPA18","Portofino",2771539.8
"RENTA5","BB Asset",136426529.64
"COGNA5","Vinci",15081829.83
"CSRNA1","(fundo nao cadastrado)",90256972.75
"BCBF16","Occam",1948043.92
"IVIAA0","BTG WM",152641652.69
"EDPS11","IAM",300244612.49
"ELTN19","Safra Asset",286709754.37
"GASC25","BDR",1013805.94
"ENEV28","Andbank",315689.12
"RDORD9","Icatu",35702450.54
"COGNA4","Integral",253946.74
"RRRP13","BB Asset",69988536.31
"ECER12","Brainvest",125553.29
"RALM21","Valora",5510099.66
"USNA12","ITAU Tsy",53657807.91
"CPGTB0","Sulamérica",6733764.09
"ERDVA4","Maud",1343207.78
"SUZBA0","TAG",188567.41
"APRB28","AZ Quest",18163435.84
"SCPT13","(fundo nao cadastrado)",235608.87
"RIS424","BTG WM",85004033.31
"OMGE12","Sparta",21126249.05
"UBAT12","ITAU Tsy",145952279.22
"PLSB1A","IAM",124394174
"HAPV18","Daycoval",1630576.22
"SAPRA3","BTG WM",3618543.49
"GRRB14","BNP",190643.17
"OPCT16","Vinci",5260492.63
"RECV14","Safra Asset",334476.58
"LCAMC2","JGP",33046453.43
"NRTB21","Journey",610291.15
"AMERE2","(fundo nao cadastrado)",5583.16
"ARML25","BB Asset",147547169.57
"IEAS21","(fundo nao cadastrado)",11931615.02
"RENTA5","Vinci",11462610.82
"CGOS15","Brainvest",74656.55
"CTEE19","ARX",52564.28
"CEAB14","SAM",21476785.43
"LCAMD1","(fundo nao cadastrado)",71091073.67
"ONCOA1","Vinci",339637.37
"CSMGB6","Mirabaud",325847.9
"ALGAB1","Inter",16214281.27
"RUMOB5","Citrino",141777.22
"CART13","Icatu",62990518.62
"CMED15","IAM",3736031.99
"RDOE18","Safra Asset",77186067.93
"VAMO34","IAM",735525.48
"CGASA2","XPG",9418175.69
"ENEVA0","Rafter",267382.82
"HGLB23","Kinea",158436445.13
"PRAS11","Tenax",688980.4
"ESSDA4","Rafter",4185038.71
"ENEV38","BTG WM",3938254.7
"RDORI6","SPX",60476892.42
"USIB11","BB Asset",41653679.11
